Regions,Intervention,Description,Date of announcement,Effective_date
Abruzzo,School closures,All schools and universities,04.03.2020,05.03.2020
Abruzzo,Case based measures,Self quarantine if symptomatic or presenting with fever,08.03.2020,08.03.2020
Abruzzo,Social distancing,,08.03.2020,08.03.2020
Abruzzo,Public events,"concerts, sporting events, cinemas, theatres",08.03.2020,08.03.2020
Abruzzo,Lockdown,Ban non-essential movement,09.03.2020,10.03.2020
Basilicata,School closures,All schools and universities,04.03.2020,05.03.2020
Basilicata,Case based measures,Self quarantine if symptomatic or presenting with fever,08.03.2020,08.03.2020
Basilicata,Social distancing,,08.03.2020,08.03.2020
Basilicata,Public events,"concerts, sporting events, cinemas, theatres",08.03.2020,08.03.2020
Basilicata,Lockdown,Ban non-essential movement,09.03.2020,10.03.2020
Calabria,School closures,All schools and universities,04.03.2020,05.03.2020
Calabria,Case based measures,Self quarantine if symptomatic or presenting with fever,08.03.2020,08.03.2020
Calabria,Social distancing,,08.03.2020,08.03.2020
Calabria,Public events,"concerts, sporting events, cinemas, theatres",08.03.2020,08.03.2020
Calabria,Lockdown,Ban non-essential movement,09.03.2020,10.03.2020
Campania,School closures,All schools and universities,04.03.2020,05.03.2020
Campania,Case based measures,Self quarantine if symptomatic or presenting with fever,08.03.2020,08.03.2020
Campania,Social distancing,,08.03.2020,08.03.2020
Campania,Public events,"concerts, sporting events, cinemas, theatres",08.03.2020,08.03.2020
Campania,Lockdown,Ban non-essential movement,09.03.2020,10.03.2020
Emilia-Romagna,School closures,All schools and universities,23.02.2020,24.02.2020
Emilia-Romagna,Case based measures,Self quarantine if symptomatic or presenting with fever,08.03.2020,08.03.2020
Emilia-Romagna,Social distancing,,08.03.2020,08.03.2020
Emilia-Romagna,Public events,"concerts, sporting events, cinemas, theatres",23.02.2020,23.02.2020
Emilia-Romagna,Lockdown,Ban non-essential movement,09.03.2020,10.03.2020
Friuli_Venezia_Giulia,School closures,All schools and universities,23.02.2020,24.02.2020
Friuli_Venezia_Giulia,Case based measures,Self quarantine if symptomatic or presenting with fever,08.03.2020,08.03.2020
Friuli_Venezia_Giulia,Social distancing,,08.03.2020,08.03.2020
Friuli_Venezia_Giulia,Public events,"concerts, sporting events, cinemas, theatres",25.02.2020,25.02.2020
Friuli_Venezia_Giulia,Lockdown,Ban non-essential movement,09.03.2020,10.03.2020
Lazio,School closures,All schools and universities,04.03.2020,05.03.2020
Lazio,Case based measures,Self quarantine if symptomatic or presenting with fever,08.03.2020,08.03.2020
Lazio,Social distancing,,08.03.2020,08.03.2020
Lazio,Public events,"concerts, sporting events, cinemas, theatres",08.03.2020,08.03.2020
Lazio,Lockdown,Ban non-essential movement,09.03.2020,10.03.2020
Liguria,School closures,All schools and universities,23.02.2020,24.02.2020
Liguria,Case based measures,Self quarantine if symptomatic or presenting with fever,08.03.2020,08.03.2020
Liguria,Social distancing,,08.03.2020,08.03.2020
Liguria,Public events,"concerts, sporting events, cinemas, theatres",25.02.2020,25.02.2020
Liguria,Lockdown,Ban non-essential movement,09.03.2020,10.03.2020
Lombardia,School closures,All schools and universities,23.02.2020,24.02.2020
Lombardia,Case based measures,Self quarantine if symptomatic or presenting with fever,08.03.2020,08.03.2020
Lombardia,Social distancing,,08.03.2020,08.03.2020
Lombardia,Public events,"concerts, sporting events, cinemas, theatres",23.02.2020,23.02.2020
Lombardia,Lockdown,Ban non-essential movement,08.03.2020,08.03.2020
Marche,School closures,All schools and universities,04.03.2020,05.03.2020
Marche,Case based measures,Self quarantine if symptomatic or presenting with fever,08.03.2020,08.03.2020
Marche,Social distancing,,08.03.2020,08.03.2020
Marche,Public events,"concerts, sporting events, cinemas, theatres",08.03.2020,08.03.2020
Marche,Lockdown,Ban non-essential movement,09.03.2020,10.03.2020
Molise,School closures,All schools and universities,04.03.2020,05.03.2020
