"","Country","schools_universities","self_isolating_if_ill","social_distancing_encouraged","public_events","lockdown"
"1","Abruzzo",2020-03-05,2020-03-08,2020-03-08,2020-03-08,2020-03-10
"2","Basilicata",2020-03-05,2020-03-08,2020-03-08,2020-03-08,2020-03-10
"3","Calabria",2020-03-05,2020-03-08,2020-03-08,2020-03-08,2020-03-10
"4","Campania",2020-03-05,2020-03-08,2020-03-08,2020-03-08,2020-03-10
"5","Emilia-Romagna",2020-02-24,2020-03-08,2020-03-08,2020-02-23,2020-03-10
"6","Friuli_Venezia_Giulia",2020-02-24,2020-03-08,2020-03-08,2020-02-25,2020-03-10
"7","Lazio",2020-03-05,2020-03-08,2020-03-08,2020-03-08,2020-03-10
"8","Liguria",2020-02-24,2020-03-08,2020-03-08,2020-02-25,2020-03-10
"9","Lombardia",2020-02-24,2020-03-08,2020-03-08,2020-02-23,2020-03-08
"10","Marche",2020-03-05,2020-03-08,2020-03-08,2020-03-08,2020-03-10
"11","Molise",2020-03-05,2020-03-08,2020-03-08,2020-03-08,2020-03-10
"12","Piemonte",2020-02-24,2020-03-08,2020-03-08,2020-02-25,2020-03-10
"13","Puglia",2020-03-05,2020-03-08,2020-03-08,2020-03-08,2020-03-10
"14","Sardegna",2020-03-05,2020-03-08,2020-03-08,2020-03-08,2020-03-10
"15","Sicilia",2020-03-05,2020-03-08,2020-03-08,2020-03-08,2020-03-10
"16","Toscana",2020-03-05,2020-03-08,2020-03-08,2020-03-08,2020-03-10
"17","P.A._Trento",2020-03-05,2020-03-08,2020-03-08,2020-03-08,2020-03-10
"18","Umbria",2020-03-05,2020-03-08,2020-03-08,2020-03-08,2020-03-10
"19","Valle_d'Aosta",2020-03-05,2020-03-08,2020-03-08,2020-03-08,2020-03-10
"20","Veneto",2020-02-24,2020-03-08,2020-03-08,2020-02-23,2020-03-10
"21","P.A._Bolzano",2020-03-05,2020-03-08,2020-03-08,2020-03-08,2020-03-10
