"";"StatePostal";"EmergDec";"GathRecomAny";"GathRestrictAny";"Quarantine";"SchoolClose";"StayAtHome"
"1";"AK";NA;NA;NA;NA;NA;2020-04-24
"2";"AL";NA;NA;NA;NA;NA;2020-04-30
"3";"AR";NA;NA;NA;NA;NA;NA
"4";"AZ";NA;NA;2020-05-16;NA;NA;2020-05-16
"5";"CA";NA;NA;NA;NA;NA;NA
"6";"CO";NA;NA;NA;NA;NA;2020-04-27
"7";"CT";NA;NA;NA;NA;NA;NA
"8";"DC";NA;NA;NA;NA;NA;NA
"9";"DE";NA;NA;NA;NA;NA;NA
"10";"FL";NA;NA;NA;NA;NA;2020-05-04
"11";"GA";NA;NA;NA;NA;NA;2020-05-01
"12";"HI";NA;NA;NA;NA;NA;NA
"13";"IA";NA;NA;NA;NA;NA;NA
"14";"ID";NA;NA;2020-05-01;NA;NA;2020-05-01
"15";"IL";NA;NA;NA;NA;NA;NA
"16";"IN";NA;NA;NA;NA;NA;2020-05-02
"17";"KS";NA;NA;NA;NA;NA;2020-05-04
"18";"KY";NA;NA;NA;2020-05-06;NA;NA
"19";"LA";NA;NA;NA;NA;NA;NA
"20";"MA";NA;NA;NA;NA;NA;NA
"21";"MD";NA;NA;NA;NA;NA;NA
"22";"ME";NA;NA;NA;NA;NA;NA
"23";"MI";NA;NA;NA;NA;NA;NA
"24";"MN";NA;NA;NA;NA;NA;NA
"25";"MO";NA;NA;2020-05-04;NA;NA;2020-05-04
"26";"MS";NA;NA;NA;NA;NA;2020-04-27
"27";"MT";NA;NA;NA;NA;2020-05-07;2020-04-26
"28";"NC";NA;NA;NA;NA;NA;2020-05-08
"29";"ND";NA;NA;NA;NA;2020-06-01;NA
"30";"NE";NA;NA;NA;NA;NA;NA
"31";"NH";NA;NA;NA;NA;NA;NA
"32";"NJ";NA;NA;NA;NA;NA;NA
"33";"NM";NA;NA;NA;NA;NA;NA
"34";"NV";NA;NA;NA;NA;NA;2020-05-09
"35";"NY";NA;NA;NA;NA;NA;NA
"36";"OH";NA;NA;NA;NA;NA;NA
"37";"OK";NA;NA;NA;NA;NA;NA
"38";"OR";NA;NA;NA;NA;NA;NA
"39";"PA";NA;NA;NA;NA;NA;2020-05-08
"40";"RI";NA;NA;NA;NA;NA;2020-05-08
"41";"SC";NA;NA;NA;2020-05-01;NA;NA
"42";"SD";NA;NA;2020-04-28;NA;2020-04-28;NA
"43";"TN";NA;NA;NA;NA;NA;NA
"44";"TX";NA;NA;NA;2020-05-01;NA;2020-05-01
"45";"UT";NA;NA;NA;NA;NA;2020-05-01
"46";"VA";NA;NA;NA;NA;NA;NA
"47";"VT";NA;NA;NA;NA;NA;NA
"48";"WA";NA;NA;NA;NA;NA;NA
"49";"WI";NA;NA;NA;NA;NA;NA
"50";"WV";NA;NA;NA;NA;NA;2020-05-04
"51";"WY";NA;NA;NA;NA;NA;NA
