,time,country,reported_cases,reported_cases_c,predicted_cases_c,predicted_min_c,predicted_max_c,predicted_cases,predicted_min,predicted_max,predicted_min2,predicted_max2,deaths,deaths_c,estimated_deaths_c,death_min_c,death_max_c,estimated_deaths,death_min,death_max,death_min2,death_max2,rt,rt_min,rt_max,rt_min2,rt_max2
1,22/02/2020,Austria,0,0,104.6622898,24.95891525,235.7560896,104.6622898,24.95891525,235.7560896,58.24034605,140.0525044,0,0,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,3.918200324,2.61927992,5.524982778,3.359872229,4.487220167
2,23/02/2020,Austria,0,0,209.3245797,49.91783051,471.5121791,104.6622898,24.95891525,235.7560896,58.24034605,140.0525044,0,0,2.63E-06,6.28E-07,5.92E-06,2.63E-06,6.27E-07,5.92E-06,1.46E-06,3.52E-06,3.918200324,2.61927992,5.524982778,3.359872229,4.487220167
3,24/02/2020,Austria,0,0,313.9868695,74.87674576,707.2682687,104.6622898,24.95891525,235.7560896,58.24034605,140.0525044,0,0,3.72E-05,8.86E-06,8.37E-05,3.45E-05,8.24E-06,7.78E-05,1.92E-05,4.62E-05,3.918200324,2.61927992,5.524982778,3.359872229,4.487220167
4,25/02/2020,Austria,0,0,418.6491593,99.83566101,943.0243583,104.6622898,24.95891525,235.7560896,58.24034605,140.0525044,0,0,0.000243637,5.81E-05,0.000548802,0.000206471,4.92E-05,0.000465085,0.000114893,0.000276287,3.918200324,2.61927992,5.524982778,3.359872229,4.487220167
5,26/02/2020,Austria,2,2,523.3114492,124.7945763,1178.780448,104.6622898,24.95891525,235.7560896,58.24034605,140.0525044,0,0,0.001037051,0.000247307,0.002335998,0.000793414,0.000189206,0.001787197,0.000441503,0.001061696,3.918200324,2.61927992,5.524982778,3.359872229,4.487220167
6,27/02/2020,Austria,0,2,627.973739,149.7534915,1414.536537,104.6622898,24.95891525,235.7560896,58.24034605,140.0525044,0,0,0.003256807,0.000776655,0.00733609,0.002219756,0.000529347,0.005000092,0.001235205,0.002970338,3.918200324,2.61927992,5.524982778,3.359872229,4.487220167
7,28/02/2020,Austria,3,5,822.8665082,215.1487468,1792.621,194.8927692,65.3952553,378.0844625,133.0403597,247.9244895,0,0,0.008408271,0.002005129,0.018939972,0.005151464,0.001228474,0.011603882,0.002866582,0.006893365,3.918200324,2.61927992,5.524982778,3.359872229,4.487220167
8,29/02/2020,Austria,2,7,1059.214878,295.9564165,2248.673124,236.3483695,80.80766972,456.0521237,163.7801069,298.0283198,0,0,0.01861004,0.00443845,0.041916967,0.010201769,0.002433321,0.022976995,0.005677423,0.013651141,3.918200324,2.61927992,5.524982778,3.359872229,4.487220167
9,01/03/2020,Austria,3,10,1350.839298,402.7323667,2802.310259,291.62442,106.7759501,553.6371355,204.0427486,356.0328462,0,0,0.036716871,0.008763062,0.082664353,0.018106831,0.004324612,0.040747386,0.010083102,0.024226386,3.918200324,2.61927992,5.524982778,3.359872229,4.487220167
10,02/03/2020,Austria,4,14,1715.654582,547.1628562,3480.126327,364.8152845,144.4304895,677.8160679,249.5391825,441.2307949,0,0,0.066201486,0.015835448,0.14883955,0.029484615,0.007072386,0.066175197,0.016452496,0.039435596,3.918200324,2.61927992,5.524982778,3.359872229,4.487220167
11,03/03/2020,Austria,4,18,2174.794348,737.357039,4286.707031,459.1397657,190.1941828,806.5807039,321.2314614,551.3955838,0,0,0.111218428,0.026736263,0.249282019,0.045016942,0.010900815,0.100442469,0.025232318,0.060162414,3.918200324,2.61927992,5.524982778,3.359872229,4.487220167
12,04/03/2020,Austria,6,24,2754.245022,990.8632227,5269.599911,579.4506737,253.5061838,982.8928797,420.6770254,685.7757746,0,0,0.176808006,0.042871114,0.394189564,0.065589577,0.016134851,0.144907545,0.037037467,0.08761872,3.918200324,2.61927992,5.524982778,3.359872229,4.487220167
13,05/03/2020,Austria,5,29,3486.932751,1331.521124,6544.416152,732.6877292,340.6579014,1274.816241,536.4660281,861.361128,0,0,0.269255307,0.066151909,0.595423002,0.092447302,0.023280795,0.201233438,0.052780771,0.123408637,3.918200324,2.61927992,5.524982778,3.359872229,4.487220167
14,06/03/2020,Austria,12,41,4415.065367,1788.915297,8197.882543,928.1326159,457.3941724,1653.466391,719.9879192,1089.963642,0,0,0.395821009,0.099016349,0.865528406,0.126565701,0.032864441,0.270105404,0.073301149,0.168646315,3.918200324,2.61927992,5.524982778,3.359872229,4.487220167
