year;departement_code;sex;population;classe_age_5
2014;01;M;20119;30_34
2014;02;M;16063;30_34
2014;03;M;8534;30_34
2014;04;M;3939;30_34
2014;05;M;3821;30_34
2014;06;M;31053;30_34
2014;07;M;8480;30_34
2014;08;M;7974;30_34
2014;09;M;3911;30_34
2014;10;M;9097;30_34
2014;11;M;9081;30_34
2014;12;M;7195;30_34
2014;13;M;59814;30_34
2014;14;M;20115;30_34
2014;15;M;3719;30_34
2014;16;M;9454;30_34
2014;17;M;16231;30_34
2014;18;M;8199;30_34
2014;19;M;6112;30_34
2014;2A;M;4455;30_34
2014;2B;M;5254;30_34
2014;21;M;15613;30_34
2014;22;M;15173;30_34
2014;23;M;2645;30_34
2014;24;M;9957;30_34
2014;25;M;17440;30_34
2014;26;M;14192;30_34
2014;27;M;18256;30_34
2014;28;M;12848;30_34
2014;29;M;26047;30_34
2014;30;M;19995;30_34
2014;31;M;48675;30_34
2014;32;M;4445;30_34
2014;33;M;47940;30_34
2014;34;M;32860;30_34
2014;35;M;33428;30_34
2014;36;M;5263;30_34
2014;37;M;17219;30_34
2014;38;M;38841;30_34
2014;39;M;7220;30_34
2014;40;M;10759;30_34
2014;41;M;8658;30_34
2014;42;M;21888;30_34
2014;43;M;6045;30_34
2014;44;M;43777;30_34
2014;45;M;19992;30_34
2014;46;M;4066;30_34
2014;47;M;8524;30_34
2014;48;M;1989;30_34
2014;49;M;24998;30_34
2014;50;M;13714;30_34
2014;51;M;17685;30_34
2014;52;M;5059;30_34
2014;53;M;8891;30_34
2014;54;M;23338;30_34
2014;55;M;5577;30_34
2014;56;M;20286;30_34
2014;57;M;33649;30_34
2014;58;M;5449;30_34
2014;59;M;84984;30_34
2014;60;M;25897;30_34
2014;61;M;7522;30_34
2014;62;M;45832;30_34
2014;63;M;18933;30_34
2014;64;M;19009;30_34
2014;65;M;5623;30_34
2014;66;M;11714;30_34
2014;67;M;35603;30_34
2014;68;M;23408;30_34
2014;69;M;61621;30_34
2014;70;M;6860;30_34
2014;71;M;14802;30_34
2014;72;M;15998;30_34
2014;73;M;13237;30_34
2014;74;M;27847;30_34
2014;75;M;91636;30_34
2014;76;M;37834;30_34
2014;77;M;45055;30_34
2014;78;M;44085;30_34
2014;79;M;10622;30_34
2014;80;M;17194;30_34
2014;81;M;9832;30_34
2014;82;M;7160;30_34
2014;83;M;28297;30_34
2014;84;M;15543;30_34
2014;85;M;19564;30_34
2014;86;M;12400;30_34
2014;87;M;10347;30_34
2014;88;M;10193;30_34
2014;89;M;9270;30_34
2014;90;M;4620;30_34
2014;91;M;41314;30_34
2014;92;M;60222;30_34
2014;93;M;58562;30_34
2014;94;M;48529;30_34
2014;95;M;40041;30_34
2014;971;M;8171;30_34
2014;972;M;7720;30_34
2014;973;M;8815;30_34
2014;974;M;23850;30_34
2014;976;M;6944;30_34
2015;01;M;20371;30_34
2015;02;M;15923;30_34
2015;03;M;8517;30_34
2015;04;M;4017;30_34
2015;05;M;3783;30_34
2015;06;M;30983;30_34
2015;07;M;8320;30_34
2015;08;M;7868;30_34
2015;09;M;3775;30_34
2015;10;M;9059;30_34
2015;11;M;9073;30_34
2015;12;M;7139;30_34
2015;13;M;60429;30_34
2015;14;M;19635;30_34
2015;15;M;3640;30_34
2015;16;M;9400;30_34
2015;17;M;15987;30_34
2015;18;M;8083;30_34
2015;19;M;6096;30_34
2015;2A;M;4450;30_34
2015;2B;M;5453;30_34
2015;21;M;15666;30_34
2015;22;M;14949;30_34
2015;23;M;2643;30_34
2015;24;M;9715;30_34
2015;25;M;17165;30_34
2015;26;M;14309;30_34
2015;27;M;18058;30_34
2015;28;M;12914;30_34
2015;29;M;25780;30_34
2015;30;M;19948;30_34
2015;31;M;48664;30_34
2015;32;M;4459;30_34
2015;33;M;48582;30_34
2015;34;M;32905;30_34
2015;35;M;33563;30_34
2015;36;M;5230;30_34
2015;37;M;17251;30_34
2015;38;M;38776;30_34
2015;39;M;7174;30_34
2015;40;M;10847;30_34
2015;41;M;8723;30_34
2015;42;M;21827;30_34
2015;43;M;5931;30_34
2015;44;M;44218;30_34
2015;45;M;19785;30_34
2015;46;M;3937;30_34
2015;47;M;8413;30_34
2015;48;M;2028;30_34
2015;49;M;24591;30_34
2015;50;M;13480;30_34
2015;51;M;17870;30_34
2015;52;M;4950;30_34
2015;53;M;8685;30_34
2015;54;M;23308;30_34
2015;55;M;5613;30_34
2015;56;M;20123;30_34
2015;57;M;33722;30_34
2015;58;M;5345;30_34
2015;59;M;84702;30_34
2015;60;M;25672;30_34
2015;61;M;7450;30_34
2015;62;M;45916;30_34
2015;63;M;18755;30_34
2015;64;M;18803;30_34
2015;65;M;5445;30_34
2015;66;M;11951;30_34
2015;67;M;35169;30_34
2015;68;M;23470;30_34
