year;departement_code;sex;population;classe_age_5
2015;69;M;62242;30_34
2015;70;M;6762;30_34
2015;71;M;14709;30_34
2015;72;M;15609;30_34
2015;73;M;13150;30_34
2015;74;M;28329;30_34
2015;75;M;90169;30_34
2015;76;M;38015;30_34
2015;77;M;45189;30_34
2015;78;M;43921;30_34
2015;79;M;10429;30_34
2015;80;M;17243;30_34
2015;81;M;9876;30_34
2015;82;M;7179;30_34
2015;83;M;28385;30_34
2015;84;M;15485;30_34
2015;85;M;19239;30_34
2015;86;M;12349;30_34
2015;87;M;10189;30_34
2015;88;M;10110;30_34
2015;89;M;9288;30_34
2015;90;M;4682;30_34
2015;91;M;41261;30_34
2015;92;M;60355;30_34
2015;93;M;59348;30_34
2015;94;M;48258;30_34
2015;95;M;40158;30_34
2015;971;M;7945;30_34
2015;972;M;7700;30_34
2015;973;M;9157;30_34
2015;974;M;24157;30_34
2015;976;M;6566;30_34
2016;01;M;20075;30_34
2016;02;M;15497;30_34
2016;03;M;8213;30_34
2016;04;M;4069;30_34
2016;05;M;3749;30_34
2016;06;M;30433;30_34
2016;07;M;8309;30_34
2016;08;M;7728;30_34
2016;09;M;3750;30_34
2016;10;M;8796;30_34
2016;11;M;9043;30_34
2016;12;M;7005;30_34
2016;13;M;59654;30_34
2016;14;M;19330;30_34
2016;15;M;3574;30_34
2016;16;M;9246;30_34
2016;17;M;15980;30_34
2016;18;M;7999;30_34
2016;19;M;6026;30_34
2016;2A;M;4427;30_34
2016;2B;M;5342;30_34
2016;21;M;15629;30_34
2016;22;M;14748;30_34
2016;23;M;2626;30_34
2016;24;M;9498;30_34
2016;25;M;16896;30_34
2016;26;M;14438;30_34
2016;27;M;17639;30_34
2016;28;M;12596;30_34
2016;29;M;25170;30_34
2016;30;M;19786;30_34
2016;31;M;48072;30_34
2016;32;M;4334;30_34
2016;33;M;48229;30_34
2016;34;M;32934;30_34
2016;35;M;32878;30_34
2016;36;M;5226;30_34
2016;37;M;17300;30_34
2016;38;M;38327;30_34
2016;39;M;7117;30_34
2016;40;M;10704;30_34
2016;41;M;8568;30_34
2016;42;M;21694;30_34
2016;43;M;5923;30_34
2016;44;M;44309;30_34
2016;45;M;19536;30_34
2016;46;M;3808;30_34
2016;47;M;8427;30_34
2016;48;M;1992;30_34
2016;49;M;23694;30_34
2016;50;M;13270;30_34
2016;51;M;17562;30_34
2016;52;M;4859;30_34
2016;53;M;8480;30_34
2016;54;M;22872;30_34
2016;55;M;5624;30_34
2016;56;M;19690;30_34
2016;57;M;33452;30_34
2016;58;M;5051;30_34
2016;59;M;83209;30_34
2016;60;M;25188;30_34
2016;61;M;7268;30_34
2016;62;M;45680;30_34
2016;63;M;18904;30_34
2016;64;M;18694;30_34
2016;65;M;5387;30_34
2016;66;M;11766;30_34
2016;67;M;34662;30_34
2016;68;M;23301;30_34
2016;69;M;61978;30_34
2016;70;M;6501;30_34
2016;71;M;14586;30_34
2016;72;M;15484;30_34
2016;73;M;12893;30_34
2016;74;M;28532;30_34
2016;75;M;88111;30_34
2016;76;M;37799;30_34
2016;77;M;44666;30_34
2016;78;M;43109;30_34
2016;79;M;10145;30_34
2016;80;M;16909;30_34
2016;81;M;9794;30_34
2016;82;M;6982;30_34
2016;83;M;28264;30_34
2016;84;M;15426;30_34
2016;85;M;18781;30_34
2016;86;M;12121;30_34
2016;87;M;9770;30_34
2016;88;M;9855;30_34
2016;89;M;9294;30_34
2016;90;M;4661;30_34
2016;91;M;41094;30_34
2016;92;M;59082;30_34
2016;93;M;58744;30_34
2016;94;M;47451;30_34
2016;95;M;40207;30_34
2016;971;M;7738;30_34
2016;972;M;7611;30_34
2016;973;M;9140;30_34
2016;974;M;23611;30_34
2016;976;M;6813;30_34
2017;01;M;20195;30_34
2017;02;M;15431;30_34
2017;03;M;8080;30_34
2017;04;M;4113;30_34
2017;05;M;3640;30_34
2017;06;M;29707;30_34
2017;07;M;8224;30_34
2017;08;M;7599;30_34
2017;09;M;3782;30_34
2017;10;M;8826;30_34
2017;11;M;9000;30_34
2017;12;M;6805;30_34
2017;13;M;59674;30_34
2017;14;M;19129;30_34
2017;15;M;3564;30_34
2017;16;M;9084;30_34
2017;17;M;15712;30_34
2017;18;M;7710;30_34
2017;19;M;5891;30_34
2017;2A;M;4402;30_34
2017;2B;M;5257;30_34
2017;21;M;15518;30_34
2017;22;M;14481;30_34
2017;23;M;2626;30_34
2017;24;M;9308;30_34
2017;25;M;16700;30_34
2017;26;M;14480;30_34
2017;27;M;17437;30_34
2017;28;M;12388;30_34
2017;29;M;24674;30_34
2017;30;M;19713;30_34
2017;31;M;47487;30_34
2017;32;M;4396;30_34
2017;33;M;47835;30_34
2017;34;M;32545;30_34
2017;35;M;32732;30_34
2017;36;M;5084;30_34
2017;37;M;17281;30_34
2017;38;M;37669;30_34
2017;39;M;6906;30_34
2017;40;M;10451;30_34
2017;41;M;8348;30_34
2017;42;M;21464;30_34
2017;43;M;5787;30_34
2017;44;M;44502;30_34
2017;45;M;19646;30_34
2017;46;M;3887;30_34
2017;47;M;8268;30_34
2017;48;M;1958;30_34
2017;49;M;23263;30_34
2017;50;M;12987;30_34
2017;51;M;17346;30_34
2017;52;M;4799;30_34
2017;53;M;8314;30_34
2017;54;M;22690;30_34
2017;55;M;5519;30_34
2017;56;M;19547;30_34
2017;57;M;33351;30_34
2017;58;M;4770;30_34
2017;59;M;82693;30_34
2017;60;M;25183;30_34
2017;61;M;6935;30_34
2017;62;M;45290;30_34
2017;63;M;18861;30_34
2017;64;M;18398;30_34
2017;65;M;5346;30_34
2017;66;M;11508;30_34
2017;67;M;34422;30_34
2017;68;M;22977;30_34
2017;69;M;62333;30_34
2017;70;M;6457;30_34
2017;71;M;14282;30_34
2017;72;M;15335;30_34
2017;73;M;12551;30_34
2017;74;M;28785;30_34
2017;75;M;87586;30_34
2017;76;M;37463;30_34
2017;77;M;44434;30_34
2017;78;M;43183;30_34
2017;79;M;9898;30_34
2017;80;M;16843;30_34
2017;81;M;9428;30_34
2017;82;M;6764;30_34
2017;83;M;28073;30_34
2017;84;M;15039;30_34
2017;85;M;18228;30_34
2017;86;M;11867;30_34
2017;87;M;9382;30_34
2017;88;M;9611;30_34
2017;89;M;8995;30_34
2017;90;M;4452;30_34
2017;91;M;41013;30_34
2017;92;M;58472;30_34
2017;93;M;59380;30_34
2017;94;M;47220;30_34
2017;95;M;40310;30_34
2017;971;M;7505;30_34
2017;972;M;7431;30_34
2017;973;M;8826;30_34
2017;974;M;23021;30_34
2017;976;M;7071;30_34
2018;01;M;19959;30_34
2018;02;M;15210;30_34
2018;03;M;7824;30_34
2018;04;M;4090;30_34
2018;05;M;3579;30_34
2018;06;M;29394;30_34
2018;07;M;8127;30_34
2018;08;M;7513;30_34
2018;09;M;3763;30_34
2018;10;M;8872;30_34
2018;11;M;9022;30_34
2018;12;M;6635;30_34
2018;13;M;59217;30_34
2018;14;M;18911;30_34
2018;15;M;3454;30_34
2018;16;M;8977;30_34
2018;17;M;15512;30_34
2018;18;M;7531;30_34
2018;19;M;5808;30_34
2018;2A;M;4389;30_34
2018;2B;M;5226;30_34
2018;21;M;15486;30_34
2018;22;M;14362;30_34
2018;23;M;2591;30_34
2018;24;M;9218;30_34
2018;25;M;16466;30_34
2018;26;M;14519;30_34
2018;27;M;17293;30_34
2018;28;M;12094;30_34
2018;29;M;24299;30_34
2018;30;M;19434;30_34
2018;31;M;47035;30_34
2018;32;M;4315;30_34
2018;33;M;47949;30_34
2018;34;M;32797;30_34
2018;35;M;32253;30_34
2018;36;M;4985;30_34
2018;37;M;17112;30_34
2018;38;M;37109;30_34
2018;39;M;6776;30_34
2018;40;M;10415;30_34
2018;41;M;8186;30_34
2018;42;M;21115;30_34
2018;43;M;5763;30_34
2018;44;M;44446;30_34
2018;45;M;19371;30_34
2018;46;M;3844;30_34
2018;47;M;8169;30_34
2018;48;M;1954;30_34
2018;49;M;22662;30_34
2018;50;M;12909;30_34
2018;51;M;17231;30_34
2018;52;M;4573;30_34
2018;53;M;8052;30_34
2018;54;M;22308;30_34
2018;55;M;5346;30_34
2018;56;M;19196;30_34
2018;57;M;32891;30_34
2018;58;M;4596;30_34
2018;59;M;81415;30_34
2018;60;M;25010;30_34
2018;61;M;6735;30_34
2018;62;M;44580;30_34
2018;63;M;18747;30_34
2018;64;M;18232;30_34
2018;65;M;5286;30_34
2018;66;M;11570;30_34
2018;67;M;34329;30_34
2018;68;M;22644;30_34
2018;69;M;62138;30_34
2018;70;M;6196;30_34
2018;71;M;13815;30_34
2018;72;M;14866;30_34
2018;73;M;12434;30_34
2018;74;M;28746;30_34
2018;75;M;87158;30_34
2018;76;M;36775;30_34
2018;77;M;44037;30_34
2018;78;M;42357;30_34
2018;79;M;9577;30_34
2018;80;M;16528;30_34
2018;81;M;9313;30_34
2018;82;M;6766;30_34
2018;83;M;28113;30_34
2018;84;M;14737;30_34
2018;85;M;17662;30_34
2018;86;M;11726;30_34
2018;87;M;9121;30_34
2018;88;M;9415;30_34
2018;89;M;8803;30_34
2018;90;M;4367;30_34
2018;91;M;40729;30_34
2018;92;M;58067;30_34
2018;93;M;59659;30_34
2018;94;M;47480;30_34
2018;95;M;40304;30_34
2018;971;M;7315;30_34
2018;972;M;7332;30_34
2018;973;M;8900;30_34
2018;974;M;22940;30_34
2018;976;M;7347;30_34
2019;01;M;20134;30_34
2019;02;M;15164;30_34
2019;03;M;7726;30_34
2019;04;M;4114;30_34
2019;05;M;3556;30_34
2019;06;M;29374;30_34
2019;07;M;8177;30_34
2019;08;M;7532;30_34
2019;09;M;3841;30_34
2019;10;M;8856;30_34
2019;11;M;9032;30_34
2019;12;M;6692;30_34
2019;13;M;60055;30_34
2019;14;M;18868;30_34
2019;15;M;3404;30_34
2019;16;M;8888;30_34
2019;17;M;15322;30_34
2019;18;M;7454;30_34
2019;19;M;5820;30_34
2019;2A;M;4492;30_34
2019;2B;M;5199;30_34
2019;21;M;15538;30_34
2019;22;M;14343;30_34
2019;23;M;2587;30_34
2019;24;M;9176;30_34
2019;25;M;16334;30_34
2019;26;M;14846;30_34
2019;27;M;17099;30_34
2019;28;M;11945;30_34
2019;29;M;24107;30_34
2019;30;M;19449;30_34
2019;31;M;47535;30_34
2019;32;M;4224;30_34
2019;33;M;48874;30_34
2019;34;M;33289;30_34
2019;35;M;32521;30_34
2019;36;M;4915;30_34
2019;37;M;17080;30_34
2019;38;M;37272;30_34
2019;39;M;6687;30_34
2019;40;M;10493;30_34
2019;41;M;8082;30_34
2019;42;M;20800;30_34
2019;43;M;5788;30_34
2019;44;M;45200;30_34
2019;45;M;19424;30_34
2019;46;M;3796;30_34
2019;47;M;8242;30_34
2019;48;M;1965;30_34
2019;49;M;22458;30_34
2019;50;M;12809;30_34
2019;51;M;17209;30_34
2019;52;M;4511;30_34
2019;53;M;8002;30_34
2019;54;M;22323;30_34
2019;55;M;5220;30_34
2019;56;M;18999;30_34
2019;57;M;32747;30_34
2019;58;M;4433;30_34
2019;59;M;81520;30_34
2019;60;M;25294;30_34
2019;61;M;6606;30_34
2019;62;M;44406;30_34
2019;63;M;19069;30_34
2019;64;M;18201;30_34
2019;65;M;5304;30_34
2019;66;M;11566;30_34
2019;67;M;34603;30_34
2019;68;M;22610;30_34
2019;69;M;62918;30_34
2019;70;M;6141;30_34
2019;71;M;13797;30_34
2019;72;M;14673;30_34
2019;73;M;12424;30_34
2019;74;M;29100;30_34
2019;75;M;88405;30_34
2019;76;M;36788;30_34
2019;77;M;44288;30_34
2019;78;M;42244;30_34
2019;79;M;9467;30_34
2019;80;M;16382;30_34
2019;81;M;9388;30_34
2019;82;M;6788;30_34
2019;83;M;27900;30_34
2019;84;M;14816;30_34
2019;85;M;17462;30_34
2019;86;M;11628;30_34
2019;87;M;9102;30_34
2019;88;M;9320;30_34
2019;89;M;8763;30_34
2019;90;M;4239;30_34
2019;91;M;40725;30_34
2019;92;M;58590;30_34
2019;93;M;60554;30_34
2019;94;M;47814;30_34
2019;95;M;40508;30_34
2019;971;M;7283;30_34
2019;972;M;7276;30_34
2019;973;M;9054;30_34
2019;974;M;22698;30_34
2019;976;M;7618;30_34
1990;01;M;18422;30_34
1990;02;M;20429;30_34
1990;03;M;12011;30_34
1990;04;M;4847;30_34
1990;05;M;4418;30_34
1990;06;M;32403;30_34
1990;07;M;9719;30_34
1990;08;M;10967;30_34
1990;09;M;4706;30_34
1990;10;M;10597;30_34
1990;11;M;10368;30_34
1990;12;M;9104;30_34
1990;13;M;62694;30_34
1990;14;M;23311;30_34
1990;15;M;5741;30_34
1990;16;M;12372;30_34
1990;17;M;18172;30_34
1990;18;M;11751;30_34
1990;19;M;8152;30_34
1990;2A;M;4620;30_34
1990;2B;M;5132;30_34
1990;21;M;18392;30_34
1990;22;M;18765;30_34
1990;23;M;4365;30_34
1990;24;M;13189;30_34
1990;25;M;18035;30_34
1990;26;M;15124;30_34
1990;27;M;20505;30_34
1990;28;M;14979;30_34
1990;29;M;31343;30_34
1990;30;M;21253;30_34
1990;31;M;36079;30_34
1990;32;M;5799;30_34
1990;33;M;44797;30_34
1990;34;M;27177;30_34
1990;35;M;29771;30_34
1990;36;M;8316;30_34
1990;37;M;19413;30_34
1990;38;M;38977;30_34
1990;39;M;8838;30_34
1990;40;M;11032;30_34
1990;41;M;11010;30_34
1990;42;M;25290;30_34
1990;43;M;7516;30_34
1990;44;M;39013;30_34
1990;45;M;21927;30_34
1990;46;M;5335;30_34
1990;47;M;10225;30_34
1990;48;M;2662;30_34
1990;49;M;25654;30_34
1990;50;M;18309;30_34
1990;51;M;21169;30_34
1990;52;M;7384;30_34
1990;53;M;10312;30_34
1990;54;M;26519;30_34
1990;55;M;7378;30_34
1990;56;M;23404;30_34
1990;57;M;40895;30_34
1990;58;M;7997;30_34
1990;59;M;93355;30_34
1990;60;M;28447;30_34
1990;61;M;10531;30_34
1990;62;M;54166;30_34
1990;63;M;22183;30_34
1990;64;M;20500;30_34
1990;65;M;7888;30_34
1990;66;M;11521;30_34
1990;67;M;39145;30_34
1990;68;M;27339;30_34
1990;69;M;54982;30_34
1990;70;M;8316;30_34
1990;71;M;19285;30_34
1990;72;M;18863;30_34
1990;73;M;13824;30_34
1990;74;M;23346;30_34
1990;75;M;90775;30_34
1990;76;M;46939;30_34
1990;77;M;43818;30_34
1990;78;M;50411;30_34
1990;79;M;12497;30_34
1990;80;M;20055;30_34
1990;81;M;11407;30_34
1990;82;M;6940;30_34
1990;83;M;29092;30_34
1990;84;M;16586;30_34
1990;85;M;18990;30_34
1990;86;M;13535;30_34
1990;87;M;11998;30_34
1990;88;M;13922;30_34
1990;89;M;11350;30_34
1990;90;M;5264;30_34
1990;91;M;44109;30_34
1990;92;M;56992;30_34
1990;93;M;57935;30_34
1990;94;M;50516;30_34
1990;95;M;43162;30_34
1990;971;M;13697;30_34
1990;972;M;13140;30_34
1990;973;M;5279;30_34
1990;974;M;23063;30_34
1991;01;M;18665;30_34
1991;02;M;20372;30_34
1991;03;M;11959;30_34
1991;04;M;4857;30_34
1991;05;M;4475;30_34
1991;06;M;32972;30_34
1991;07;M;9744;30_34
1991;08;M;10916;30_34
1991;09;M;4648;30_34
1991;10;M;10497;30_34
1991;11;M;10381;30_34
1991;12;M;8995;30_34
1991;13;M;62994;30_34
1991;14;M;22876;30_34
1991;15;M;5689;30_34
1991;16;M;12243;30_34
1991;17;M;18111;30_34
1991;18;M;11662;30_34
1991;19;M;8148;30_34
1991;2A;M;4625;30_34
1991;2B;M;5132;30_34
1991;21;M;18344;30_34
1991;22;M;18489;30_34
1991;23;M;4299;30_34
1991;24;M;13048;30_34
1991;25;M;18047;30_34
1991;26;M;15087;30_34
1991;27;M;20540;30_34
1991;28;M;14949;30_34
1991;29;M;31431;30_34
1991;30;M;21343;30_34
1991;31;M;36767;30_34
1991;32;M;5904;30_34
1991;33;M;44712;30_34
1991;34;M;27659;30_34
1991;35;M;29995;30_34
1991;36;M;8160;30_34
1991;37;M;19232;30_34
1991;38;M;39294;30_34
1991;39;M;8744;30_34
1991;40;M;11126;30_34
1991;41;M;11028;30_34
1991;42;M;25077;30_34
1991;43;M;7505;30_34
1991;44;M;39111;30_34
1991;45;M;22062;30_34
1991;46;M;5377;30_34
1991;47;M;10152;30_34
1991;48;M;2650;30_34
1991;49;M;25479;30_34
1991;50;M;18300;30_34
1991;51;M;21146;30_34
1991;52;M;7417;30_34
1991;53;M;10394;30_34
1991;54;M;26353;30_34
1991;55;M;7340;30_34
1991;56;M;23576;30_34
1991;57;M;40724;30_34
1991;58;M;7918;30_34
1991;59;M;92978;30_34
1991;60;M;28581;30_34
1991;61;M;10577;30_34
1991;62;M;53970;30_34
1991;63;M;22028;30_34
1991;64;M;20668;30_34
1991;65;M;7909;30_34
1991;66;M;11733;30_34
1991;67;M;39285;30_34
1991;68;M;27610;30_34
1991;69;M;55731;30_34
1991;70;M;8366;30_34
1991;71;M;19168;30_34
1991;72;M;18845;30_34
1991;73;M;13943;30_34
1991;74;M;23781;30_34
1991;75;M;92404;30_34
1991;76;M;46716;30_34
1991;77;M;44009;30_34
1991;78;M;51066;30_34
1991;79;M;12462;30_34
1991;80;M;19982;30_34
1991;81;M;11428;30_34
1991;82;M;7005;30_34
1991;83;M;29365;30_34
1991;84;M;16754;30_34
1991;85;M;18957;30_34
1991;86;M;13407;30_34
1991;87;M;11902;30_34
1991;88;M;13835;30_34
1991;89;M;11261;30_34
1991;90;M;5229;30_34
1991;91;M;44897;30_34
1991;92;M;58929;30_34
1991;93;M;58074;30_34
1991;94;M;51373;30_34
1991;95;M;43383;30_34
1991;971;M;13852;30_34
1991;972;M;13333;30_34
1991;973;M;5395;30_34
1991;974;M;23262;30_34
1992;01;M;18834;30_34
1992;02;M;20349;30_34
1992;03;M;11974;30_34
1992;04;M;4870;30_34
1992;05;M;4447;30_34
1992;06;M;33181;30_34
1992;07;M;9806;30_34
1992;08;M;10965;30_34
1992;09;M;4628;30_34
1992;10;M;10675;30_34
1992;11;M;10331;30_34
1992;12;M;9120;30_34
1992;13;M;63464;30_34
1992;14;M;22765;30_34
1992;15;M;5669;30_34
1992;16;M;12170;30_34
1992;17;M;18089;30_34
1992;18;M;11634;30_34
1992;19;M;8015;30_34
1992;2A;M;4571;30_34
1992;2B;M;5098;30_34
1992;21;M;18171;30_34
1992;22;M;18321;30_34
1992;23;M;4308;30_34
1992;24;M;13011;30_34
1992;25;M;18025;30_34
1992;26;M;15106;30_34
1992;27;M;20650;30_34
1992;28;M;14907;30_34
1992;29;M;31428;30_34
1992;30;M;21433;30_34
1992;31;M;37679;30_34
1992;32;M;5914;30_34
1992;33;M;44441;30_34
1992;34;M;27971;30_34
1992;35;M;30046;30_34
1992;36;M;8188;30_34
1992;37;M;19000;30_34
1992;38;M;39552;30_34
1992;39;M;8786;30_34
1992;40;M;11281;30_34
1992;41;M;10991;30_34
1992;42;M;25075;30_34
1992;43;M;7428;30_34
1992;44;M;39364;30_34
1992;45;M;22238;30_34
1992;46;M;5457;30_34
1992;47;M;10024;30_34
1992;48;M;2621;30_34
1992;49;M;25467;30_34
1992;50;M;18441;30_34
1992;51;M;21059;30_34
1992;52;M;7358;30_34
1992;53;M;10253;30_34
1992;54;M;26423;30_34
1992;55;M;7292;30_34
1992;56;M;23601;30_34
1992;57;M;41131;30_34
1992;58;M;7842;30_34
1992;59;M;93144;30_34
1992;60;M;28836;30_34
1992;61;M;10452;30_34
1992;62;M;54039;30_34
1992;63;M;21758;30_34
1992;64;M;20653;30_34
1992;65;M;7810;30_34
1992;66;M;11950;30_34
1992;67;M;39719;30_34
1992;68;M;27926;30_34
1992;69;M;56883;30_34
1992;70;M;8379;30_34
1992;71;M;19140;30_34
1992;72;M;19023;30_34
1992;73;M;14051;30_34
1992;74;M;24276;30_34
1992;75;M;93235;30_34
1992;76;M;46582;30_34
1992;77;M;44189;30_34
1992;78;M;51664;30_34
1992;79;M;12482;30_34
1992;80;M;19993;30_34
1992;81;M;11467;30_34
1992;82;M;7111;30_34
1992;83;M;29599;30_34
1992;84;M;16876;30_34
1992;85;M;18973;30_34
1992;86;M;13319;30_34
1992;87;M;11837;30_34
1992;88;M;13827;30_34
1992;89;M;11147;30_34
1992;90;M;5223;30_34
1992;91;M;45413;30_34
1992;92;M;60340;30_34
1992;93;M;57849;30_34
1992;94;M;52291;30_34
1992;95;M;43478;30_34
1992;971;M;14011;30_34
1992;972;M;13530;30_34
1992;973;M;5514;30_34
1992;974;M;24243;30_34
1993;01;M;19050;30_34
1993;02;M;20179;30_34
1993;03;M;11856;30_34
1993;04;M;4887;30_34
1993;05;M;4465;30_34
1993;06;M;33532;30_34
1993;07;M;9819;30_34
1993;08;M;11099;30_34
1993;09;M;4689;30_34
1993;10;M;10639;30_34
1993;11;M;10330;30_34
1993;12;M;9168;30_34
1993;13;M;63484;30_34
1993;14;M;22409;30_34
1993;15;M;5530;30_34
1993;16;M;12094;30_34
1993;17;M;17957;30_34
1993;18;M;11660;30_34
1993;19;M;7955;30_34
1993;2A;M;4624;30_34
1993;2B;M;5020;30_34
1993;21;M;17947;30_34
1993;22;M;17937;30_34
1993;23;M;4212;30_34
1993;24;M;12871;30_34
1993;25;M;17908;30_34
1993;26;M;15093;30_34
1993;27;M;20513;30_34
1993;28;M;14941;30_34
1993;29;M;31157;30_34
1993;30;M;21357;30_34
1993;31;M;38458;30_34
1993;32;M;5989;30_34
1993;33;M;44249;30_34
1993;34;M;28180;30_34
1993;35;M;30042;30_34
1993;36;M;8112;30_34
1993;37;M;18871;30_34
1993;38;M;39650;30_34
1993;39;M;8852;30_34
1993;40;M;11397;30_34
1993;41;M;10974;30_34
1993;42;M;25028;30_34
1993;43;M;7376;30_34
1993;44;M;39536;30_34
1993;45;M;22116;30_34
1993;46;M;5469;30_34
1993;47;M;10045;30_34
1993;48;M;2631;30_34
1993;49;M;25248;30_34
1993;50;M;18372;30_34
1993;51;M;20911;30_34
1993;52;M;7402;30_34
1993;53;M;10263;30_34
1993;54;M;26349;30_34
1993;55;M;7257;30_34
1993;56;M;23516;30_34
1993;57;M;41183;30_34
1993;58;M;7724;30_34
1993;59;M;93063;30_34
1993;60;M;29249;30_34
1993;61;M;10361;30_34
1993;62;M;53699;30_34
1993;63;M;21434;30_34
1993;64;M;20809;30_34
1993;65;M;7629;30_34
1993;66;M;12117;30_34
1993;67;M;40028;30_34
1993;68;M;28075;30_34
1993;69;M;57640;30_34
1993;70;M;8277;30_34
1993;71;M;19023;30_34
1993;72;M;19024;30_34
1993;73;M;14136;30_34
1993;74;M;24772;30_34
1993;75;M;94666;30_34
1993;76;M;46164;30_34
1993;77;M;44353;30_34
1993;78;M;51990;30_34
1993;79;M;12550;30_34
1993;80;M;19990;30_34
1993;81;M;11373;30_34
1993;82;M;7140;30_34
1993;83;M;29768;30_34
1993;84;M;16971;30_34
1993;85;M;18999;30_34
1993;86;M;13171;30_34
1993;87;M;11691;30_34
1993;88;M;13912;30_34
