"State","TotalArea","LandArea","WaterArea","Density","Pop"
"Alaska",665384,570641,94743,"1.2863",734002
"Texas",268596,261232,7365,"112.8204",29472295
"California",163696,155779,7916,"256.3727",39937489
"Montana",147040,145546,1494,"7.4668",1086759
"New Mexico",121590,121298,292,"17.2850",2096640
"Arizona",113990,113594,396,"64.9550",7378494
"Nevada",110572,109781,791,"28.5993",3139658
"Colorado",104094,103642,452,"56.4011",5845526
"Oregon",98379,95988,2391,"44.8086",4301089
"Wyoming",97813,97093,720,"5.8400",567025
"Michigan",96714,56539,40175,"177.6655",10045029
"Minnesota",86936,79627,7309,"71.5922",5700671
"Utah",84897,82170,2727,"39.9430",3282115
"Idaho",83569,82643,926,"22.0969",1826156
"Kansas",82278,81759,520,"35.5968",2910357
"Nebraska",77348,76824,524,"25.4161",1952570
"South Dakota",77116,75811,1305,"11.9116",903027
"Washington",71298,66456,4842,"117.3272",7797095
"North Dakota",70698,69001,1698,"11.0393",761723
"Oklahoma",69899,68595,1304,"57.6547",3954821
"Missouri",69707,68742,965,"89.7453",6169270
"Florida",65758,53625,12133,"410.1256",21992985
"Wisconsin",65496,54158,11339,"108.0497",5851754
"Georgia",59425,57513,1912,"186.6719",10736059
"Illinois",57914,55519,2395,"228.0243",12659682
"Iowa",56273,55857,416,"56.9284",3179849
"New York",54555,47126,7429,"412.5211",19440469
"North Carolina",53819,48618,5201,"218.2702",10611862
"Arkansas",53179,52035,1143,"58.4030",3038999
"Alabama",52420,50645,1775,"96.9221",4908621
"Louisiana",52378,43204,9174,"107.5175",4645184
"Mississippi",48432,46923,1509,"63.7056",2989260
"Pennsylvania",46054,44743,1312,"286.5449",12820878
"Ohio",44826,40861,3965,"287.5038",11747694
"Virginia",42775,39490,3285,"218.4403",8626207
"Tennessee",42144,41235,909,"167.2748",6897576
"Kentucky",40408,39486,921,"113.9566",4499692
"Indiana",36420,35826,593,"188.2810",6745354
"Maine",35380,30843,4537,"43.6336",1345790
"South Carolina",32020,30061,1960,"173.3174",5210095
"West Virginia",24230,24038,192,"73.9691",1778070
"Maryland",12406,9707,2699,"626.6731",6083116
"Hawaii",10932,6423,4509,"219.9419",1412687
"Massachusetts",10554,7800,2754,"894.4355",6976597
"Vermont",9616,9217,400,"68.1416",628061
"New Hampshire",9349,8953,397,"153.1605",1371246
"New Jersey",8723,7354,1368,"1215.1991",8936574
"Connecticut",5543,4842,701,"735.8689",3563077
"Delaware",2489,1949,540,"504.3073",982895
"Rhode Island",1545,1034,511,"1021.4323",1056161
"District of Columbia",68,61,7,"11814.5410",720687
