state,date_start,date_end,age_band,M_obs,CL_obs,CU_obs,round,18plus,sample_size
MO,20/04/2020,26/04/2020,overall,2.7,1.7,3.9,1,,1882
MO,20/04/2020,26/04/2020,0-18,1.4,0,4.1,1,,158
MO,20/04/2020,26/04/2020,19-49,3.4,1.4,5.5,1,,394
MO,20/04/2020,26/04/2020,50-64,2,0.5,3.8,1,,405
MO,20/04/2020,26/04/2020,65+,3.2,1.9,4.6,1,,925
MN,30/04/2020,12/05/2020,overall,2.4,1,4.5,1,,860
MN,30/04/2020,12/05/2020,0-18,5.8,0,14.3,1,,49
MN,30/04/2020,12/05/2020,19-49,2.3,0.8,4.2,1,,370
MN,30/04/2020,12/05/2020,50-64,0.7,0,2.8,1,,239
MN,30/04/2020,12/05/2020,65+,1,0,3.2,1,,202
UT,20/04/2020,03/05/2020,overall,2.2,1.2,3.4,1,1,1138
UT,20/04/2020,03/05/2020,0-18,0,0,0,1,1,25
UT,20/04/2020,03/05/2020,19-49,1.8,0.6,3.5,1,1,470
UT,20/04/2020,03/05/2020,50-64,2.9,0.9,5.2,1,1,328
UT,20/04/2020,03/05/2020,65+,2.7,0.9,5,1,1,315
NYC,23/03/2020,01/04/2020,overall,6.9,5,8.9,1,,2482
NYC,23/03/2020,01/04/2020,0-18,2.7,0.9,5,1,,311
NYC,23/03/2020,01/04/2020,19-49,8.3,6.2,10.2,1,,909
NYC,23/03/2020,01/04/2020,50-64,6.5,4.3,9.6,1,,455
NYC,23/03/2020,01/04/2020,65+,3.7,2.2,5.2,1,,807
FL,06/04/2020,10/04/2020,overall,1.9,1,3.2,1,,1742
FL,06/04/2020,10/04/2020,0-18,2.4,0,7.8,1,,69
FL,06/04/2020,10/04/2020,19-49,0.9,0.2,2.2,1,,491
FL,06/04/2020,10/04/2020,50-64,2,0.3,4,1,,326
FL,06/04/2020,10/04/2020,65+,3,1.7,4.5,1,,856
LA,01/04/2020,08/04/2020,overall,5.8,3.9,8.2,1,,1186
LA,01/04/2020,08/04/2020,0-18,2.8,0,11.5,1,,33
LA,01/04/2020,08/04/2020,19-49,7.4,4.7,10,1,,619
LA,01/04/2020,08/04/2020,50-64,8.3,4.5,11.9,1,,322
LA,01/04/2020,08/04/2020,65+,4.4,1.5,8,1,,212
WA,23/03/2020,01/04/2020,overall,1.1,0.7,1.9,1,,3264
WA,23/03/2020,01/04/2020,0-18,0.7,0,2.5,1,,219
WA,23/03/2020,01/04/2020,19-49,1.3,0.7,2.3,1,,1213
WA,23/03/2020,01/04/2020,50-64,0.9,0.3,1.9,1,,782
WA,23/03/2020,01/04/2020,65+,1.7,0.9,2.7,1,,1050
CT,26/04/2020,03/05/2020,overall,4.9,3.6,6.5,1,,1431
CT,26/04/2020,03/05/2020,0-18,0.8,0,2.9,1,,219
CT,26/04/2020,03/05/2020,19-49,6.1,3.1,9.3,1,,297
CT,26/04/2020,03/05/2020,50-64,8.1,4.8,11.6,1,,300
CT,26/04/2020,03/05/2020,65+,4.2,2.3,6,1,,615
MO,25/05/2020,30/05/2020,overall,2.8,1.7,4.1,2,,1831
MO,25/05/2020,30/05/2020,0-18,3.4,0.6,7,2,,157
MO,25/05/2020,30/05/2020,19-49,2.4,1.1,4,2,,558
MO,25/05/2020,30/05/2020,50-64,2.2,0.9,3.9,2,,550
MO,25/05/2020,30/05/2020,65+,1.8,0.7,3.3,2,,566
MN,25/05/2020,06/06/2020,overall,2.2,1.4,3.3,2,1,1323
MN,25/05/2020,06/06/2020,0-18,0,0,0,2,1,65
MN,25/05/2020,06/06/2020,19-49,4,2,6.1,2,1,504
MN,25/05/2020,06/06/2020,50-64,2.6,0.8,4.3,2,1,397
MN,25/05/2020,06/06/2020,65+,1.1,0,3,2,1,357
UT,25/05/2020,05/06/2020,overall,1.1,0.6,2.1,2,1,1940
UT,25/05/2020,05/06/2020,0-18,0,0,0,2,1,51
