state,age,dt,norm_visits
MA,45_54,9/18/2020,2815172.775
CA,25_34,4/4/2020,11324012.9
NY,25_34,2/25/2020,8118187.653
NY,25_34,3/10/2020,8100975.35
LA,65_plus,3/16/2020,1454599.037
MI,65_plus,8/24/2020,2982431.607
GA,45_54,2/19/2020,3763366.905
NJ,45_54,6/16/2020,3098134.697
WI,45_54,3/8/2020,2059941.088
SC,18_24,7/8/2020,1237144.281
GA,35_44,2/3/2020,3905937.277
TX,65_plus,10/9/2020,6204165.805
TX,65_plus,5/19/2020,5393927.52
MN,18_24,9/24/2020,1322171.395
CA,35_44,3/12/2020,15137694.86
IL,55_64,5/29/2020,2995653.918
NC,45_54,5/30/2020,3473959.476
WI,55_64,8/24/2020,1531424.992
AZ,35_44,3/9/2020,2481456.258
NH,45_54,7/16/2020,577790.8558
AL,55_64,6/11/2020,1394071.8
LA,55_64,6/7/2020,907476.8175
MS,45_54,2/12/2020,1062363.035
MI,45_54,10/6/2020,3858566.287
NY,65_plus,3/5/2020,6279685.613
AL,45_54,7/26/2020,1547297.551
UT,35_44,8/7/2020,1012121.249
UT,35_44,5/25/2020,798103.6867
TX,35_44,2/6/2020,9549648.668
WI,45_54,8/6/2020,2196705.277
LA,65_plus,10/16/2020,1480081.076
LA,65_plus,10/21/2020,1422705.086
LA,65_plus,3/19/2020,1221963.649
LA,65_plus,3/29/2020,946338.6644
OH,35_44,2/4/2020,3647688.757
CA,45_54,2/29/2020,16689362.95
LA,45_54,8/22/2020,1797691.774
OK,45_54,9/5/2020,1463588.843
MS,55_64,10/20/2020,867105.8938
FL,25_34,9/4/2020,7553834.064
NE,25_34,4/17/2020,502809.6941
MO,18_24,9/29/2020,1591204.561
LA,35_44,9/1/2020,1673013.216
ID,55_64,8/25/2020,497182.6245
CA,45_54,8/4/2020,12449281.26
SD,45_54,10/9/2020,372132.0934
AL,35_44,10/23/2020,1843978.265
CA,45_54,7/8/2020,11899927.14
NE,25_34,6/29/2020,601227.4753
GA,25_34,10/12/2020,3750538.89
CO,35_44,10/13/2020,1895477.407
NY,45_54,7/2/2020,7467821.846
TX,65_plus,4/2/2020,4691380.57
IA,45_54,4/6/2020,822285.5595
ND,25_34,8/18/2020,238615.2266
MA,45_54,3/9/2020,2659842.14
GA,45_54,6/5/2020,3668448.011
AZ,55_64,6/12/2020,1755991.975
KS,45_54,9/2/2020,1086609.324
SD,65_plus,2/10/2020,249152.4588
GA,18_24,2/18/2020,2651583.174
AZ,45_54,10/19/2020,2201892.822
NY,18_24,8/1/2020,5084990.131
NJ,45_54,2/10/2020,3157081.56
SC,45_54,3/31/2020,1417553.731
PA,35_44,8/5/2020,4434892.421
IN,35_44,2/18/2020,2058039.697
IL,35_44,7/9/2020,4134876.13
MN,45_54,2/21/2020,1955717.377
MN,45_54,4/13/2020,1251737.654
VA,55_64,3/28/2020,1782077.675
AL,35_44,2/10/2020,1503376.891
FL,35_44,6/28/2020,5948079.672
CT,35_44,10/2/2020,1383184.267
KS,25_34,9/23/2020,1026227.286
FL,55_64,2/26/2020,6989039.848
OK,35_44,2/20/2020,1262162.598
OK,35_44,4/28/2020,1059662.892
NC,35_44,5/24/2020,2940256.198
OH,35_44,9/29/2020,3942589.512
DC,35_44,10/16/2020,302431.7973
