"age_cat","ln_mu","ln_sd","ifr_mean","ifr_cl","ifr_cu","ifr_beta_alpha","ifr_beta_beta","age_cat_label"
"1",-11.8588167093897,0.165781560457282,7.17380079770443e-06,5.22091245937944e-06,9.85774035558796e-06,35.716783819066,4978745.38214147,"0-4"
"2",-11.2527085208511,0.151394869501903,1.31216329755262e-05,9.80594160500915e-06,1.75594413885847e-05,42.9331306923041,3271892.10516682,"5-9"
"3",-10.6468660508587,0.137436576540989,2.40008420078084e-05,1.84066707734018e-05,3.12968564685434e-05,52.1843666136252,2174220.14310622,"10-14"
"4",-10.0412830289029,0.124000288850938,4.39000546466559e-05,3.45239175949246e-05,5.58253522031009e-05,64.1656273012813,1461565.61633401,"15-19"
"5",-9.43595333478231,0.111220009124001,8.02977955900133e-05,6.46851533092558e-05,9.96832083910703e-05,79.7769939450835,993434.34576493,"20-24"
"6",-8.83087098538868,0.0992907834559789,0.000146873093210161,0.000121019910089672,0.000178256074897945,100.056442154043,681144.138577773,"25-29"
"7",-8.22603072264613,0.0884956412666824,0.000268646281212568,0.000225958313792944,0.000319408586248756,125.836759784502,468284.740957958,"30-34"
"8",-7.62142751291021,0.0792358702484128,0.00049138218536973,0.000420696079730988,0.000573957175016403,156.75718104804,318855.990361053,"35-39"
"9",-7.01705676853455,0.0720426478183862,0.000898789502680301,0.000780215136706829,0.00103539583832026,189.330390417649,210461.094267461,"40-44"
"10",-6.41291464334159,0.0675226173496526,0.00164398025721312,0.00143958897143602,0.00187739630043507,215.183278379875,130676.460605869,"45-49"
"11",-5.80899860128728,0.0661851200465602,0.00300701205432415,0.00263996855914593,0.00342508715391159,223.600358127437,74136.0477204012,"50-54"
"12",-5.20530765840263,0.0682049917179715,0.00550014019012451,0.00480998250842094,0.00628934922814369,210.108139874956,37990.3981403476,"55-59"
"13",-4.60184310434919,0.0733223881646143,0.0100603329539299,0.00871160471439362,0.0116180154681206,181.132547961599,17823.4950116901,"60-64"
"14",-3.99860793596837,0.0809885482147681,0.0184014030694962,0.0157014319896698,0.0215661388635635,147.373118556285,7861.42479754306,"65-69"
"15",-3.39560614189363,0.0906026027469877,0.0336580936908722,0.0281961255073547,0.0401793966293335,116.03028326829,3331.29161006153,"70-74"
"16",-2.7928423008225,0.101658831921779,0.061564181804657,0.0504997937679291,0.0750557103157043,89.5322034469831,1364.75827557,"75-79"
"17",-2.19032162429686,0.113782487286447,0.11260733795166,0.0902749938964844,0.140470658302307,67.5319555218795,532.179899409541,"80-84"
"18",-1.20625310838131,0.136462731622352,0.302116652443295,0.232157680420648,0.393242957705543,36.7128828376089,84.8060157093673,"85+"
