"age_cat","age_cat_label","ln_mu","ln_sd","ifr_mean","ifr_cl","ifr_cu","ifr_beta_alpha","ifr_beta_beta"
1,"0-4",-12.404523584254,1.2848842216711,4.1e-06,9.99999999999999e-08,5.35574771814693e-05,0.0410586983709846,10014.2756171515
2,"5-9",-11.8276362098099,1.16146238861558,7.29999999999999e-06,9.99999999999999e-08,7.45e-05,0.0865082111857294,11850.3533802449
3,"10-14",-11.2128208725199,1.01787297454446,1.35e-05,2e-07,0.000103382493014507,0.193635529026718,14343.1788849686
4,"15-19",-10.5612675892588,0.875798741451971,2.59e-05,6e-07,0.000149282495162965,0.369792158317524,14277.3197181708
5,"20-24",-9.95478084692368,0.778551242790026,4.75e-05,1.9e-06,0.000225389991338593,0.566909341395584,11934.3665937235
6,"25-29",-9.35536614402644,0.691228755850674,8.65e-05,7.8e-06,0.0003446749936516,0.8384263113822,9691.95130065047
7,"30-34",-8.75228281374885,0.64040534779366,0.0001581,2.43e-05,0.000569089912333023,1.06364036742349,6726.57941733964
8,"35-39",-8.15567997083726,0.605552250743646,0.0002871,5.70598733431334e-05,0.000963849429179968,1.2608628389404,4390.45923099736
9,"40-44",-7.56389573855628,0.582906951995338,0.000518849997590826,0.000127097499040612,0.00166474747359053,1.41525836458633,2726.26783146445
10,"45-49",-6.95941706369209,0.570464848125236,0.000949649998683725,0.000257287488143107,0.00297209743768106,1.51001116764956,1588.56124639306
11,"50-54",-6.35269270862053,0.563632549233496,0.00174204998206136,0.000504497499758392,0.0053780597551928,1.56486354494528,896.723682168068
12,"55-59",-5.73624885087446,0.562268025848112,0.00322684999651363,0.000985989998021784,0.00993478743102829,1.57453044737106,486.372058043642
13,"60-64",-5.10770527556865,0.558843738216807,0.0060499499749998,0.00187966498728562,0.01849938484384,1.59573690439844,262.164610039378
14,"65-69",-4.47388318590623,0.551872783083215,0.0114029499911207,0.00360006999512407,0.0343849049761708,1.64045206766575,142.221624758343
15,"70-74",-3.84823398417804,0.541863537191641,0.0213173499929048,0.00685897249784977,0.0630071599029662,1.70093650072473,78.0902430450851
16,"75-79",-3.22963095839639,0.522968393889399,0.0395720998452192,0.0129051573226282,0.112624706323492,1.82460012403774,44.283646119513
17,"80-84",-2.63048587038641,0.496903188361748,0.072043449954871,0.023890007469747,0.19462522482413,1.99117768907782,25.647388902682
18,"85+",-1.35511675902193,0.361695657946047,0.257917178536203,0.088947113212608,0.531673636490964,3.22565149227776,9.28088843881483
