"state","age","dt","norm_visits"
"FL","65_plus","3/24/2020",6516718.866
"IA","45_54","9/19/2020",1309468.477
"IA","45_54","10/9/2020",1253927.866
"PA","25_34","7/27/2020",4283640.33
"FL","18_24","6/18/2020",4780624.928
"NY","35_44","2/17/2020",8608798.59
"TX","65_plus","7/28/2020",5724300.409
"NH","55_64","8/2/2020",503296.2369
"TX","25_34","2/13/2020",12420420.83
"TX","35_44","10/13/2020",9955742.866
"TX","35_44","10/3/2020",11769940.59
"TX","35_44","8/7/2020",10775413.32
"GA","45_54","4/26/2020",3075813.881
"GA","45_54","2/14/2020",5129184.745
"IL","35_44","9/19/2020",5494628.906
"MD","65_plus","3/8/2020",1730215.243
"TX","18_24","2/23/2020",8095058.996
"TX","18_24","7/23/2020",6651798.774
"OH","35_44","7/28/2020",4139619.979
"GA","25_34","6/24/2020",4095577.68
"MT","55_64","8/11/2020",433728.3045
"OK","25_34","6/5/2020",1762851.894
"NY","35_44","8/3/2020",8059321.284
"NY","35_44","4/28/2020",6594844.81
"GA","35_44","10/19/2020",4365729.563
"FL","35_44","10/3/2020",9082211.809
"FL","35_44","9/7/2020",7639268.662
"NE","35_44","10/26/2020",589302.6431
"UT","25_34","10/4/2020",1133504.442
"FL","25_34","6/20/2020",8654854.816
"PA","55_64","2/22/2020",4880315.076
"WI","45_54","6/20/2020",2302005.313
"IL","35_44","7/2/2020",5173725.998
"CA","45_54","8/20/2020",13595452.7
"MO","65_plus","10/2/2020",2145058.656
"SD","35_44","10/10/2020",334638.2708
"OR","45_54","8/1/2020",1514306.072
"MI","35_44","5/20/2020",3354142.913
"NE","35_44","4/21/2020",585862.606
"MO","35_44","2/18/2020",2117419.95
"MO","35_44","4/19/2020",1655113.054
"KY","35_44","10/6/2020",1640153.529
"CA","35_44","2/6/2020",17706508.65
"CA","35_44","7/12/2020",14776912.74
"DE","25_34","10/22/2020",379404.8954
"OH","55_64","5/4/2020",2996670.245
"MO","65_plus","7/5/2020",1611778.567
"MN","45_54","8/30/2020",1843695.344
"TX","45_54","5/6/2020",8650622.418
"CT","65_plus","2/20/2020",1213842.989
"IL","45_54","2/24/2020",4710996.26
"SD","25_34","2/25/2020",263082.8326
"VA","45_54","9/10/2020",3192211.363
"TX","35_44","4/20/2020",8386552.718
"IL","25_34","4/22/2020",3847697.451
"NJ","18_24","3/2/2020",2280394.378
"WI","25_34","10/18/2020",1823670.501
"LA","25_34","8/2/2020",1640003.772
"LA","25_34","10/24/2020",2213689.883
"MI","45_54","7/16/2020",3801028.813
"MI","45_54","8/28/2020",4173200.26
"SC","45_54","8/31/2020",1972536.028
"TN","18_24","2/5/2020",1677377.725
"TN","18_24","2/27/2020",1893263.42
"WA","65_plus","9/16/2020",1906556.356
"NJ","55_64","6/14/2020",2283274.792
"MI","35_44","2/17/2020",3243329.392
"IN","35_44","7/16/2020",2307648.986
"TX","65_plus","5/18/2020",6000988.491
"WI","55_64","9/3/2020",1749850.543
"UT","55_64","3/1/2020",655252.0226
"NV","55_64","5/5/2020",745677.5648
"OR","35_44","9/12/2020",1366528.089
"TX","25_34","3/8/2020",12883628.26
"TX","25_34","4/5/2020",7250435.881
"LA","45_54","2/22/2020",2535190.183
"GA","35_44","5/1/2020",4471584.871
"KY","25_34","3/10/2020",1706304.114
"MI","25_34","2/3/2020",3167147.729
"OH","65_plus","9/10/2020",3467674.911
"LA","35_44","2/18/2020",1934419.985
"WA","45_54","4/7/2020",2015725.89
"WA","45_54","2/4/2020",2584947.19
"WA","45_54","6/7/2020",2109709.52
