state,date_start,date_end,M_obs,CL_obs,CU_obs,18plus,sample_size
AK,06/08/2020,11/08/2020,0.4,0,1.6,1,985
AL,29/07/2020,12/08/2020,5.4,3.5,7.3,,911
AR,29/07/2020,12/08/2020,4.3,2.8,5.8,,922
AZ,31/07/2020,11/08/2020,8.3,4.5,13.8,,591
CA,30/07/2020,05/05/2020,5.6,3.8,7.8,,979
CO,23/07/2020,07/08/2020,1.8,1,2.8,,1001
CT,30/07/2020,03/08/2020,3.3,2,4.6,,992
DC,20/07/2020,12/08/2020,3.2,2,5.6,,684
DE,09/07/2020,12/08/2020,5.8,3.7,8.8,,797
FL,31/07/2020,03/08/2020,4.1,2.8,6,,978
GA,02/08/2020,11/08/2020,6.9,5.1,9.3,,985
IA,29/07/2020,12/08/2020,7.8,5.3,10.4,,759
ID,04/08/2020,11/08/2020,6.5,2,10.2,1,246
IL,15/07/2020,10/08/2020,4.3,2.8,6,,1005
IN,31/07/2020,11/08/2020,2.1,1.1,3.4,1,579
KS,23/07/2020,08/08/2020,1.5,0.8,2.4,,963
KY,30/07/2020,12/08/2020,2.1,1.2,3.3,,946
LA,16/07/2020,12/08/2020,10.8,8.2,13.2,,986
MA,30/07/2020,10/08/2020,4.6,2.8,5.8,,977
MD,31/07/2020,11/08/2020,9.5,6.9,13,,783
ME,30/07/2020,11/08/2020,0.4,0,1.4,1,598
MI,21/07/2020,11/08/2020,3.7,2.3,4.8,,982
MN,29/07/2020,12/08/2020,3.9,2.3,5.4,,854
MO,28/07/2020,10/08/2020,2.8,1.6,4.1,,979
MS,30/07/2020,12/08/2020,8.4,3.8,11.3,,764
MT,29/07/2020,10/08/2020,0.5,0,1.9,1,199
NC,29/07/2020,10/08/2020,2.3,1.4,3.7,,928
ND,29/07/2020,11/08/2020,2.6,0,6.5,1,107
NE,28/07/2020,12/08/2020,7.9,5.4,9.9,,907
NH,30/07/2020,11/08/2020,0.9,0.3,2,1,809
NJ,31/07/2020,11/08/2020,14.7,12.2,17.6,,871
NM,29/07/2020,12/08/2020,2.2,1.1,3.2,,945
NV,20/07/2020,02/08/2020,5.4,3.8,7.2,,979
NY,31/07/2020,11/08/2020,22.5,19.1,25.7,,846
OH,26/07/2020,11/08/2020,2.2,1.4,3.9,,787
OK,28/07/2020,04/08/2020,1.5,0.8,2.4,,976
OR,05/08/2020,11/08/2020,2.5,1,4.4,,658
PA,31/07/2020,11/08/2020,8.9,5,15.5,,575
PR,27/07/2020,07/08/2020,1.4,0.5,2,,984
RI,30/07/2020,11/08/2020,2.8,1.3,5.8,,684
SC,30/07/2020,11/08/2020,7.8,5.7,10.7,,835
SD,,,,,,,
TN,30/07/2020,11/08/2020,5.8,4.4,8.3,,1002
TX,16/07/2020,05/08/2020,5.7,4.1,7.7,,987
UT,30/07/2020,11/08/2020,3.1,1.7,5.2,,880
VA,31/07/2020,11/08/2020,3.9,1.7,7.1,,730
VT,30/07/2020,11/08/2020,0.5,0,1.7,1,344
WA,29/07/2020,11/08/2020,2.4,0.9,3.9,,683
WI,30/07/2020,12/08/2020,1.5,0.7,3.5,,794
WV,30/07/2020,12/08/2020,1.4,0.2,2.9,1,300
WY,,,,,,,
