"DATE_OF_INTEREST","CASE_COUNT","HOSPITALIZED_COUNT","DEATH_COUNT","CASE_COUNT_7DAY_AVG","INCOMPLETE"
"06/18/2020",378,56,17,332,NA
"06/19/2020",362,53,17,325,NA
"06/20/2020",203,30,19,326,NA
"06/21/2020",172,42,28,324,NA
"06/22/2020",398,54,25,327,NA
"06/23/2020",383,46,27,322,NA
"06/24/2020",383,49,25,326,NA
"06/25/2020",299,45,19,314,NA
"06/26/2020",314,41,20,307,NA
"06/27/2020",207,40,21,308,NA
"06/28/2020",203,35,19,312,NA
"06/29/2020",439,50,24,318,NA
"06/30/2020",442,49,23,327,NA
"07/01/2020",397,43,12,329,NA
"07/02/2020",418,48,24,346,NA
"07/03/2020",236,28,21,335,NA
"07/04/2020",120,32,14,322,NA
"07/05/2020",154,25,16,315,NA
"07/06/2020",434,60,16,314,NA
"07/07/2020",461,49,13,317,NA
"07/08/2020",437,32,20,323,NA
"07/09/2020",392,50,10,319,NA
"07/10/2020",310,43,10,330,NA
"07/11/2020",257,32,13,349,NA
"07/12/2020",224,28,11,359,NA
"07/13/2020",484,49,17,366,NA
"07/14/2020",401,41,11,358,NA
"07/15/2020",440,44,14,358,NA
"07/16/2020",417,36,9,362,NA
"07/17/2020",418,54,13,377,NA
"07/18/2020",218,29,11,372,NA
"07/19/2020",175,33,7,365,NA
"07/20/2020",402,34,11,353,NA
"07/21/2020",339,28,11,344,NA
"07/22/2020",330,38,8,328,NA
"07/23/2020",309,38,9,313,NA
"07/24/2020",300,40,6,296,NA
"07/25/2020",153,34,11,287,NA
"07/26/2020",140,27,8,282,NA
"07/27/2020",316,43,5,270,NA
"07/28/2020",313,40,12,266,NA
"07/29/2020",289,30,5,260,NA
"07/30/2020",271,36,4,255,NA
"07/31/2020",264,33,5,249,NA
"08/01/2020",189,31,8,255,NA
"08/02/2020",137,33,2,254,NA
"08/03/2020",348,41,3,259,NA
"08/04/2020",187,38,6,241,NA
"08/05/2020",301,38,8,242,NA
"08/06/2020",292,34,6,245,NA
"08/07/2020",256,27,4,244,NA
"08/08/2020",160,17,6,240,NA
"08/09/2020",133,27,3,240,NA
"08/10/2020",309,33,6,234,NA
"08/11/2020",262,26,6,245,NA
"08/12/2020",319,36,2,247,NA
"08/13/2020",275,40,3,245,NA
"08/14/2020",278,40,4,248,NA
"08/15/2020",151,23,7,247,NA
"08/16/2020",140,24,5,248,NA
"08/17/2020",329,33,6,251,NA
"08/18/2020",282,43,2,253,NA
"08/19/2020",257,32,2,245,NA
"08/20/2020",224,35,7,237,NA
"08/21/2020",251,31,3,233,NA
"08/22/2020",135,25,6,231,NA
"08/23/2020",150,21,4,233,NA
"08/24/2020",297,31,8,228,NA
"08/25/2020",282,41,5,228,NA
"08/26/2020",313,26,6,236,NA
"08/27/2020",268,31,1,242,NA
"08/28/2020",276,22,6,246,NA
"08/29/2020",128,22,4,245,NA
"08/30/2020",181,19,8,249,NA
"08/31/2020",310,40,3,251,NA
"09/01/2020",296,22,5,253,NA
"09/02/2020",275,23,7,248,NA
"09/03/2020",272,21,6,248,NA
"09/04/2020",229,31,4,242,NA
"09/05/2020",156,20,3,246,NA
"09/06/2020",207,24,7,249,NA
"09/07/2020",218,25,3,236,NA
"09/08/2020",390,25,2,250,NA
"09/09/2020",351,28,3,260,NA
"09/10/2020",322,26,3,268,NA
"09/11/2020",314,34,4,280,NA
"09/12/2020",201,14,5,286,NA
"09/13/2020",256,17,3,293,NA
"09/14/2020",433,27,5,324,NA
"09/15/2020",340,32,3,317,NA
"09/16/2020",365,47,7,319,NA
"09/17/2020",355,27,3,323,NA
"09/18/2020",286,38,4,319,NA
"09/19/2020",160,23,5,314,NA
"09/20/2020",157,24,3,299,NA
"09/21/2020",511,23,3,311,NA
"09/22/2020",406,31,3,320,NA
"09/23/2020",532,39,4,344,NA
"09/24/2020",468,34,2,360,NA
"09/25/2020",458,48,4,385,NA
"09/26/2020",278,30,6,401,NA
"09/27/2020",381,32,2,433,NA
"09/28/2020",432,37,4,422,NA
"09/29/2020",687,48,8,462,NA
"09/30/2020",588,49,7,470,NA
"10/01/2020",615,35,5,491,NA
"10/02/2020",593,45,4,511,NA
"10/03/2020",273,26,5,510,NA
"10/04/2020",337,44,7,504,NA
"10/05/2020",846,54,3,563,NA
"10/06/2020",563,50,2,545,NA
"10/07/2020",541,46,4,538,NA
"10/08/2020",518,41,5,524,NA
"10/09/2020",518,54,3,514,NA
"10/10/2020",307,33,4,519,NA
"10/11/2020",278,45,8,510,NA
"10/12/2020",492,48,8,460,NA
"10/13/2020",583,53,3,462,NA
"10/14/2020",568,55,5,466,NA
"10/15/2020",591,71,9,477,NA
"10/16/2020",492,43,6,473,NA
"10/17/2020",353,39,6,480,NA
"10/18/2020",396,38,4,496,NA
"10/19/2020",603,59,7,512,NA
"10/20/2020",585,68,6,513,NA
"10/21/2020",627,51,5,521,NA
"10/22/2020",717,38,2,539,NA
"10/23/2020",537,53,3,545,6000
"10/24/2020",350,49,1,545,6000
"10/25/2020",321,38,8,534,6000
"10/26/2020",548,42,3,526,6000
"10/27/2020",392,30,7,499,6000
"10/28/2020",207,3,2,439,6000
"10/29/2020",14,0,0,338,6000
