date,state,categoryName,visitIndex,visitIndexOver65,visitIndexUnder65,rank
2020-03-01,Alabama,Food,109.0,104.0,109.0,1
2020-03-01,Alabama,Shops & Services,115.0,102.0,115.0,2
2020-03-01,Alabama,Gas Stations,110.0,109.0,110.0,3
2020-03-01,Alabama,Big Box Stores,108.0,104.0,108.0,4
2020-03-01,Alabama,Grocery,99.0,92.0,99.0,5
2020-03-01,Alabama,Fast Food Restaurants,115.0,115.0,115.0,6
2020-03-01,Alabama,Outdoors & Recreation,109.0,108.0,109.0,7
2020-03-01,Alabama,Discount Stores,107.0,101.0,107.0,8
2020-03-01,Alabama,Arts & Entertainment,110.0,99.0,110.0,9
2020-03-01,Alabama,School,105.0,97.0,105.0,10
2020-03-01,Alabama,Professional & Other Places,104.0,95.0,105.0,11
2020-03-01,Alabama,Nightlife Spots,97.0,102.0,97.0,12
2020-03-01,Alabama,Medical,106.0,103.0,106.0,13
2020-03-01,Alabama,Hotel,95.0,95.0,95.0,14
2020-03-01,Alabama,Hardware Stores,120.0,115.0,121.0,15
2020-03-01,Alabama,Residences,103.0,101.0,103.0,16
2020-03-01,Alabama,Colleges & Universities,112.0,136.0,112.0,17
2020-03-01,Alabama,Convenience Store,106.0,110.0,106.0,18
2020-03-01,Alabama,Drug Store,107.0,108.0,107.0,19
2020-03-01,Alabama,Sports,111.0,105.0,111.0,20
2020-03-01,Alabama,Travel & Transport,110.0,123.0,109.0,21
2020-03-01,Alabama,Government,110.0,116.0,110.0,22
2020-03-01,Alabama,Fitness Center,105.0,95.0,105.0,23
2020-03-01,Alabama,Office,105.0,118.0,105.0,24
2020-03-01,Alabama,Banks,105.0,91.0,105.0,25
2020-03-01,Alabama,Airport,111.0,109.0,111.0,26
2020-03-01,Alabama,Alcohol,109.0,"",110.0,27
2020-03-01,Alabama,Beach,119.0,94.0,121.0,28
2020-03-01,Alabama,Spiritual Center,134.0,"",137.0,29
2020-03-01,Alaska,Shops & Services,109.0,111.0,109.0,1
2020-03-01,Alaska,Food,109.0,113.0,109.0,2
2020-03-01,Alaska,Grocery,103.0,113.0,103.0,3
2020-03-01,Alaska,Nightlife Spots,115.0,109.0,115.0,4
2020-03-01,Alaska,Outdoors & Recreation,102.0,93.0,102.0,5
2020-03-01,Alaska,Hotel,108.0,99.0,108.0,6
2020-03-01,Alaska,Gas Stations,99.0,"",100.0,7
2020-03-01,Alaska,Airport,115.0,131.0,114.0,8
2020-03-01,Alaska,Big Box Stores,100.0,"",100.0,9
2020-03-01,Alaska,Arts & Entertainment,115.0,125.0,115.0,10
2020-03-01,Alaska,Fast Food Restaurants,122.0,"",122.0,11
2020-03-01,Alaska,Professional & Other Places,121.0,106.0,122.0,12
2020-03-01,Alaska,Medical,109.0,"",110.0,13
2020-03-01,Alaska,Drug Store,118.0,"",117.0,14
2020-03-01,Alaska,School,105.0,"",105.0,15
2020-03-01,Alaska,Fitness Center,101.0,"",101.0,16
2020-03-01,Alaska,Hardware Stores,97.0,"",98.0,17
2020-03-01,Alaska,Travel & Transport,138.0,"",139.0,18
2020-03-01,Arizona,Food,104.0,99.0,105.0,1
2020-03-01,Arizona,Shops & Services,106.0,102.0,106.0,2
2020-03-01,Arizona,Grocery,91.0,91.0,91.0,3
2020-03-01,Arizona,Outdoors & Recreation,107.0,103.0,107.0,4
2020-03-01,Arizona,Big Box Stores,102.0,102.0,102.0,5
2020-03-01,Arizona,Arts & Entertainment,109.0,103.0,110.0,6
2020-03-01,Arizona,Fast Food Restaurants,105.0,103.0,106.0,7
2020-03-01,Arizona,Nightlife Spots,102.0,92.0,102.0,8
2020-03-01,Arizona,Convenience Store,105.0,106.0,105.0,9
2020-03-01,Arizona,Residences,101.0,101.0,101.0,10
2020-03-01,Arizona,Gas Stations,102.0,100.0,102.0,11
2020-03-01,Arizona,Hotel,104.0,104.0,104.0,12
2020-03-01,Arizona,Airport,105.0,96.0,105.0,13
2020-03-01,Arizona,Professional & Other Places,94.0,82.0,95.0,14
2020-03-01,Arizona,School,100.0,93.0,100.0,15
