date,state,categoryName,visitIndex,visitIndexOver65,visitIndexUnder65,rank
2020-03-01,Arizona,Sports,101.0,97.0,102.0,16
2020-03-01,Arizona,Hardware Stores,112.0,98.0,113.0,17
2020-03-01,Arizona,Medical,97.0,89.0,98.0,18
2020-03-01,Arizona,Drug Store,96.0,96.0,96.0,19
2020-03-01,Arizona,Travel & Transport,107.0,112.0,106.0,20
2020-03-01,Arizona,Fitness Center,100.0,94.0,100.0,21
2020-03-01,Arizona,Discount Stores,97.0,93.0,97.0,22
2020-03-01,Arizona,Colleges & Universities,104.0,90.0,105.0,23
2020-03-01,Arizona,Office,106.0,106.0,106.0,24
2020-03-01,Arizona,Government,98.0,92.0,98.0,25
2020-03-01,Arizona,Banks,110.0,87.0,111.0,26
2020-03-01,Arizona,Alcohol,91.0,69.0,92.0,27
2020-03-01,Arizona,Bus,106.0,98.0,106.0,28
2020-03-01,Arizona,Light Rail Stations,123.0,"",123.0,29
2020-03-01,Arizona,Spiritual Center,90.0,83.0,90.0,30
2020-03-01,Arkansas,Food,111.0,113.0,111.0,1
2020-03-01,Arkansas,Shops & Services,119.0,114.0,119.0,2
2020-03-01,Arkansas,Fast Food Restaurants,117.0,112.0,117.0,3
2020-03-01,Arkansas,Big Box Stores,108.0,109.0,108.0,4
2020-03-01,Arkansas,Gas Stations,108.0,110.0,108.0,5
2020-03-01,Arkansas,Grocery,103.0,103.0,103.0,6
2020-03-01,Arkansas,Outdoors & Recreation,108.0,100.0,108.0,7
2020-03-01,Arkansas,Arts & Entertainment,123.0,105.0,124.0,8
2020-03-01,Arkansas,Discount Stores,110.0,103.0,110.0,9
2020-03-01,Arkansas,Professional & Other Places,127.0,114.0,127.0,10
2020-03-01,Arkansas,School,107.0,106.0,107.0,11
2020-03-01,Arkansas,Hotel,125.0,127.0,125.0,12
2020-03-01,Arkansas,Medical,105.0,93.0,106.0,13
2020-03-01,Arkansas,Nightlife Spots,114.0,145.0,114.0,14
2020-03-01,Arkansas,Convenience Store,110.0,104.0,110.0,15
2020-03-01,Arkansas,Colleges & Universities,135.0,134.0,135.0,16
2020-03-01,Arkansas,Hardware Stores,122.0,119.0,122.0,17
2020-03-01,Arkansas,Sports,109.0,93.0,109.0,18
2020-03-01,Arkansas,Residences,107.0,92.0,107.0,19
2020-03-01,Arkansas,Government,109.0,106.0,109.0,20
2020-03-01,Arkansas,Drug Store,99.0,113.0,99.0,21
2020-03-01,Arkansas,Fitness Center,102.0,104.0,102.0,22
2020-03-01,Arkansas,Travel & Transport,111.0,119.0,111.0,23
2020-03-01,Arkansas,Office,124.0,121.0,124.0,24
2020-03-01,Arkansas,Banks,107.0,104.0,107.0,25
2020-03-01,Arkansas,Alcohol,96.0,"",96.0,26
2020-03-01,Arkansas,Airport,102.0,94.0,103.0,27
2020-03-01,Arkansas,Spiritual Center,100.0,"",100.0,28
2020-03-01,California,Food,100.0,97.0,100.0,1
2020-03-01,California,Shops & Services,102.0,100.0,102.0,2
2020-03-01,California,Grocery,95.0,95.0,95.0,3
2020-03-01,California,Outdoors & Recreation,94.0,92.0,94.0,4
2020-03-01,California,Arts & Entertainment,102.0,101.0,102.0,5
2020-03-01,California,Fast Food Restaurants,104.0,102.0,104.0,6
2020-03-01,California,Nightlife Spots,97.0,96.0,97.0,7
2020-03-01,California,Gas Stations,102.0,100.0,102.0,8
2020-03-01,California,Big Box Stores,103.0,102.0,103.0,9
2020-03-01,California,Professional & Other Places,98.0,92.0,98.0,10
2020-03-01,California,Hotel,96.0,97.0,96.0,11
2020-03-01,California,School,101.0,98.0,101.0,12
2020-03-01,California,Airport,101.0,102.0,100.0,13
2020-03-01,California,Convenience Store,99.0,96.0,99.0,14
2020-03-01,California,Residences,95.0,87.0,96.0,15
2020-03-01,California,Fitness Center,98.0,97.0,98.0,16
2020-03-01,California,Medical,99.0,95.0,99.0,17
2020-03-01,California,Drug Store,102.0,103.0,102.0,18
2020-03-01,California,Hardware Stores,108.0,103.0,109.0,19
2020-03-01,California,Colleges & Universities,108.0,111.0,108.0,20
2020-03-01,California,Travel & Transport,98.0,101.0,98.0,21
2020-03-01,California,Sports,100.0,93.0,101.0,22
2020-03-01,California,Discount Stores,100.0,97.0,100.0,23
2020-03-01,California,Office,97.0,92.0,97.0,24
2020-03-01,California,Banks,102.0,92.0,103.0,25
2020-03-01,California,Government,101.0,93.0,101.0,26
2020-03-01,California,Beach,81.0,71.0,82.0,27
2020-03-01,California,Alcohol,93.0,90.0,93.0,28
2020-03-01,California,Bus,101.0,106.0,101.0,29
2020-03-01,California,Skiing,89.0,84.0,89.0,30
2020-03-01,California,Light Rail Stations,93.0,97.0,93.0,31
2020-03-01,California,Metro Stations,85.0,98.0,84.0,32
2020-03-01,California,Spiritual Center,94.0,78.0,95.0,33
2020-03-01,California,Events,87.0,"",91.0,34
2020-03-01,Colorado,Food,106.0,109.0,106.0,1
2020-03-01,Colorado,Shops & Services,113.0,114.0,113.0,2
2020-03-01,Colorado,Grocery,99.0,99.0,99.0,3
2020-03-01,Colorado,Outdoors & Recreation,99.0,97.0,99.0,4
2020-03-01,Colorado,Nightlife Spots,100.0,102.0,100.0,5
2020-03-01,Colorado,Big Box Stores,109.0,107.0,109.0,6
2020-03-01,Colorado,Arts & Entertainment,106.0,103.0,106.0,7
2020-03-01,Colorado,Fast Food Restaurants,108.0,118.0,108.0,8
2020-03-01,Colorado,Airport,98.0,90.0,98.0,9
2020-03-01,Colorado,Gas Stations,102.0,106.0,101.0,10
2020-03-01,Colorado,Hotel,100.0,101.0,100.0,11
2020-03-01,Colorado,Professional & Other Places,115.0,110.0,115.0,12
2020-03-01,Colorado,Residences,97.0,104.0,97.0,13
2020-03-01,Colorado,Convenience Store,101.0,91.0,101.0,14
2020-03-01,Colorado,Skiing,93.0,99.0,93.0,15
2020-03-01,Colorado,School,102.0,104.0,102.0,16
2020-03-01,Colorado,Fitness Center,107.0,105.0,107.0,17
2020-03-01,Colorado,Hardware Stores,119.0,115.0,120.0,18
2020-03-01,Colorado,Medical,100.0,107.0,100.0,19
2020-03-01,Colorado,Sports,101.0,99.0,101.0,20
2020-03-01,Colorado,Alcohol,101.0,97.0,101.0,21
2020-03-01,Colorado,Colleges & Universities,94.0,100.0,94.0,22
2020-03-01,Colorado,Drug Store,112.0,113.0,111.0,23
2020-03-01,Colorado,Travel & Transport,100.0,114.0,100.0,24
2020-03-01,Colorado,Office,105.0,91.0,105.0,25
2020-03-01,Colorado,Discount Stores,102.0,109.0,102.0,26
2020-03-01,Colorado,Government,100.0,108.0,100.0,27
2020-03-01,Colorado,Banks,106.0,120.0,106.0,28
2020-03-01,Colorado,Bus,106.0,"",107.0,29
2020-03-01,Colorado,Light Rail Stations,100.0,"",100.0,30
2020-03-01,Colorado,Spiritual Center,136.0,"",135.0,31
2020-03-01,Connecticut,Food,103.0,98.0,103.0,1
2020-03-01,Connecticut,Shops & Services,106.0,98.0,106.0,2
2020-03-01,Connecticut,Grocery,97.0,102.0,97.0,3
2020-03-01,Connecticut,Nightlife Spots,99.0,103.0,99.0,4
2020-03-01,Connecticut,Outdoors & Recreation,93.0,92.0,93.0,5
2020-03-01,Connecticut,Arts & Entertainment,107.0,98.0,107.0,6
2020-03-01,Connecticut,Gas Stations,108.0,111.0,108.0,7
2020-03-01,Connecticut,Big Box Stores,108.0,104.0,108.0,8
2020-03-01,Connecticut,Fast Food Restaurants,110.0,119.0,110.0,9
2020-03-01,Connecticut,Drug Store,104.0,109.0,104.0,10
2020-03-01,Connecticut,Professional & Other Places,98.0,96.0,98.0,11
2020-03-01,Connecticut,School,103.0,104.0,102.0,12
2020-03-01,Connecticut,Colleges & Universities,108.0,142.0,108.0,13
2020-03-01,Connecticut,Medical,99.0,109.0,99.0,14
2020-03-01,Connecticut,Convenience Store,109.0,106.0,109.0,15
2020-03-01,Connecticut,Travel & Transport,111.0,101.0,111.0,16
2020-03-01,Connecticut,Fitness Center,101.0,97.0,101.0,17
2020-03-01,Connecticut,Hardware Stores,109.0,106.0,109.0,18
2020-03-01,Connecticut,Sports,90.0,87.0,90.0,19
2020-03-01,Connecticut,Residences,95.0,93.0,95.0,20
2020-03-01,Connecticut,Hotel,99.0,91.0,99.0,21
2020-03-01,Connecticut,Alcohol,92.0,89.0,92.0,22
2020-03-01,Connecticut,Discount Stores,108.0,99.0,108.0,23
2020-03-01,Connecticut,Government,99.0,102.0,99.0,24
2020-03-01,Connecticut,Office,99.0,84.0,99.0,25
2020-03-01,Connecticut,Banks,114.0,116.0,114.0,26
2020-03-01,Connecticut,Airport,116.0,133.0,116.0,27
2020-03-01,Connecticut,Beach,89.0,82.0,89.0,28
2020-03-01,Delaware,Shops & Services,107.0,99.0,107.0,1
2020-03-01,Delaware,Food,103.0,99.0,103.0,2
2020-03-01,Delaware,Grocery,97.0,83.0,98.0,3
2020-03-01,Delaware,Convenience Store,101.0,108.0,101.0,4
2020-03-01,Delaware,Outdoors & Recreation,95.0,104.0,95.0,5
2020-03-01,Delaware,Residences,96.0,83.0,97.0,6
2020-03-01,Delaware,Nightlife Spots,100.0,115.0,100.0,7
2020-03-01,Delaware,Big Box Stores,105.0,98.0,105.0,8
2020-03-01,Delaware,Fast Food Restaurants,106.0,114.0,106.0,9
2020-03-01,Delaware,Arts & Entertainment,111.0,119.0,111.0,10
2020-03-01,Delaware,Gas Stations,97.0,123.0,97.0,11
2020-03-01,Delaware,Drug Store,109.0,111.0,109.0,12
2020-03-01,Delaware,Professional & Other Places,92.0,86.0,92.0,13
2020-03-01,Delaware,Hardware Stores,116.0,104.0,116.0,14
2020-03-01,Delaware,Medical,92.0,80.0,92.0,15
2020-03-01,Delaware,Alcohol,99.0,91.0,99.0,16
2020-03-01,Delaware,School,99.0,84.0,100.0,17
2020-03-01,Delaware,Discount Stores,97.0,96.0,97.0,18
2020-03-01,Delaware,Fitness Center,99.0,106.0,99.0,19
2020-03-01,Delaware,Travel & Transport,108.0,133.0,107.0,20
2020-03-01,Delaware,Hotel,88.0,102.0,88.0,21
2020-03-01,Delaware,Colleges & Universities,87.0,"",87.0,22
2020-03-01,Delaware,Sports,87.0,90.0,87.0,23
2020-03-01,Delaware,Office,105.0,"",106.0,24
2020-03-01,Delaware,Banks,108.0,"",109.0,25
2020-03-01,Delaware,Government,85.0,"",85.0,26
2020-03-01,Delaware,Beach,64.0,"",65.0,27
2020-03-01,Florida,Food,103.0,98.0,103.0,1
2020-03-01,Florida,Shops & Services,105.0,99.0,106.0,2
2020-03-01,Florida,Arts & Entertainment,97.0,95.0,97.0,3
2020-03-01,Florida,Grocery,94.0,91.0,95.0,4
2020-03-01,Florida,Outdoors & Recreation,97.0,95.0,97.0,5
2020-03-01,Florida,Hotel,96.0,94.0,96.0,6
2020-03-01,Florida,Nightlife Spots,101.0,100.0,101.0,7
2020-03-01,Florida,Big Box Stores,103.0,97.0,103.0,8
2020-03-01,Florida,Gas Stations,105.0,105.0,105.0,9
2020-03-01,Florida,Fast Food Restaurants,108.0,106.0,108.0,10
2020-03-01,Florida,Residences,96.0,91.0,96.0,11
2020-03-01,Florida,Airport,100.0,100.0,100.0,12
2020-03-01,Florida,Convenience Store,104.0,103.0,104.0,13
2020-03-01,Florida,Professional & Other Places,98.0,98.0,98.0,14
2020-03-01,Florida,Travel & Transport,102.0,108.0,102.0,15
2020-03-01,Florida,Sports,103.0,98.0,103.0,16
2020-03-01,Florida,Drug Store,104.0,102.0,104.0,17
2020-03-01,Florida,Medical,101.0,96.0,101.0,18
2020-03-01,Florida,Hardware Stores,107.0,104.0,107.0,19
2020-03-01,Florida,School,101.0,102.0,101.0,20
2020-03-01,Florida,Discount Stores,104.0,96.0,104.0,21
2020-03-01,Florida,Beach,92.0,91.0,93.0,22
2020-03-01,Florida,Fitness Center,99.0,96.0,99.0,23
2020-03-01,Florida,Colleges & Universities,92.0,96.0,92.0,24
2020-03-01,Florida,Office,97.0,91.0,97.0,25
2020-03-01,Florida,Government,105.0,108.0,105.0,26
2020-03-01,Florida,Banks,112.0,107.0,112.0,27
2020-03-01,Florida,Alcohol,100.0,95.0,100.0,28
2020-03-01,Florida,Bus,98.0,108.0,97.0,29
2020-03-01,Florida,Light Rail Stations,86.0,103.0,86.0,30
2020-03-01,Florida,Spiritual Center,102.0,86.0,103.0,31
2020-03-01,Florida,Events,221.0,256.0,219.0,32
2020-03-01,Georgia,Food,112.0,105.0,112.0,1
2020-03-01,Georgia,Shops & Services,115.0,105.0,115.0,2
2020-03-01,Georgia,Grocery,99.0,96.0,99.0,3
2020-03-01,Georgia,Gas Stations,111.0,112.0,111.0,4
2020-03-01,Georgia,Fast Food Restaurants,118.0,116.0,118.0,5
2020-03-01,Georgia,Outdoors & Recreation,117.0,119.0,117.0,6
2020-03-01,Georgia,Big Box Stores,110.0,106.0,110.0,7
2020-03-01,Georgia,Airport,103.0,97.0,103.0,8
2020-03-01,Georgia,Residences,106.0,118.0,105.0,9
2020-03-01,Georgia,Arts & Entertainment,109.0,106.0,109.0,10
2020-03-01,Georgia,Nightlife Spots,110.0,117.0,109.0,11
2020-03-01,Georgia,Professional & Other Places,104.0,108.0,104.0,12
2020-03-01,Georgia,Hotel,119.0,129.0,119.0,13
2020-03-01,Georgia,Convenience Store,107.0,113.0,107.0,14
2020-03-01,Georgia,Discount Stores,105.0,92.0,106.0,15
2020-03-01,Georgia,School,110.0,109.0,110.0,16
2020-03-01,Georgia,Medical,107.0,103.0,107.0,17
2020-03-01,Georgia,Hardware Stores,116.0,114.0,116.0,18
2020-03-01,Georgia,Sports,120.0,125.0,120.0,19
2020-03-01,Georgia,Drug Store,108.0,103.0,109.0,20
2020-03-01,Georgia,Travel & Transport,113.0,137.0,113.0,21
2020-03-01,Georgia,Colleges & Universities,117.0,141.0,117.0,22
2020-03-01,Georgia,Fitness Center,102.0,94.0,102.0,23
2020-03-01,Georgia,Office,106.0,102.0,106.0,24
2020-03-01,Georgia,Government,113.0,106.0,114.0,25
2020-03-01,Georgia,Alcohol,109.0,111.0,109.0,26
2020-03-01,Georgia,Banks,115.0,104.0,116.0,27
2020-03-01,Georgia,Metro Stations,118.0,126.0,118.0,28
2020-03-01,Georgia,Spiritual Center,118.0,135.0,117.0,29
2020-03-01,Georgia,Bus,136.0,"",135.0,30
2020-03-01,Georgia,Beach,104.0,112.0,104.0,31
2020-03-01,Georgia,Light Rail Stations,140.0,"",141.0,32
2020-03-01,Hawaii,Shops & Services,96.0,97.0,96.0,1
2020-03-01,Hawaii,Food,92.0,88.0,92.0,2
2020-03-01,Hawaii,Hotel,85.0,76.0,85.0,3
2020-03-01,Hawaii,Outdoors & Recreation,86.0,84.0,86.0,4
2020-03-01,Hawaii,Grocery,94.0,89.0,94.0,5
2020-03-01,Hawaii,Airport,94.0,71.0,95.0,6
2020-03-01,Hawaii,Beach,82.0,69.0,82.0,7
2020-03-01,Hawaii,Arts & Entertainment,106.0,89.0,106.0,8
2020-03-01,Hawaii,Nightlife Spots,85.0,80.0,85.0,9
2020-03-01,Hawaii,Fast Food Restaurants,102.0,103.0,102.0,10
2020-03-01,Hawaii,Residences,87.0,83.0,87.0,11
2020-03-01,Hawaii,Big Box Stores,106.0,94.0,106.0,12
2020-03-01,Hawaii,Professional & Other Places,87.0,89.0,87.0,13
2020-03-01,Hawaii,Gas Stations,97.0,91.0,97.0,14
2020-03-01,Hawaii,Travel & Transport,85.0,78.0,86.0,15
2020-03-01,Hawaii,Drug Store,110.0,107.0,110.0,16
2020-03-01,Hawaii,Convenience Store,90.0,93.0,90.0,17
2020-03-01,Hawaii,Sports,89.0,87.0,89.0,18
2020-03-01,Hawaii,School,85.0,90.0,85.0,19
2020-03-01,Hawaii,Fitness Center,97.0,107.0,97.0,20
2020-03-01,Hawaii,Government,107.0,129.0,106.0,21
2020-03-01,Hawaii,Hardware Stores,95.0,96.0,95.0,22
2020-03-01,Hawaii,Medical,97.0,"",97.0,23
2020-03-01,Hawaii,Colleges & Universities,91.0,"",91.0,24
2020-03-01,Hawaii,Banks,109.0,"",108.0,25
2020-03-01,Hawaii,Office,89.0,"",87.0,26
2020-03-01,Hawaii,Bus,97.0,"",96.0,27
2020-03-01,Idaho,Food,107.0,104.0,107.0,1
2020-03-01,Idaho,Shops & Services,113.0,116.0,113.0,2
2020-03-01,Idaho,Grocery,97.0,95.0,98.0,3
2020-03-01,Idaho,Gas Stations,104.0,107.0,104.0,4
2020-03-01,Idaho,Outdoors & Recreation,106.0,93.0,106.0,5
2020-03-01,Idaho,Nightlife Spots,100.0,95.0,100.0,6
2020-03-01,Idaho,Big Box Stores,99.0,87.0,99.0,7
2020-03-01,Idaho,Fast Food Restaurants,108.0,103.0,108.0,8
2020-03-01,Idaho,Arts & Entertainment,109.0,98.0,109.0,9
2020-03-01,Idaho,Hotel,105.0,100.0,106.0,10
2020-03-01,Idaho,School,96.0,96.0,96.0,11
2020-03-01,Idaho,Hardware Stores,108.0,110.0,108.0,12
2020-03-01,Idaho,Professional & Other Places,116.0,101.0,117.0,13
2020-03-01,Idaho,Medical,108.0,101.0,108.0,14
2020-03-01,Idaho,Colleges & Universities,119.0,121.0,119.0,15
2020-03-01,Idaho,Sports,99.0,82.0,101.0,16
2020-03-01,Idaho,Airport,108.0,149.0,107.0,17
2020-03-01,Idaho,Residences,105.0,"",106.0,18
2020-03-01,Idaho,Fitness Center,97.0,92.0,98.0,19
2020-03-01,Idaho,Convenience Store,108.0,"",108.0,20
2020-03-01,Idaho,Drug Store,105.0,"",106.0,21
2020-03-01,Idaho,Discount Stores,120.0,"",119.0,22
2020-03-01,Idaho,Travel & Transport,113.0,133.0,112.0,23
2020-03-01,Idaho,Skiing,76.0,"",76.0,24
2020-03-01,Idaho,Office,115.0,"",115.0,25
2020-03-01,Idaho,Government,115.0,"",116.0,26
2020-03-01,Idaho,Banks,116.0,"",117.0,27
2020-03-01,Illinois,Food,109.0,104.0,109.0,1
2020-03-01,Illinois,Shops & Services,117.0,114.0,117.0,2
2020-03-01,Illinois,Nightlife Spots,108.0,108.0,108.0,3
2020-03-01,Illinois,Grocery,99.0,98.0,99.0,4
2020-03-01,Illinois,Outdoors & Recreation,118.0,114.0,118.0,5
2020-03-01,Illinois,Fast Food Restaurants,117.0,113.0,117.0,6
2020-03-01,Illinois,Gas Stations,108.0,108.0,108.0,7
2020-03-01,Illinois,Big Box Stores,107.0,104.0,107.0,8
2020-03-01,Illinois,Arts & Entertainment,110.0,104.0,110.0,9
2020-03-01,Illinois,Professional & Other Places,110.0,103.0,110.0,10
2020-03-01,Illinois,Airport,106.0,115.0,106.0,11
2020-03-01,Illinois,School,108.0,110.0,108.0,12
2020-03-01,Illinois,Drug Store,104.0,106.0,104.0,13
2020-03-01,Illinois,Hardware Stores,119.0,111.0,119.0,14
2020-03-01,Illinois,Hotel,108.0,98.0,109.0,15
2020-03-01,Illinois,Medical,102.0,92.0,102.0,16
2020-03-01,Illinois,Residences,104.0,96.0,104.0,17
2020-03-01,Illinois,Travel & Transport,107.0,113.0,107.0,18
2020-03-01,Illinois,Fitness Center,100.0,102.0,100.0,19
2020-03-01,Illinois,Sports,117.0,109.0,118.0,20
2020-03-01,Illinois,Colleges & Universities,114.0,121.0,114.0,21
2020-03-01,Illinois,Convenience Store,110.0,114.0,110.0,22
2020-03-01,Illinois,Discount Stores,109.0,109.0,109.0,23
2020-03-01,Illinois,Office,109.0,102.0,109.0,24
2020-03-01,Illinois,Government,106.0,98.0,106.0,25
2020-03-01,Illinois,Banks,114.0,113.0,114.0,26
2020-03-01,Illinois,Alcohol,104.0,94.0,104.0,27
2020-03-01,Illinois,Bus,110.0,100.0,111.0,28
2020-03-01,Illinois,Beach,164.0,132.0,165.0,29
2020-03-01,Illinois,Metro Stations,96.0,"",96.0,30
2020-03-01,Illinois,Spiritual Center,118.0,112.0,118.0,31
2020-03-01,Illinois,Light Rail Stations,112.0,"",113.0,32
2020-03-01,Indiana,Food,111.0,105.0,111.0,1
2020-03-01,Indiana,Shops & Services,120.0,116.0,121.0,2
2020-03-01,Indiana,Grocery,98.0,98.0,98.0,3
2020-03-01,Indiana,Gas Stations,108.0,108.0,108.0,4
2020-03-01,Indiana,Fast Food Restaurants,115.0,110.0,115.0,5
2020-03-01,Indiana,Nightlife Spots,109.0,105.0,109.0,6
2020-03-01,Indiana,Big Box Stores,107.0,101.0,107.0,7
2020-03-01,Indiana,Outdoors & Recreation,111.0,105.0,112.0,8
2020-03-01,Indiana,Arts & Entertainment,108.0,110.0,108.0,9
2020-03-01,Indiana,Professional & Other Places,106.0,100.0,106.0,10
2020-03-01,Indiana,School,103.0,98.0,103.0,11
2020-03-01,Indiana,Hardware Stores,115.0,104.0,115.0,12
2020-03-01,Indiana,Residences,100.0,100.0,100.0,13
2020-03-01,Indiana,Medical,106.0,104.0,107.0,14
2020-03-01,Indiana,Drug Store,108.0,99.0,108.0,15
2020-03-01,Indiana,Discount Stores,109.0,106.0,109.0,16
2020-03-01,Indiana,Hotel,112.0,105.0,112.0,17
2020-03-01,Indiana,Convenience Store,109.0,99.0,109.0,18
2020-03-01,Indiana,Colleges & Universities,89.0,88.0,89.0,19
2020-03-01,Indiana,Sports,105.0,109.0,105.0,20
2020-03-01,Indiana,Fitness Center,104.0,91.0,105.0,21
2020-03-01,Indiana,Travel & Transport,112.0,98.0,112.0,22
2020-03-01,Indiana,Office,102.0,102.0,102.0,23
2020-03-01,Indiana,Alcohol,105.0,109.0,105.0,24
2020-03-01,Indiana,Government,120.0,125.0,120.0,25
2020-03-01,Indiana,Airport,110.0,105.0,110.0,26
2020-03-01,Indiana,Banks,114.0,117.0,114.0,27
2020-03-01,Indiana,Beach,129.0,"",130.0,28
2020-03-01,Indiana,Bus,120.0,"",121.0,29
2020-03-01,Indiana,Spiritual Center,114.0,"",114.0,30
2020-03-01,Indiana,Light Rail Stations,107.0,"",107.0,31
2020-03-01,Iowa,Food,107.0,105.0,107.0,1
2020-03-01,Iowa,Shops & Services,114.0,110.0,114.0,2
2020-03-01,Iowa,Nightlife Spots,105.0,101.0,105.0,3
2020-03-01,Iowa,Grocery,99.0,100.0,99.0,4
2020-03-01,Iowa,Big Box Stores,103.0,104.0,103.0,5
2020-03-01,Iowa,Outdoors & Recreation,121.0,121.0,121.0,6
2020-03-01,Iowa,Arts & Entertainment,109.0,111.0,109.0,7
2020-03-01,Iowa,Gas Stations,103.0,107.0,103.0,8
2020-03-01,Iowa,Fast Food Restaurants,113.0,110.0,113.0,9
2020-03-01,Iowa,School,111.0,119.0,111.0,10
2020-03-01,Iowa,Convenience Store,110.0,109.0,110.0,11
2020-03-01,Iowa,Professional & Other Places,104.0,102.0,104.0,12
2020-03-01,Iowa,Hotel,109.0,107.0,109.0,13
2020-03-01,Iowa,Hardware Stores,122.0,121.0,122.0,14
2020-03-01,Iowa,Colleges & Universities,105.0,96.0,106.0,15
2020-03-01,Iowa,Medical,106.0,116.0,106.0,16
2020-03-01,Iowa,Sports,111.0,124.0,111.0,17
2020-03-01,Iowa,Residences,99.0,110.0,99.0,18
2020-03-01,Iowa,Fitness Center,94.0,84.0,94.0,19
2020-03-01,Iowa,Drug Store,100.0,103.0,100.0,20
2020-03-01,Iowa,Discount Stores,108.0,115.0,108.0,21
2020-03-01,Iowa,Travel & Transport,121.0,112.0,122.0,22
2020-03-01,Iowa,Office,114.0,116.0,114.0,23
2020-03-01,Iowa,Airport,116.0,70.0,118.0,24
2020-03-01,Iowa,Government,105.0,143.0,104.0,25
2020-03-01,Iowa,Alcohol,101.0,75.0,102.0,26
2020-03-01,Iowa,Banks,103.0,"",104.0,27
2020-03-01,Kansas,Food,108.0,109.0,108.0,1
2020-03-01,Kansas,Shops & Services,110.0,106.0,110.0,2
