geography,age,dt,norm_visits
CT,55_64,17/02/2020,"1,137,483"
RI,25_34,17/03/2020,"278,042"
MS,65_plus,24/02/2020,"1,053,319"
NM,55_64,16/03/2020,"632,624"
HI,18_24,01/03/2020,"757,676"
RI,65_plus,13/09/2020,"370,798"
NM,35_44,16/02/2020,"729,480"
CO,25_34,29/06/2020,"2,167,229"
CO,55_64,11/03/2020,"1,738,168"
OH,65_plus,08/05/2020,"3,049,730"
ID,25_34,05/09/2020,"764,614"
UT,35_44,29/04/2020,"879,841"
LA,18_24,03/07/2020,"1,386,993"
MA,55_64,28/04/2020,"1,609,807"
WV,55_64,12/05/2020,"568,853"
UT,65_plus,02/02/2020,"636,730"
MT,25_34,03/04/2020,"207,377"
WV,35_44,09/07/2020,"633,856"
WV,25_34,28/07/2020,"580,567"
RI,55_64,21/06/2020,"363,197"
AL,65_plus,17/09/2020,"1,741,547"
NM,25_34,24/07/2020,"775,453"
WV,55_64,07/06/2020,"558,364"
DC,45_54,18/09/2020,"289,978"
DC,45_54,07/06/2020,"200,733"
NJ,55_64,27/07/2020,"2,514,463"
ID,45_54,09/07/2020,"627,696"
MA,18_24,07/02/2020,"2,295,468"
IN,65_plus,16/04/2020,"1,497,304"
UT,25_34,15/03/2020,"1,191,622"
UT,25_34,21/07/2020,"1,233,518"
AR,18_24,07/02/2020,"884,202"
OR,18_24,27/04/2020,"761,491"
ME,65_plus,21/07/2020,"618,484"
VT,65_plus,16/08/2020,"272,048"
WY,35_44,06/02/2020,"189,635"
AZ,55_64,27/06/2020,"1,823,310"
ME,18_24,13/07/2020,"264,002"
ME,18_24,20/06/2020,"286,667"
OK,55_64,18/04/2020,"996,270"
ID,25_34,10/07/2020,"659,790"
AR,65_plus,18/02/2020,"1,054,189"
RI,45_54,12/09/2020,"555,170"
MS,18_24,12/09/2020,"1,073,883"
VT,35_44,04/08/2020,"201,414"
ND,45_54,22/03/2020,"177,652"
OR,18_24,25/06/2020,"1,047,655"
AK,35_44,17/02/2020,"255,931"
ND,65_plus,10/02/2020,"213,214"
MS,18_24,25/07/2020,"991,093"
NM,55_64,23/05/2020,"580,769"
NH,25_34,08/03/2020,"489,778"
SD,45_54,03/05/2020,"282,092"
SD,45_54,07/03/2020,"372,627"
UT,55_64,15/09/2020,"785,873"
RI,45_54,11/09/2020,"546,679"
RI,45_54,16/07/2020,"501,789"
AK,45_54,10/09/2020,"360,873"
ND,18_24,30/06/2020,"254,872"
WY,55_64,07/04/2020,"164,456"
AR,65_plus,02/05/2020,"994,764"
AR,65_plus,05/03/2020,"1,156,614"
WV,65_plus,08/06/2020,"660,268"
SD,35_44,26/03/2020,"198,266"
HI,55_64,06/03/2020,"806,741"
HI,55_64,20/06/2020,"458,997"
WI,65_plus,23/08/2020,"1,851,391"
NY,35_44,21/05/2020,"7,147,095"
UT,18_24,19/08/2020,"1,042,430"
MS,55_64,30/05/2020,"985,155"
NY,55_64,26/02/2020,"6,766,848"
IL,35_44,11/08/2020,"5,524,423"
WI,25_34,28/02/2020,"2,045,563"
IA,45_54,06/08/2020,"1,322,091"
AZ,35_44,26/07/2020,"2,361,641"
NJ,35_44,23/05/2020,"2,938,410"
MN,35_44,13/02/2020,"1,744,036"
CO,35_44,14/07/2020,"2,098,448"
WV,45_54,17/03/2020,"692,216"
WI,25_34,10/06/2020,"1,752,500"
NH,25_34,31/07/2020,"563,528"
NE,35_44,16/08/2020,"680,565"
LA,35_44,14/08/2020,"1,954,473"
MT,45_54,15/05/2020,"394,971"
NH,45_54,21/07/2020,"639,536"
SC,55_64,07/06/2020,"1,599,248"
KY,45_54,04/02/2020,"1,719,099"
MA,35_44,21/03/2020,"2,296,357"
MN,35_44,19/03/2020,"1,378,379"
KS,65_plus,06/06/2020,"900,728"
WA,55_64,06/05/2020,"1,800,806"
CT,25_34,22/03/2020,"915,211"
WA,65_plus,07/05/2020,"1,774,751"
WA,65_plus,05/05/2020,"1,716,369"
IN,25_34,16/03/2020,"2,100,397"
MD,35_44,08/04/2020,"1,818,971"
AL,25_34,18/03/2020,"1,693,137"
UT,25_34,21/05/2020,"1,268,722"
CT,65_plus,11/07/2020,"1,108,000"
LA,35_44,07/02/2020,"2,039,468"
MN,18_24,25/04/2020,"1,187,082"
MN,18_24,21/05/2020,"1,213,975"
ND,35_44,09/02/2020,"198,237"
UT,25_34,04/06/2020,"1,241,801"
AR,18_24,13/09/2020,"774,367"
KY,65_plus,10/04/2020,"1,140,307"
NC,65_plus,11/02/2020,"3,266,305"
ID,25_34,03/07/2020,"736,223"
RI,55_64,03/09/2020,"425,774"
MS,25_34,12/04/2020,"579,071"
CO,25_34,14/05/2020,"1,860,433"
ME,35_44,16/05/2020,"420,317"
OK,18_24,04/08/2020,"1,231,395"
MS,65_plus,25/06/2020,"1,021,073"
AL,65_plus,01/02/2020,"1,482,668"
CT,18_24,08/02/2020,"1,125,013"
OR,18_24,04/08/2020,"1,049,659"
IN,65_plus,10/05/2020,"1,530,340"
VT,35_44,23/05/2020,"216,752"
SD,55_64,22/06/2020,"313,012"
NM,55_64,06/07/2020,"596,179"
ME,55_64,12/08/2020,"680,959"
SD,65_plus,04/04/2020,"192,086"
HI,45_54,09/07/2020,"665,413"
WA,18_24,06/07/2020,"1,598,264"
IN,18_24,20/09/2020,"2,129,917"
OR,18_24,11/03/2020,"1,107,171"
CT,55_64,30/07/2020,"1,059,041"
ME,18_24,30/03/2020,"175,418"
VT,55_64,05/09/2020,"349,359"
AZ,55_64,21/07/2020,"1,741,966"
MN,65_plus,13/05/2020,"1,336,690"
WY,25_34,03/04/2020,"182,525"
WY,25_34,18/05/2020,"202,764"
NH,35_44,03/06/2020,"476,835"
NH,35_44,27/03/2020,"445,612"
WY,35_44,14/05/2020,"183,564"
HI,45_54,11/05/2020,"573,161"
VT,25_34,24/07/2020,"201,564"
AK,45_54,05/09/2020,"380,339"
ID,18_24,04/07/2020,"510,430"
ND,18_24,27/06/2020,"273,120"
AR,18_24,26/03/2020,"633,551"
AR,65_plus,08/04/2020,"886,219"
SD,35_44,04/05/2020,"218,075"
VT,45_54,03/02/2020,"296,345"
DE,65_plus,27/04/2020,"304,049"
ID,18_24,09/05/2020,"478,751"
WV,65_plus,16/07/2020,"640,573"
AK,18_24,22/02/2020,"256,504"
AK,55_64,10/06/2020,"236,810"
WY,65_plus,13/05/2020,"180,526"
ID,18_24,25/06/2020,"416,123"
NM,18_24,19/05/2020,"504,001"
NM,18_24,08/03/2020,"541,172"
MT,18_24,05/09/2020,"359,317"
NM,18_24,31/05/2020,"458,219"
AK,65_plus,24/09/2020,"70,541"
DC,65_plus,22/06/2020,"102,353"
TX,45_54,13/04/2020,"7,393,916"
GA,45_54,01/06/2020,"3,877,390"
OK,45_54,11/08/2020,"1,636,630"
IN,45_54,26/05/2020,"2,532,692"
MA,45_54,08/09/2020,"3,090,471"
NY,18_24,06/09/2020,"6,715,672"
MI,45_54,26/07/2020,"3,954,007"
NC,65_plus,12/04/2020,"1,615,973"
IL,35_44,07/05/2020,"4,277,512"
OR,65_plus,22/09/2020,"1,584,983"
ID,65_plus,24/06/2020,"494,178"
GA,35_44,20/04/2020,"3,564,430"
TX,65_plus,25/05/2020,"5,008,490"
VA,45_54,29/08/2020,"3,747,570"
MN,18_24,18/09/2020,"1,619,662"
CA,35_44,06/03/2020,"19,188,461"
IL,45_54,08/06/2020,"4,388,923"
NH,45_54,23/07/2020,"693,609"
OH,45_54,26/03/2020,"3,608,702"
FL,45_54,04/06/2020,"7,539,741"
TN,45_54,17/09/2020,"3,036,473"
NY,65_plus,12/02/2020,"7,118,654"
OH,25_34,21/07/2020,"4,068,990"
TX,25_34,16/02/2020,"12,620,541"
ID,35_44,29/06/2020,"530,728"
HI,35_44,02/09/2020,"606,018"
NC,35_44,02/02/2020,"3,896,151"
LA,65_plus,22/03/2020,"1,072,355"
NC,45_54,27/06/2020,"4,145,545"
MA,18_24,04/02/2020,"2,200,385"
MA,18_24,10/03/2020,"2,043,154"
MA,18_24,02/05/2020,"1,423,513"
AR,35_44,18/03/2020,"940,370"
NY,45_54,01/02/2020,"8,295,694"
MO,18_24,20/08/2020,"2,011,329"
CA,45_54,12/09/2020,"15,943,656"
NE,25_34,19/07/2020,"687,789"
NE,25_34,22/06/2020,"632,239"
TN,45_54,23/06/2020,"2,637,684"
TN,45_54,13/05/2020,"2,498,187"
WI,35_44,04/04/2020,"1,464,777"
SC,35_44,15/06/2020,"1,931,560"
NJ,45_54,11/08/2020,"4,196,477"
IA,45_54,26/03/2020,"921,445"
TN,45_54,28/06/2020,"2,592,838"
IL,45_54,13/02/2020,"5,298,584"
KY,35_44,24/08/2020,"1,815,761"
IL,25_34,02/02/2020,"5,538,467"
GA,35_44,20/06/2020,"4,798,009"
AK,35_44,28/08/2020,"299,662"
AK,35_44,13/05/2020,"268,123"
AZ,45_54,09/09/2020,"2,540,935"
FL,45_54,11/05/2020,"6,884,273"
NC,45_54,10/06/2020,"3,721,717"
WI,55_64,26/06/2020,"1,782,303"
KY,55_64,19/09/2020,"1,693,759"
IL,18_24,03/08/2020,"3,626,170"
KY,25_34,18/03/2020,"1,436,323"
MN,45_54,04/04/2020,"1,473,595"
VA,55_64,03/02/2020,"2,507,418"
OH,55_64,20/06/2020,"3,785,107"
RI,35_44,23/08/2020,"438,286"
DC,25_34,10/05/2020,"314,386"
IN,65_plus,05/08/2020,"2,110,314"
OK,35_44,20/07/2020,"1,366,782"
WA,55_64,19/02/2020,"2,313,786"
AZ,65_plus,29/07/2020,"1,935,884"
NY,35_44,23/02/2020,"9,066,785"
NY,35_44,08/03/2020,"9,312,425"
VA,25_34,10/07/2020,"3,432,929"
DC,25_34,21/06/2020,"333,671"
MO,55_64,03/09/2020,"2,171,400"
AZ,35_44,28/04/2020,"2,262,288"
VA,35_44,19/09/2020,"4,145,684"
WY,45_54,09/08/2020,"395,736"
NV,35_44,01/08/2020,"1,679,590"
NJ,55_64,16/08/2020,"2,374,547"
MA,55_64,10/09/2020,"2,266,761"
NJ,18_24,18/02/2020,"2,276,565"
MA,25_34,02/03/2020,"2,627,313"
MA,25_34,01/09/2020,"3,066,438"
CO,25_34,13/03/2020,"2,414,325"
WV,45_54,09/02/2020,"648,276"
CO,45_54,11/02/2020,"2,173,452"
MA,65_plus,15/06/2020,"1,976,139"
DE,65_plus,21/02/2020,"362,573"
CO,65_plus,20/05/2020,"1,248,469"
WA,65_plus,05/03/2020,"2,209,086"
TN,25_34,05/06/2020,"2,676,114"
TN,25_34,11/05/2020,"2,313,983"
MS,18_24,28/04/2020,"801,476"
NM,35_44,22/04/2020,"562,742"
WA,55_64,09/02/2020,"2,231,238"
OR,45_54,11/02/2020,"1,546,690"
OR,45_54,01/07/2020,"1,516,615"
FL,35_44,10/05/2020,"5,941,156"
MI,18_24,10/02/2020,"2,619,150"
MI,18_24,13/02/2020,"2,745,598"
MD,35_44,17/08/2020,"2,380,915"
KY,45_54,19/04/2020,"1,314,083"
CA,55_64,24/08/2020,"10,303,727"
IN,25_34,10/07/2020,"2,553,761"
VA,25_34,07/05/2020,"2,903,304"
VA,25_34,02/03/2020,"3,378,215"
WY,35_44,07/08/2020,"304,441"
WY,35_44,11/08/2020,"281,365"
WV,35_44,11/07/2020,"653,096"
CA,18_24,23/02/2020,"13,431,814"
FL,35_44,11/02/2020,"9,138,025"
AL,25_34,20/04/2020,"1,484,401"
NE,45_54,05/05/2020,"652,490"
NY,55_64,15/07/2020,"6,020,348"
MD,45_54,10/05/2020,"2,007,541"
MN,25_34,23/02/2020,"2,039,756"
MN,25_34,23/06/2020,"1,899,617"
MN,25_34,26/02/2020,"1,902,006"
ID,55_64,31/07/2020,"569,719"
MI,25_34,10/02/2020,"3,163,509"
NJ,65_plus,16/02/2020,"2,972,292"
NY,35_44,18/04/2020,"5,870,635"
CA,25_34,27/08/2020,"16,012,068"
ID,45_54,04/07/2020,"686,757"
MN,35_44,16/08/2020,"1,870,852"
GA,25_34,16/09/2020,"4,114,085"
UT,45_54,07/02/2020,"992,017"
MS,35_44,08/03/2020,"1,146,226"
IN,35_44,11/07/2020,"2,623,096"
MI,65_plus,10/09/2020,"3,644,361"
GA,45_54,22/05/2020,"4,202,774"
MI,18_24,29/07/2020,"2,834,382"
MS,65_plus,23/02/2020,"1,071,084"
AR,25_34,08/09/2020,"1,225,253"
TX,55_64,15/07/2020,"6,456,131"
IA,25_34,24/02/2020,"953,328"
NV,25_34,02/02/2020,"2,109,376"
OR,55_64,17/05/2020,"1,052,615"
OR,55_64,01/05/2020,"1,226,972"
OR,55_64,06/03/2020,"1,432,926"
SD,35_44,04/03/2020,"248,906"
SD,35_44,21/04/2020,"233,350"
MN,65_plus,16/05/2020,"1,281,362"
MO,18_24,04/02/2020,"1,650,651"
MD,18_24,19/09/2020,"1,965,708"
PA,18_24,02/03/2020,"3,294,867"
RI,55_64,26/04/2020,"226,570"
TN,35_44,26/05/2020,"2,457,923"
AR,35_44,02/06/2020,"1,059,766"
NE,45_54,16/03/2020,"693,968"
AZ,45_54,13/07/2020,"2,131,146"
IN,35_44,21/02/2020,"2,627,379"
NY,25_34,06/08/2020,"9,541,602"
NC,25_34,20/04/2020,"2,633,421"
OH,65_plus,22/05/2020,"3,584,066"
MA,35_44,12/09/2020,"3,185,056"
NM,55_64,21/04/2020,"538,184"
AZ,65_plus,12/09/2020,"2,425,472"
IA,35_44,03/05/2020,"850,001"
TX,18_24,21/08/2020,"8,454,497"
NH,35_44,09/09/2020,"565,773"
GA,55_64,19/02/2020,"3,139,035"
NH,25_34,27/03/2020,"363,319"
NE,45_54,13/04/2020,"525,585"
KY,18_24,03/07/2020,"1,358,142"
TN,18_24,20/07/2020,"1,766,185"
SC,45_54,04/09/2020,"2,508,928"
RI,18_24,24/07/2020,"382,103"
ID,55_64,28/05/2020,"504,528"
ID,55_64,09/09/2020,"618,649"
FL,25_34,21/05/2020,"6,657,854"
ND,45_54,21/05/2020,"280,040"
LA,25_34,04/05/2020,"1,657,881"
VA,55_64,30/03/2020,"2,021,111"
NH,25_34,24/05/2020,"483,232"
CT,55_64,12/08/2020,"1,166,021"
CT,55_64,16/03/2020,"1,050,416"
RI,25_34,02/07/2020,"385,936"
KS,65_plus,12/07/2020,"678,001"
PA,25_34,27/02/2020,"4,375,531"
NE,25_34,14/03/2020,"677,660"
ME,65_plus,23/02/2020,"527,381"
ME,35_44,12/07/2020,"507,269"
IN,65_plus,21/06/2020,"1,678,360"
NE,55_64,05/02/2020,"547,213"
UT,25_34,18/09/2020,"1,486,495"
MT,55_64,24/02/2020,"343,395"
CO,25_34,06/04/2020,"1,558,025"
MA,45_54,27/07/2020,"2,747,359"
NE,65_plus,26/07/2020,"557,507"
NE,65_plus,31/07/2020,"613,721"
IN,18_24,27/03/2020,"1,250,872"
SD,45_54,04/05/2020,"259,308"
SC,55_64,08/03/2020,"1,772,199"
NJ,55_64,13/06/2020,"2,745,227"
FL,18_24,28/05/2020,"4,569,750"
NE,35_44,14/05/2020,"593,237"
NE,35_44,06/04/2020,"538,331"
KY,55_64,29/03/2020,"1,009,418"
CT,65_plus,03/05/2020,"944,376"
UT,25_34,23/04/2020,"1,057,880"
AL,65_plus,23/05/2020,"1,579,813"
RI,45_54,15/09/2020,"482,100"
CT,45_54,30/04/2020,"1,246,274"
MD,18_24,09/09/2020,"1,589,549"
MT,25_34,24/08/2020,"425,111"
MN,55_64,25/05/2020,"1,133,745"
MT,18_24,02/08/2020,"248,221"
RI,65_plus,08/02/2020,"435,435"
UT,35_44,27/02/2020,"1,114,714"
KY,18_24,05/02/2020,"1,238,456"
MN,18_24,02/06/2020,"1,120,341"
CT,25_34,04/06/2020,"1,115,549"
KY,55_64,28/07/2020,"1,349,915"
MO,25_34,18/04/2020,"1,897,087"
AL,25_34,04/08/2020,"1,946,737"
CA,65_plus,14/06/2020,"9,359,018"
OR,25_34,25/08/2020,"1,686,210"
IA,35_44,31/05/2020,"898,099"
DE,25_34,21/05/2020,"326,028"
ME,55_64,23/04/2020,"391,980"
MN,18_24,08/07/2020,"1,347,853"
WV,35_44,28/06/2020,"572,821"
WV,35_44,22/09/2020,"733,873"
GA,18_24,08/06/2020,"2,525,554"
MD,55_64,27/07/2020,"1,666,493"
ND,25_34,19/06/2020,"293,305"
MS,35_44,15/07/2020,"1,088,478"
MN,55_64,29/05/2020,"1,429,895"
KS,18_24,15/05/2020,"819,067"
WY,45_54,29/03/2020,"161,572"
NM,45_54,16/08/2020,"725,866"
HI,18_24,08/07/2020,"572,765"
NE,55_64,07/05/2020,"492,325"
KY,65_plus,23/08/2020,"1,310,978"
LA,18_24,21/08/2020,"1,698,140"
AZ,45_54,31/03/2020,"2,125,671"
NH,55_64,07/02/2020,"479,518"
MO,65_plus,06/03/2020,"2,375,633"
NH,18_24,20/07/2020,"359,705"
RI,25_34,20/04/2020,"279,397"
DC,55_64,09/09/2020,"154,325"
OR,65_plus,21/03/2020,"1,141,022"
NH,65_plus,08/07/2020,"509,234"
MD,65_plus,05/03/2020,"1,870,271"
DE,55_64,17/07/2020,"384,695"
KS,18_24,13/04/2020,"578,776"
VT,25_34,30/04/2020,"140,302"
ND,18_24,24/05/2020,"194,487"
IA,65_plus,14/06/2020,"896,255"
MA,18_24,16/03/2020,"1,570,765"
OK,18_24,28/07/2020,"1,041,965"
WY,65_plus,06/05/2020,"175,184"
SD,18_24,06/09/2020,"331,354"
NH,25_34,02/04/2020,"318,145"
UT,35_44,22/09/2020,"1,115,997"
WV,65_plus,24/03/2020,"566,777"
DC,18_24,07/04/2020,"164,632"
NH,65_plus,01/09/2020,"572,761"
NJ,18_24,03/04/2020,"1,507,871"
NE,65_plus,13/06/2020,"584,730"
DE,25_34,09/06/2020,"383,145"
WY,65_plus,08/05/2020,"186,495"
NH,65_plus,21/05/2020,"508,082"
ND,65_plus,19/02/2020,"216,420"
MT,65_plus,09/02/2020,"316,197"
MT,65_plus,12/06/2020,"432,274"
RI,65_plus,22/07/2020,"401,002"
HI,35_44,16/08/2020,"677,564"
NE,25_34,24/08/2020,"782,119"
TN,45_54,06/03/2020,"3,195,270"
IN,45_54,22/03/2020,"1,781,466"
IL,25_34,06/07/2020,"4,698,125"
ID,35_44,20/02/2020,"508,638"
NY,65_plus,14/07/2020,"6,251,781"
VA,55_64,06/09/2020,"2,661,080"
ND,45_54,29/08/2020,"320,606"
ND,45_54,03/05/2020,"210,679"
MN,25_34,29/06/2020,"1,687,863"
MA,55_64,24/02/2020,"2,241,738"
WV,35_44,18/04/2020,"520,612"
NY,25_34,21/03/2020,"7,069,006"
WV,18_24,07/08/2020,"543,771"
NE,45_54,18/03/2020,"620,782"
WV,55_64,30/07/2020,"612,456"
VA,45_54,02/07/2020,"3,578,345"
TN,35_44,05/08/2020,"2,856,945"
AZ,65_plus,01/06/2020,"1,986,532"
SC,65_plus,24/02/2020,"1,745,782"
OR,55_64,02/08/2020,"1,299,122"
CT,25_34,20/05/2020,"1,054,984"
LA,55_64,26/02/2020,"1,688,256"
KS,55_64,25/04/2020,"747,294"
IL,65_plus,31/03/2020,"2,571,463"
LA,25_34,02/05/2020,"1,771,524"
HI,25_34,15/03/2020,"1,112,252"
KY,35_44,26/02/2020,"1,699,293"
NC,18_24,08/06/2020,"2,603,822"
IA,45_54,22/03/2020,"724,712"
NC,18_24,06/03/2020,"3,138,317"
WI,25_34,14/06/2020,"2,086,592"
MA,35_44,25/03/2020,"1,946,395"
CO,55_64,15/09/2020,"1,861,890"
KS,55_64,17/04/2020,"682,674"
WA,18_24,27/04/2020,"1,276,082"
SD,55_64,15/07/2020,"326,197"
SD,55_64,19/07/2020,"332,792"
FL,18_24,12/04/2020,"2,810,874"
NE,35_44,22/02/2020,"790,624"
IN,65_plus,15/08/2020,"2,430,727"
AZ,18_24,27/06/2020,"1,606,776"
NE,35_44,24/08/2020,"713,696"
CT,35_44,17/04/2020,"1,143,628"
DE,45_54,03/02/2020,"441,832"
AZ,55_64,10/04/2020,"1,620,968"
WV,65_plus,21/08/2020,"823,601"
MN,18_24,22/03/2020,"852,651"
LA,45_54,05/07/2020,"1,459,123"
LA,45_54,10/03/2020,"2,184,338"
KY,55_64,17/07/2020,"1,461,874"
CA,65_plus,19/03/2020,"9,674,282"
NY,18_24,09/05/2020,"4,391,575"
CT,65_plus,23/07/2020,"1,117,563"
VT,45_54,02/05/2020,"255,543"
ND,25_34,11/03/2020,"246,200"
ME,55_64,28/07/2020,"626,713"
OR,18_24,12/09/2020,"977,845"
AK,45_54,07/08/2020,"354,102"
WV,65_plus,12/07/2020,"567,078"
MT,45_54,08/05/2020,"410,260"
DC,35_44,07/06/2020,"279,479"
AK,55_64,02/03/2020,"232,726"
CO,18_24,04/04/2020,"901,261"
CT,18_24,17/04/2020,"700,023"
RI,35_44,09/02/2020,"419,636"
WY,35_44,30/05/2020,"210,539"
DC,55_64,25/06/2020,"138,047"
HI,55_64,12/06/2020,"503,351"
WI,18_24,09/04/2020,"933,341"
VT,35_44,13/08/2020,"261,154"
DE,25_34,07/03/2020,"477,174"
OK,18_24,03/06/2020,"1,168,850"
DC,25_34,19/03/2020,"397,107"
MD,18_24,09/02/2020,"1,696,928"
KY,65_plus,03/04/2020,"1,216,078"
DE,18_24,21/06/2020,"294,191"
WA,18_24,10/04/2020,"1,353,822"
AR,65_plus,16/04/2020,"974,438"
NH,18_24,12/04/2020,"190,683"
DE,55_64,24/02/2020,"343,359"
AK,18_24,29/02/2020,"257,471"
AK,18_24,06/03/2020,"321,333"
NV,18_24,15/03/2020,"1,063,305"
DE,18_24,09/03/2020,"320,979"
MT,65_plus,02/08/2020,"350,762"
VT,18_24,26/04/2020,"103,977"
NE,65_plus,05/03/2020,"653,502"
AK,25_34,04/02/2020,"383,046"
NH,65_plus,01/08/2020,"606,157"
NH,65_plus,03/08/2020,"511,057"
NV,18_24,24/03/2020,"492,775"
DC,65_plus,29/06/2020,"94,992"
AL,65_plus,24/09/2020,"156,388"
NV,65_plus,01/03/2020,"1,401,548"
VT,25_34,16/09/2020,"188,623"
ME,18_24,02/05/2020,"264,112"
DC,55_64,02/02/2020,"212,216"
ME,18_24,15/02/2020,"365,353"
HI,65_plus,06/08/2020,"587,943"
RI,18_24,16/08/2020,"304,469"
RI,18_24,14/03/2020,"331,524"
DC,45_54,20/06/2020,"178,804"
ND,18_24,15/05/2020,"240,564"
AK,18_24,06/09/2020,"238,298"
DC,18_24,13/04/2020,"137,089"
WA,45_54,09/03/2020,"2,683,613"
PA,55_64,23/02/2020,"4,329,617"
MA,35_44,25/08/2020,"2,918,821"
MA,35_44,13/07/2020,"2,480,185"
WY,45_54,01/05/2020,"222,636"
FL,65_plus,21/02/2020,"11,669,356"
OH,25_34,19/03/2020,"3,267,958"
WA,45_54,06/07/2020,"2,544,626"
IL,65_plus,20/09/2020,"3,745,706"
IL,65_plus,28/08/2020,"3,981,904"
NY,55_64,23/02/2020,"6,634,072"
SC,35_44,21/03/2020,"1,810,285"
VA,25_34,04/02/2020,"3,367,834"
NY,25_34,27/04/2020,"6,058,997"
KS,25_34,02/05/2020,"1,001,473"
CA,25_34,23/04/2020,"13,026,161"
MN,18_24,15/05/2020,"1,207,260"
ND,55_64,12/06/2020,"218,123"
FL,18_24,12/08/2020,"5,413,583"
LA,18_24,13/04/2020,"1,109,348"
NC,35_44,04/07/2020,"3,760,938"
CT,45_54,06/06/2020,"1,563,758"
NY,25_34,30/07/2020,"8,666,681"
MI,35_44,09/06/2020,"3,142,180"
PA,45_54,26/03/2020,"3,996,288"
TN,25_34,25/02/2020,"2,488,748"
NJ,25_34,29/08/2020,"3,753,627"
VA,35_44,19/06/2020,"3,396,457"
VA,35_44,15/09/2020,"3,532,145"
VA,35_44,19/05/2020,"2,791,445"
MD,55_64,07/02/2020,"1,895,784"
RI,25_34,23/08/2020,"398,450"
TX,65_plus,05/05/2020,"5,877,323"
FL,35_44,09/08/2020,"7,790,357"
FL,35_44,15/03/2020,"8,894,946"
IN,55_64,16/07/2020,"1,879,793"
IN,55_64,27/02/2020,"1,964,617"
FL,45_54,09/07/2020,"8,076,960"
FL,25_34,15/08/2020,"8,894,260"
NC,65_plus,01/05/2020,"2,858,626"
AR,25_34,13/08/2020,"1,282,924"
AR,25_34,25/08/2020,"1,264,365"
OR,18_24,23/04/2020,"798,326"
MS,35_44,07/07/2020,"1,024,003"
MI,65_plus,26/03/2020,"2,113,222"
FL,65_plus,01/05/2020,"7,430,475"
OK,45_54,16/08/2020,"1,478,083"
VA,35_44,19/03/2020,"2,950,998"
KS,25_34,11/09/2020,"1,234,037"
ID,55_64,19/07/2020,"531,163"
IA,35_44,21/06/2020,"944,770"
VA,35_44,22/09/2020,"3,660,573"
NJ,18_24,21/08/2020,"2,607,318"
NJ,18_24,02/08/2020,"2,230,868"
TX,25_34,20/03/2020,"10,077,803"
NY,35_44,25/05/2020,"6,234,753"
VA,35_44,09/06/2020,"2,820,904"
IN,65_plus,29/04/2020,"1,546,162"
AZ,25_34,22/09/2020,"2,688,396"
DC,25_34,01/06/2020,"338,656"
LA,55_64,06/08/2020,"1,560,600"
MT,25_34,11/02/2020,"323,601"
WV,35_44,12/05/2020,"582,323"
WV,35_44,18/06/2020,"620,791"
LA,35_44,16/05/2020,"1,570,212"
NE,25_34,15/06/2020,"671,792"
CT,45_54,19/07/2020,"1,435,294"
MS,35_44,24/05/2020,"994,261"
MS,35_44,27/03/2020,"1,019,932"
AR,45_54,05/08/2020,"1,230,501"
TX,45_54,18/05/2020,"8,852,437"
MN,65_plus,26/07/2020,"1,226,411"
FL,55_64,19/05/2020,"5,788,478"
GA,45_54,20/05/2020,"3,752,986"
MA,45_54,31/07/2020,"3,089,852"
SC,45_54,14/03/2020,"2,451,318"
CO,45_54,28/03/2020,"1,374,188"
CO,45_54,05/08/2020,"2,295,699"
OR,25_34,03/03/2020,"1,621,066"
IL,65_plus,26/07/2020,"3,081,651"
MD,25_34,19/04/2020,"1,665,575"
VA,55_64,07/08/2020,"2,946,705"
MO,35_44,10/08/2020,"2,330,761"
MI,55_64,17/05/2020,"2,196,338"
MI,55_64,11/06/2020,"3,081,202"
DE,55_64,02/08/2020,"349,607"
WI,25_34,07/07/2020,"1,761,772"
OH,25_34,22/09/2020,"4,540,313"
IA,25_34,27/06/2020,"1,186,574"
IA,25_34,04/07/2020,"1,115,611"
AZ,25_34,09/07/2020,"2,459,211"
NC,55_64,29/05/2020,"2,952,103"
IN,35_44,08/06/2020,"2,259,511"
CA,45_54,14/09/2020,"14,429,278"
CO,35_44,14/08/2020,"2,489,676"
MA,45_54,01/06/2020,"2,445,747"
WI,18_24,01/02/2020,"1,305,613"
AL,45_54,24/08/2020,"1,941,792"
PA,65_plus,13/09/2020,"4,357,858"
NH,65_plus,29/05/2020,"503,219"
NH,65_plus,08/06/2020,"451,050"
OH,45_54,21/05/2020,"4,399,220"
WI,25_34,17/06/2020,"1,941,029"
NC,65_plus,11/09/2020,"3,699,101"
FL,55_64,23/03/2020,"5,113,055"
AL,65_plus,01/09/2020,"1,693,188"
MD,55_64,14/02/2020,"2,162,773"
MD,55_64,19/02/2020,"1,882,053"
PA,35_44,29/02/2020,"5,481,952"
MO,45_54,15/07/2020,"2,349,571"
IL,65_plus,02/03/2020,"3,748,377"
MI,45_54,09/08/2020,"4,201,118"
LA,45_54,03/07/2020,"1,995,840"
TN,45_54,21/07/2020,"2,693,612"
WI,25_34,22/02/2020,"2,228,401"
OK,45_54,14/07/2020,"1,448,931"
MI,18_24,02/08/2020,"2,357,818"
WV,45_54,07/04/2020,"550,643"
MO,35_44,06/06/2020,"2,399,827"
AL,18_24,15/06/2020,"1,401,093"
WA,55_64,28/08/2020,"2,479,230"
TN,35_44,14/02/2020,"3,108,627"
