geography,age,dt,norm_visits
DC,35_44,04/03/2020,"564,027"
AR,55_64,09/02/2020,"841,069"
AR,55_64,04/02/2020,"896,149"
IN,25_34,14/07/2020,"2,397,525"
DC,35_44,03/08/2020,"292,029"
KS,25_34,16/02/2020,"1,118,178"
KS,25_34,12/03/2020,"1,112,506"
WA,25_34,17/06/2020,"2,544,067"
NE,55_64,24/06/2020,"562,230"
WA,55_64,29/06/2020,"2,025,684"
VA,65_plus,26/07/2020,"2,123,589"
MO,65_plus,01/02/2020,"1,902,808"
TN,35_44,06/02/2020,"2,521,571"
MI,55_64,25/04/2020,"2,407,530"
ME,35_44,14/02/2020,"514,544"
NJ,55_64,29/03/2020,"1,578,578"
IL,18_24,16/09/2020,"3,827,370"
LA,55_64,03/03/2020,"1,797,091"
LA,55_64,07/02/2020,"1,848,071"
DE,65_plus,03/07/2020,"407,006"
IA,45_54,26/05/2020,"1,027,882"
MN,18_24,19/03/2020,"968,577"
GA,65_plus,01/04/2020,"2,181,836"
MN,65_plus,09/08/2020,"1,467,935"
CT,18_24,05/03/2020,"1,053,621"
CA,65_plus,11/07/2020,"10,152,534"
VA,18_24,17/09/2020,"2,325,700"
NJ,18_24,02/06/2020,"1,799,687"
LA,55_64,05/08/2020,"1,548,945"
SD,45_54,28/08/2020,"462,328"
KS,55_64,17/07/2020,"875,647"
FL,18_24,24/07/2020,"5,494,428"
ND,35_44,19/04/2020,"142,746"
ND,35_44,28/03/2020,"167,405"
IL,18_24,10/08/2020,"3,583,126"
IA,25_34,19/09/2020,"1,396,737"
NE,25_34,08/05/2020,"657,512"
UT,25_34,08/03/2020,"1,327,011"
KY,65_plus,25/05/2020,"1,131,440"
GA,18_24,09/06/2020,"2,496,614"
NE,18_24,12/08/2020,"702,928"
RI,35_44,21/08/2020,"524,998"
AK,65_plus,28/02/2020,"190,971"
DC,25_34,12/02/2020,"626,336"
NM,35_44,21/08/2020,"733,029"
LA,65_plus,14/08/2020,"1,570,893"
HI,18_24,29/02/2020,"862,691"
NH,35_44,02/03/2020,"473,447"
NE,25_34,08/06/2020,"647,938"
MS,18_24,29/03/2020,"655,313"
WV,35_44,07/04/2020,"472,260"
MS,65_plus,22/04/2020,"877,516"
LA,45_54,17/05/2020,"1,454,724"
MS,25_34,24/02/2020,"1,120,777"
CT,65_plus,30/06/2020,"1,076,774"
IN,65_plus,23/09/2020,"2,257,908"
IN,65_plus,28/06/2020,"1,815,608"
CT,65_plus,25/03/2020,"739,824"
SD,35_44,03/02/2020,"214,011"
SC,65_plus,11/03/2020,"1,987,723"
LA,35_44,15/05/2020,"1,612,228"
MT,25_34,21/05/2020,"317,815"
OK,18_24,12/09/2020,"1,355,664"
MT,25_34,27/06/2020,"406,933"
MT,25_34,02/07/2020,"391,176"
WA,18_24,12/03/2020,"1,794,451"
WA,18_24,15/06/2020,"1,590,703"
WV,65_plus,26/03/2020,"569,207"
PA,65_plus,14/05/2020,"3,750,598"
IN,25_34,23/03/2020,"1,807,337"
OR,35_44,03/03/2020,"1,503,707"
NH,35_44,21/05/2020,"514,423"
SD,18_24,07/08/2020,"345,397"
RI,55_64,10/06/2020,"323,822"
AL,25_34,23/02/2020,"1,931,128"
LA,35_44,04/03/2020,"1,833,076"
RI,18_24,11/09/2020,"403,273"
AR,18_24,09/02/2020,"783,062"
ND,45_54,10/04/2020,"217,177"
OR,35_44,23/07/2020,"1,488,748"
WY,35_44,29/08/2020,"269,861"
VT,25_34,02/06/2020,"165,638"
MT,65_plus,03/09/2020,"565,982"
HI,18_24,09/06/2020,"557,122"
SD,55_64,08/02/2020,"304,489"
NC,18_24,17/03/2020,"2,468,674"
KS,18_24,30/03/2020,"622,167"
ME,18_24,18/05/2020,"210,867"
RI,45_54,01/03/2020,"469,475"
ID,25_34,25/03/2020,"464,092"
ID,25_34,29/03/2020,"351,608"
WA,18_24,22/07/2020,"1,723,167"
LA,18_24,13/05/2020,"1,286,274"
HI,55_64,24/09/2020,"207,390"
ID,25_34,03/04/2020,"497,273"
MT,45_54,30/03/2020,"310,981"
VT,55_64,13/09/2020,"240,740"
HI,45_54,21/08/2020,"664,659"
HI,45_54,18/07/2020,"697,553"
NV,65_plus,31/03/2020,"635,733"
SD,45_54,12/09/2020,"465,174"
MS,65_plus,09/05/2020,"973,107"
NM,25_34,22/09/2020,"821,547"
ND,18_24,08/02/2020,"265,459"
ID,25_34,30/08/2020,"653,103"
VT,25_34,18/02/2020,"213,868"
