State.Abbreviation,First.Policy.Date,State.Status.First.Policy
AL,19/03/2020,State ordered closure / except for children of parents working in essential sectors
AK,NA,Remain open with limited group sizes
AZ,30/03/2020,Open
AR,21/03/2020,Open
CA,19/03/2020,State ordered closure / except for children of parents working in essential sectors
CO,01/04/2020,Open
CT,20/03/2020,Open
DE,30/03/2020,State ordered closure / except for children of parents working in essential sectors
DC,24/03/2020,Open
FL,NA,Open
GA,23/03/2020,Remain open with limited group sizes
HI,23/03/2020,State ordered closure / except for children of parents working in essential sectors
ID,26/03/2020,Remain open with limited group sizes
IL,20/03/2020,Remain open with limited group sizes
IN,25/03/2020,State ordered closure / except for children of parents working in essential sectors
IA,01/04/2020,Remain open with limited group sizes
KS,NA,Open
KY,20/03/2020,State ordered closure / except for children of parents working in essential sectors
LA,NA,Open
ME,31/03/2020,Open
MD,26/03/2020,State ordered closure / except for children of parents working in essential sectors
MA,18/03/2020,State ordered closure / except for children of parents working in essential sectors
MI,23/03/2020,State ordered closure / except for children of parents working in essential sectors
MN,16/03/2020,Remain open with limited group sizes
MS,NA,Open
MO,06/04/2020,Open
MT,NA,Open
NE,NA,Remain open with limited group sizes
NV,NA,Open
NH,18/05/2020,Open
NJ,25/03/2020,State ordered closure / except for children of parents working in essential sectors
NM,NA,Open
NY,21/03/2020,Open
NYC,03/04/2020,State ordered closure / except for children of parents working in essential sectors
NC,27/03/2020,Open
ND,26/03/2020,Remain open with limited group sizes
OH,26/03/2020,Remain open with limited group sizes
OK,NA,Open
OR,23/03/2020,State ordered closure / except for children of parents working in essential sectors
PA,19/03/2020,State ordered closure / except for children of parents working in essential sectors
RI,29/03/2020,State ordered closure / except for children of parents working in essential sectors
SC,22/03/2020,Open
SD,NA,Open
TN,NA,Open
TX,31/03/2020,State ordered closure / except for children of parents working in essential sectors
UT,NA,Open
VT,17/03/2020,State ordered closure / except for children of parents working in essential sectors
VA,NA,Remain open with limited group sizes
WA,NA,Open
WV,25/03/2020,State ordered closure / except for children of parents working in essential sectors
WI,18/03/2020,Remain open with limited group sizes
WY,19/03/2020,State ordered closure / except for children of parents working in essential sectors
