dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,t
07/02/2020,1,1,2020,5.0,0.0,Auvergne-Rhône-Alpes,REG-84,REG-84,0,2020.1010928961748
08/02/2020,1,1,2020,5.0,0.0,Auvergne-Rhône-Alpes,REG-84,REG-84,0,2020.103825136612
10/02/2020,1,1,2020,5.0,0.0,Auvergne-Rhône-Alpes,REG-84,REG-84,0,2020.1092896174864
11/02/2020,1,1,2020,5.0,0.0,Auvergne-Rhône-Alpes,REG-84,REG-84,0,2020.1120218579235
12/02/2020,1,1,2020,5.0,0.0,Auvergne-Rhône-Alpes,REG-84,REG-84,0,2020.1147540983607
20/02/2020,1,1,2020,6.0,0.0,Auvergne-Rhône-Alpes,REG-84,REG-84,0,2020.136612021858
25/02/2020,1,1,2020,0.0,0.0,Bourgogne-Franche-Comté,REG-27,REG-27,0,2020.1502732240438
26/02/2020,1,1,2020,2.0,1.0,Hauts-de-France,REG-32,REG-32,0,2020.1530054644809
26/02/2020,1,1,2020,1.0,0.0,Grand Est,REG-44,REG-44,0,2020.1530054644809
27/02/2020,1,1,2020,2.0,0.0,Auvergne-Rhône-Alpes,REG-84,REG-84,0,2020.155737704918
28/02/2020,1,1,2020,5.0,0.0,Bourgogne-Franche-Comté,REG-27,REG-27,0,2020.1584699453551
01/03/2020,1,1,2020,10.0,0.0,Bourgogne-Franche-Comté,REG-27,REG-27,0,2020.1639344262296
02/03/2020,1,1,2020,2.0,0.0,Normandie,REG-28,REG-28,0,2020.1666666666667
02/03/2020,1,1,2020,7.0,0.0,Grand Est,REG-44,REG-44,0,2020.1666666666667
02/03/2020,1,1,2020,32.0,0.0,Auvergne-Rhône-Alpes,REG-84,REG-84,0,2020.1666666666667
03/03/2020,1,1,2020,15.0,0.0,Bourgogne-Franche-Comté,REG-27,REG-27,0,2020.1693989071039
03/03/2020,1,1,2020,36.0,0.0,Auvergne-Rhône-Alpes,REG-84,REG-84,0,2020.1693989071039
04/03/2020,1,1,2020,5.0,0.0,Guyane,REG-03,REG-03,0,2020.172131147541
04/03/2020,1,1,2020,19.0,0.0,Bourgogne-Franche-Comté,REG-27,REG-27,0,2020.172131147541
04/03/2020,1,1,2020,26.0,0.0,Grand Est,REG-44,REG-44,0,2020.172131147541
04/03/2020,1,1,2020,51.0,0.0,Auvergne-Rhône-Alpes,REG-84,REG-84,0,2020.172131147541
04/03/2020,1,1,2020,18.0,0.0,Provence-Alpes-Côte d'Azur,REG-93,REG-93,0,2020.172131147541
05/03/2020,1,1,2020,44.0,0.0,Bourgogne-Franche-Comté,REG-27,REG-27,0,2020.1748633879781
05/03/2020,1,1,2020,5.0,4.0,Hauts-de-France,REG-32,REG-32,0,2020.1748633879781
05/03/2020,1,1,2020,63.0,0.0,Auvergne-Rhône-Alpes,REG-84,REG-84,0,2020.1748633879781
05/03/2020,1,1,2020,26.0,0.0,Provence-Alpes-Côte d'Azur,REG-93,REG-93,0,2020.1748633879781
05/03/2020,1,1,2020,3.0,0.0,Corse,REG-94,REG-94,0,2020.1748633879781
06/03/2020,1,1,2020,131.0,1.0,Île-de-France,REG-11,REG-11,0,2020.1775956284152
06/03/2020,1,1,2020,80.0,0.0,Bourgogne-Franche-Comté,REG-27,REG-27,0,2020.1775956284152
06/03/2020,1,1,2020,81.0,0.0,Grand Est,REG-44,REG-44,0,2020.1775956284152
06/03/2020,1,1,2020,87.0,0.0,Auvergne-Rhône-Alpes,REG-84,REG-84,0,2020.1775956284152
06/03/2020,1,1,2020,31.0,0.0,Provence-Alpes-Côte d'Azur,REG-93,REG-93,0,2020.1775956284152
06/03/2020,1,1,2020,5.0,0.0,Corse,REG-94,REG-94,0,2020.1775956284152
07/03/2020,1,1,2020,161.0,1.0,Île-de-France,REG-11,REG-11,0,2020.1803278688524
07/03/2020,1,1,2020,106.0,0.0,Bourgogne-Franche-Comté,REG-27,REG-27,0,2020.1803278688524
07/03/2020,1,1,2020,10.0,1.0,Normandie,REG-28,REG-28,0,2020.1803278688524
07/03/2020,1,1,2020,125.0,0.0,Auvergne-Rhône-Alpes,REG-84,REG-84,0,2020.1803278688524
07/03/2020,1,1,2020,37.0,0.0,Provence-Alpes-Côte d'Azur,REG-93,REG-93,0,2020.1803278688524
07/03/2020,1,1,2020,19.0,0.0,Corse,REG-94,REG-94,0,2020.1803278688524
08/03/2020,1,1,2020,226.0,1.0,Île-de-France,REG-11,REG-11,0,2020.1830601092897
08/03/2020,1,1,2020,112.0,0.0,Bourgogne-Franche-Comté,REG-27,REG-27,0,2020.1830601092897
08/03/2020,1,1,2020,22.0,1.0,Normandie,REG-28,REG-28,0,2020.1830601092897
08/03/2020,1,1,2020,262.0,3.0,Grand Est,REG-44,REG-44,0,2020.1830601092897
08/03/2020,1,1,2020,146.0,1.0,Auvergne-Rhône-Alpes,REG-84,REG-84,0,2020.1830601092897
08/03/2020,1,1,2020,52.0,0.0,Provence-Alpes-Côte d'Azur,REG-93,REG-93,0,2020.1830601092897
09/03/2020,1,1,2020,283.0,1.0,Île-de-France,REG-11,REG-11,0,2020.1857923497269
09/03/2020,1,1,2020,119.0,0.0,Bourgogne-Franche-Comté,REG-27,REG-27,0,2020.1857923497269
09/03/2020,1,1,2020,25.0,1.0,Normandie,REG-28,REG-28,0,2020.1857923497269
09/03/2020,1,1,2020,181.0,15.0,Hauts-de-France,REG-32,REG-32,0,2020.1857923497269
09/03/2020,1,1,2020,310.0,4.0,Grand Est,REG-44,REG-44,0,2020.1857923497269
09/03/2020,1,1,2020,182.0,3.0,Auvergne-Rhône-Alpes,REG-84,REG-84,0,2020.1857923497269
09/03/2020,1,1,2020,72.0,0.0,Provence-Alpes-Côte d'Azur,REG-93,REG-93,0,2020.1857923497269
09/03/2020,1,1,2020,38.0,1.0,Corse,REG-94,REG-94,0,2020.1857923497269
10/03/2020,1,1,2020,283.0,4.0,Île-de-France,REG-11,REG-11,0,2020.188524590164
10/03/2020,1,1,2020,147.0,1.0,Bourgogne-Franche-Comté,REG-27,REG-27,0,2020.188524590164
10/03/2020,1,1,2020,39.0,1.0,Normandie,REG-28,REG-28,0,2020.188524590164
10/03/2020,1,1,2020,222.0,16.0,Hauts-de-France,REG-32,REG-32,0,2020.188524590164
10/03/2020,1,1,2020,464.0,5.0,Grand Est,REG-44,REG-44,0,2020.188524590164
10/03/2020,1,1,2020,227.0,3.0,Auvergne-Rhône-Alpes,REG-84,REG-84,0,2020.188524590164
10/03/2020,1,1,2020,90.0,0.0,Provence-Alpes-Côte d'Azur,REG-93,REG-93,0,2020.188524590164
10/03/2020,1,1,2020,42.0,2.0,Corse,REG-94,REG-94,0,2020.188524590164
11/03/2020,1,1,2020,6.0,0.0,Guyane,REG-03,REG-03,0,2020.191256830601
11/03/2020,1,1,2020,512.0,4.0,Île-de-France,REG-11,REG-11,0,2020.191256830601
11/03/2020,1,1,2020,165.0,3.0,Bourgogne-Franche-Comté,REG-27,REG-27,0,2020.191256830601
11/03/2020,1,1,2020,57.0,1.0,Normandie,REG-28,REG-28,0,2020.191256830601
11/03/2020,1,1,2020,587.0,9.0,Grand Est,REG-44,REG-44,0,2020.191256830601
11/03/2020,1,1,2020,93.0,1.0,Bretagne,REG-53,REG-53,0,2020.191256830601
11/03/2020,1,1,2020,262.0,3.0,Auvergne-Rhône-Alpes,REG-84,REG-84,0,2020.191256830601
11/03/2020,1,1,2020,112.0,0.0,Provence-Alpes-Côte d'Azur,REG-93,REG-93,0,2020.191256830601
11/03/2020,1,1,2020,51.0,3.0,Corse,REG-94,REG-94,0,2020.191256830601
12/03/2020,1,1,2020,605.0,4.0,Île-de-France,REG-11,REG-11,0,2020.1939890710382
12/03/2020,1,1,2020,219.0,5.0,Bourgogne-Franche-Comté,REG-27,REG-27,0,2020.1939890710382
12/03/2020,1,1,2020,68.0,1.0,Normandie,REG-28,REG-28,0,2020.1939890710382
12/03/2020,1,1,2020,337.0,20.0,Hauts-de-France,REG-32,REG-32,0,2020.1939890710382
12/03/2020,1,1,2020,120.0,3.0,Bretagne,REG-53,REG-53,0,2020.1939890710382
