dateRep,day,month,year,cases,deaths,geoId,continentExp,countryterritoryCode,popData2018,countriesAndTerritories
07/02/2020,1,1,2020,5.0,0.0,REG-84,Europe,REG-84,8005882,Auvergne-Rhône-Alpes
08/02/2020,1,1,2020,0.0,0.0,REG-84,Europe,REG-84,8005882,Auvergne-Rhône-Alpes
10/02/2020,1,1,2020,0.0,0.0,REG-84,Europe,REG-84,8005882,Auvergne-Rhône-Alpes
11/02/2020,1,1,2020,0.0,0.0,REG-84,Europe,REG-84,8005882,Auvergne-Rhône-Alpes
12/02/2020,1,1,2020,0.0,0.0,REG-84,Europe,REG-84,8005882,Auvergne-Rhône-Alpes
20/02/2020,1,1,2020,1.0,0.0,REG-84,Europe,REG-84,8005882,Auvergne-Rhône-Alpes
25/02/2020,1,1,2020,0.0,0.0,REG-27,Europe,REG-27,2793333,Bourgogne-Franche-Comté
26/02/2020,1,1,2020,2.0,1.0,REG-32,Europe,REG-32,5977437,Hauts-de-France
26/02/2020,1,1,2020,1.0,0.0,REG-44,Europe,REG-44,5525291,Grand Est
27/02/2020,1,1,2020,0.0,0.0,REG-84,Europe,REG-84,8005882,Auvergne-Rhône-Alpes
28/02/2020,1,1,2020,5.0,0.0,REG-27,Europe,REG-27,2793333,Bourgogne-Franche-Comté
01/03/2020,1,1,2020,5.0,0.0,REG-27,Europe,REG-27,2793333,Bourgogne-Franche-Comté
02/03/2020,1,1,2020,2.0,0.0,REG-28,Europe,REG-28,3313340,Normandie
02/03/2020,1,1,2020,6.0,0.0,REG-44,Europe,REG-44,5525291,Grand Est
02/03/2020,1,1,2020,26.0,0.0,REG-84,Europe,REG-84,8005882,Auvergne-Rhône-Alpes
03/03/2020,1,1,2020,5.0,0.0,REG-27,Europe,REG-27,2793333,Bourgogne-Franche-Comté
03/03/2020,1,1,2020,4.0,0.0,REG-84,Europe,REG-84,8005882,Auvergne-Rhône-Alpes
04/03/2020,1,1,2020,5.0,0.0,REG-03,Europe,REG-03,283539,Guyane
04/03/2020,1,1,2020,4.0,0.0,REG-27,Europe,REG-27,2793333,Bourgogne-Franche-Comté
04/03/2020,1,1,2020,19.0,0.0,REG-44,Europe,REG-44,5525291,Grand Est
04/03/2020,1,1,2020,15.0,0.0,REG-84,Europe,REG-84,8005882,Auvergne-Rhône-Alpes
04/03/2020,1,1,2020,18.0,0.0,REG-93,Europe,REG-93,5048405,Provence-Alpes-Côte d'Azur
05/03/2020,1,1,2020,3.0,0.0,REG-94,Europe,REG-94,341554,Corse
05/03/2020,1,1,2020,8.0,0.0,REG-93,Europe,REG-93,5048405,Provence-Alpes-Côte d'Azur
05/03/2020,1,1,2020,12.0,0.0,REG-84,Europe,REG-84,8005882,Auvergne-Rhône-Alpes
05/03/2020,1,1,2020,3.0,3.0,REG-32,Europe,REG-32,5977437,Hauts-de-France
05/03/2020,1,1,2020,25.0,0.0,REG-27,Europe,REG-27,2793333,Bourgogne-Franche-Comté
06/03/2020,1,1,2020,131.0,1.0,REG-11,Europe,REG-11,12244807,Île-de-France
06/03/2020,1,1,2020,36.0,0.0,REG-27,Europe,REG-27,2793333,Bourgogne-Franche-Comté
