PROP_DEATHS_EXTRACTED,GENDER,AGE_LOWER,AGE_UPPER
1.0227272727272800,M,0,9
0.08522727272727190,F,0,9
0.08522727272727190,M,10,19
0.08522727272727190,F,10,19
0.3409090909091020,M,20,29
0.2556818181818300,F,20,29
0.2556818181818300,M,30,39
0.2556818181818300,F,30,39
1.1079545454545500,M,40,49
0.3409090909091020,F,40,49
3.1534090909091000,M,50,59
0.5965909090909170,F,50,59
8.948863636363640,M,60,69
3.1534090909091000,F,60,69
27.017045454545500,M,70,79
17.64204545454550,F,70,79
44.48863636363640,M,80,89
29.488636363636400,F,80,89
53.522727272727300,M,90,95
34.60227272727270,F,90,95
