"age","source","location","cfr_pc_mean","cfr_pc_cl","cfr_pc_cu","cfr_mean","cfr_cl","cfr_cu","ifr_pc_mean","ifr_pc_cl","ifr_pc_cu","ifr_mean","ifr_cl","ifr_cu","ifr_beta_alpha","ifr_beta_beta"
0,"Verity_LancetID","China",0.0026,3e-04,0.038,2.6e-05,3e-06,0.00038,0.00161,0.000185,0.0249,1.61e-05,1.85e-06,0.000249,0.041049622453031,2549.62494124904
1,"Verity_LancetID","China",0.0026,3e-04,0.038,2.6e-05,3e-06,0.00038,0.00161,0.000185,0.0249,1.61e-05,1.85e-06,0.000249,0.041049622453031,2549.62494124904
2,"Verity_LancetID","China",0.0026,3e-04,0.038,2.6e-05,3e-06,0.00038,0.00161,0.000185,0.0249,1.61e-05,1.85e-06,0.000249,0.041049622453031,2549.62494124904
3,"Verity_LancetID","China",0.0026,3e-04,0.038,2.6e-05,3e-06,0.00038,0.00161,0.000185,0.0249,1.61e-05,1.85e-06,0.000249,0.041049622453031,2549.62494124904
4,"Verity_LancetID","China",0.0026,3e-04,0.038,2.6e-05,3e-06,0.00038,0.00161,0.000185,0.0249,1.61e-05,1.85e-06,0.000249,0.041049622453031,2549.62494124904
5,"Verity_LancetID","China",0.0026,3e-04,0.038,2.6e-05,3e-06,0.00038,0.00161,0.000185,0.0249,1.61e-05,1.85e-06,0.000249,0.041049622453031,2549.62494124904
6,"Verity_LancetID","China",0.0026,3e-04,0.038,2.6e-05,3e-06,0.00038,0.00161,0.000185,0.0249,1.61e-05,1.85e-06,0.000249,0.041049622453031,2549.62494124904
7,"Verity_LancetID","China",0.0026,3e-04,0.038,2.6e-05,3e-06,0.00038,0.00161,0.000185,0.0249,1.61e-05,1.85e-06,0.000249,0.041049622453031,2549.62494124904
8,"Verity_LancetID","China",0.0026,3e-04,0.038,2.6e-05,3e-06,0.00038,0.00161,0.000185,0.0249,1.61e-05,1.85e-06,0.000249,0.041049622453031,2549.62494124904
9,"Verity_LancetID","China",0.0026,3e-04,0.038,2.6e-05,3e-06,0.00038,0.00161,0.000185,0.0249,1.61e-05,1.85e-06,0.000249,0.041049622453031,2549.62494124904
10,"Verity_LancetID","China",0.0148,3e-04,0.076,0.000148,3e-06,0.00076,0.00695,0.00149,0.0502,6.95e-05,1.49e-05,0.000502,0.222380177864952,3199.4924092459
11,"Verity_LancetID","China",0.0148,3e-04,0.076,0.000148,3e-06,0.00076,0.00695,0.00149,0.0502,6.95e-05,1.49e-05,0.000502,0.222380177864952,3199.4924092459
12,"Verity_LancetID","China",0.0148,3e-04,0.076,0.000148,3e-06,0.00076,0.00695,0.00149,0.0502,6.95e-05,1.49e-05,0.000502,0.222380177864952,3199.4924092459
13,"Verity_LancetID","China",0.0148,3e-04,0.076,0.000148,3e-06,0.00076,0.00695,0.00149,0.0502,6.95e-05,1.49e-05,0.000502,0.222380177864952,3199.4924092459
14,"Verity_LancetID","China",0.0148,3e-04,0.076,0.000148,3e-06,0.00076,0.00695,0.00149,0.0502,6.95e-05,1.49e-05,0.000502,0.222380177864952,3199.4924092459
15,"Verity_LancetID","China",0.0148,3e-04,0.076,0.000148,3e-06,0.00076,0.00695,0.00149,0.0502,6.95e-05,1.49e-05,0.000502,0.222380177864952,3199.4924092459
16,"Verity_LancetID","China",0.0148,3e-04,0.076,0.000148,3e-06,0.00076,0.00695,0.00149,0.0502,6.95e-05,1.49e-05,0.000502,0.222380177864952,3199.4924092459
17,"Verity_LancetID","China",0.0148,3e-04,0.076,0.000148,3e-06,0.00076,0.00695,0.00149,0.0502,6.95e-05,1.49e-05,0.000502,0.222380177864952,3199.4924092459
18,"Verity_LancetID","China",0.0148,3e-04,0.076,0.000148,3e-06,0.00076,0.00695,0.00149,0.0502,6.95e-05,1.49e-05,0.000502,0.222380177864952,3199.4924092459
19,"Verity_LancetID","China",0.0148,3e-04,0.076,0.000148,3e-06,0.00076,0.00695,0.00149,0.0502,6.95e-05,1.49e-05,0.000502,0.222380177864952,3199.4924092459
20,"Verity_LancetID","China",0.06,0.032,0.132,6e-04,0.00032,0.00132,0.0309,0.0138,0.0923,0.000309,0.000138,0.000923,1.74591960537094,5648.47934049477
21,"Verity_LancetID","China",0.06,0.032,0.132,6e-04,0.00032,0.00132,0.0309,0.0138,0.0923,0.000309,0.000138,0.000923,1.74591960537094,5648.47934049477
22,"Verity_LancetID","China",0.06,0.032,0.132,6e-04,0.00032,0.00132,0.0309,0.0138,0.0923,0.000309,0.000138,0.000923,1.74591960537094,5648.47934049477
23,"Verity_LancetID","China",0.06,0.032,0.132,6e-04,0.00032,0.00132,0.0309,0.0138,0.0923,0.000309,0.000138,0.000923,1.74591960537094,5648.47934049477
24,"Verity_LancetID","China",0.06,0.032,0.132,6e-04,0.00032,0.00132,0.0309,0.0138,0.0923,0.000309,0.000138,0.000923,1.74591960537094,5648.47934049477
25,"Verity_LancetID","China",0.06,0.032,0.132,6e-04,0.00032,0.00132,0.0309,0.0138,0.0923,0.000309,0.000138,0.000923,1.74591960537094,5648.47934049477
26,"Verity_LancetID","China",0.06,0.032,0.132,6e-04,0.00032,0.00132,0.0309,0.0138,0.0923,0.000309,0.000138,0.000923,1.74591960537094,5648.47934049477
27,"Verity_LancetID","China",0.06,0.032,0.132,6e-04,0.00032,0.00132,0.0309,0.0138,0.0923,0.000309,0.000138,0.000923,1.74591960537094,5648.47934049477
28,"Verity_LancetID","China",0.06,0.032,0.132,6e-04,0.00032,0.00132,0.0309,0.0138,0.0923,0.000309,0.000138,0.000923,1.74591960537094,5648.47934049477
29,"Verity_LancetID","China",0.06,0.032,0.132,6e-04,0.00032,0.00132,0.0309,0.0138,0.0923,0.000309,0.000138,0.000923,1.74591960537094,5648.47934049477
30,"Verity_LancetID","China",0.146,0.103,0.255,0.00146,0.00103,0.00255,0.0844,0.0408,0.185,0.000844,0.000408,0.00185,4.42241037607994,5235.40031009779
31,"Verity_LancetID","China",0.146,0.103,0.255,0.00146,0.00103,0.00255,0.0844,0.0408,0.185,0.000844,0.000408,0.00185,4.42241037607994,5235.40031009779
32,"Verity_LancetID","China",0.146,0.103,0.255,0.00146,0.00103,0.00255,0.0844,0.0408,0.185,0.000844,0.000408,0.00185,4.42241037607994,5235.40031009779
33,"Verity_LancetID","China",0.146,0.103,0.255,0.00146,0.00103,0.00255,0.0844,0.0408,0.185,0.000844,0.000408,0.00185,4.42241037607994,5235.40031009779
34,"Verity_LancetID","China",0.146,0.103,0.255,0.00146,0.00103,0.00255,0.0844,0.0408,0.185,0.000844,0.000408,0.00185,4.42241037607994,5235.40031009779
35,"Verity_LancetID","China",0.146,0.103,0.255,0.00146,0.00103,0.00255,0.0844,0.0408,0.185,0.000844,0.000408,0.00185,4.42241037607994,5235.40031009779
36,"Verity_LancetID","China",0.146,0.103,0.255,0.00146,0.00103,0.00255,0.0844,0.0408,0.185,0.000844,0.000408,0.00185,4.42241037607994,5235.40031009779
