"age","source","location","cfr_pc_mean","cfr_pc_cl","cfr_pc_cu","cfr_mean","cfr_cl","cfr_cu","ifr_pc_mean","ifr_pc_cl","ifr_pc_cu","ifr_mean","ifr_cl","ifr_cu","ifr_beta_alpha","ifr_beta_beta"
37,"Verity_LancetID","China",0.146,0.103,0.255,0.00146,0.00103,0.00255,0.0844,0.0408,0.185,0.000844,0.000408,0.00185,4.42241037607994,5235.40031009779
38,"Verity_LancetID","China",0.146,0.103,0.255,0.00146,0.00103,0.00255,0.0844,0.0408,0.185,0.000844,0.000408,0.00185,4.42241037607994,5235.40031009779
39,"Verity_LancetID","China",0.146,0.103,0.255,0.00146,0.00103,0.00255,0.0844,0.0408,0.185,0.000844,0.000408,0.00185,4.42241037607994,5235.40031009779
40,"Verity_LancetID","China",0.3,0.22,0.42,0.003,0.0022,0.0042,0.161,0.0764,0.323,0.00161,0.000764,0.00323,5.83933598424919,3621.07742441897
41,"Verity_LancetID","China",0.3,0.22,0.42,0.003,0.0022,0.0042,0.161,0.0764,0.323,0.00161,0.000764,0.00323,5.83933598424919,3621.07742441897
42,"Verity_LancetID","China",0.3,0.22,0.42,0.003,0.0022,0.0042,0.161,0.0764,0.323,0.00161,0.000764,0.00323,5.83933598424919,3621.07742441897
43,"Verity_LancetID","China",0.3,0.22,0.42,0.003,0.0022,0.0042,0.161,0.0764,0.323,0.00161,0.000764,0.00323,5.83933598424919,3621.07742441897
44,"Verity_LancetID","China",0.3,0.22,0.42,0.003,0.0022,0.0042,0.161,0.0764,0.323,0.00161,0.000764,0.00323,5.83933598424919,3621.07742441897
45,"Verity_LancetID","China",0.3,0.22,0.42,0.003,0.0022,0.0042,0.161,0.0764,0.323,0.00161,0.000764,0.00323,5.83933598424919,3621.07742441897
46,"Verity_LancetID","China",0.3,0.22,0.42,0.003,0.0022,0.0042,0.161,0.0764,0.323,0.00161,0.000764,0.00323,5.83933598424919,3621.07742441897
47,"Verity_LancetID","China",0.3,0.22,0.42,0.003,0.0022,0.0042,0.161,0.0764,0.323,0.00161,0.000764,0.00323,5.83933598424919,3621.07742441897
48,"Verity_LancetID","China",0.3,0.22,0.42,0.003,0.0022,0.0042,0.161,0.0764,0.323,0.00161,0.000764,0.00323,5.83933598424919,3621.07742441897
49,"Verity_LancetID","China",0.3,0.22,0.42,0.003,0.0022,0.0042,0.161,0.0764,0.323,0.00161,0.000764,0.00323,5.83933598424919,3621.07742441897
50,"Verity_LancetID","China",1.3,1,1.6,0.013,0.01,0.016,0.595,0.344,1.28,0.00595,0.00344,0.0128,4.92874769258264,823.432209043995
51,"Verity_LancetID","China",1.3,1,1.6,0.013,0.01,0.016,0.595,0.344,1.28,0.00595,0.00344,0.0128,4.92874769258264,823.432209043995
52,"Verity_LancetID","China",1.3,1,1.6,0.013,0.01,0.016,0.595,0.344,1.28,0.00595,0.00344,0.0128,4.92874769258264,823.432209043995
53,"Verity_LancetID","China",1.3,1,1.6,0.013,0.01,0.016,0.595,0.344,1.28,0.00595,0.00344,0.0128,4.92874769258264,823.432209043995
54,"Verity_LancetID","China",1.3,1,1.6,0.013,0.01,0.016,0.595,0.344,1.28,0.00595,0.00344,0.0128,4.92874769258264,823.432209043995
55,"Verity_LancetID","China",1.3,1,1.6,0.013,0.01,0.016,0.595,0.344,1.28,0.00595,0.00344,0.0128,4.92874769258264,823.432209043995
56,"Verity_LancetID","China",1.3,1,1.6,0.013,0.01,0.016,0.595,0.344,1.28,0.00595,0.00344,0.0128,4.92874769258264,823.432209043995
57,"Verity_LancetID","China",1.3,1,1.6,0.013,0.01,0.016,0.595,0.344,1.28,0.00595,0.00344,0.0128,4.92874769258264,823.432209043995
58,"Verity_LancetID","China",1.3,1,1.6,0.013,0.01,0.016,0.595,0.344,1.28,0.00595,0.00344,0.0128,4.92874769258264,823.432209043995
59,"Verity_LancetID","China",1.3,1,1.6,0.013,0.01,0.016,0.595,0.344,1.28,0.00595,0.00344,0.0128,4.92874769258264,823.432209043995
60,"Verity_LancetID","China",4,3.4,4.6,0.04,0.034,0.046,1.93,1.11,3.89,0.0193,0.0111,0.0389,6.04479771825381,307.157156595415
61,"Verity_LancetID","China",4,3.4,4.6,0.04,0.034,0.046,1.93,1.11,3.89,0.0193,0.0111,0.0389,6.04479771825381,307.157156595415
62,"Verity_LancetID","China",4,3.4,4.6,0.04,0.034,0.046,1.93,1.11,3.89,0.0193,0.0111,0.0389,6.04479771825381,307.157156595415
63,"Verity_LancetID","China",4,3.4,4.6,0.04,0.034,0.046,1.93,1.11,3.89,0.0193,0.0111,0.0389,6.04479771825381,307.157156595415
64,"Verity_LancetID","China",4,3.4,4.6,0.04,0.034,0.046,1.93,1.11,3.89,0.0193,0.0111,0.0389,6.04479771825381,307.157156595415
65,"Verity_LancetID","China",4,3.4,4.6,0.04,0.034,0.046,1.93,1.11,3.89,0.0193,0.0111,0.0389,6.04479771825381,307.157156595415
66,"Verity_LancetID","China",4,3.4,4.6,0.04,0.034,0.046,1.93,1.11,3.89,0.0193,0.0111,0.0389,6.04479771825381,307.157156595415
67,"Verity_LancetID","China",4,3.4,4.6,0.04,0.034,0.046,1.93,1.11,3.89,0.0193,0.0111,0.0389,6.04479771825381,307.157156595415
68,"Verity_LancetID","China",4,3.4,4.6,0.04,0.034,0.046,1.93,1.11,3.89,0.0193,0.0111,0.0389,6.04479771825381,307.157156595415
69,"Verity_LancetID","China",4,3.4,4.6,0.04,0.034,0.046,1.93,1.11,3.89,0.0193,0.0111,0.0389,6.04479771825381,307.157156595415
70,"Verity_LancetID","China",8.6,7.5,10,0.086,0.075,0.1,4.28,2.45,8.44,0.0428,0.0245,0.0844,6.32120740770827,141.370554454634
71,"Verity_LancetID","China",8.6,7.5,10,0.086,0.075,0.1,4.28,2.45,8.44,0.0428,0.0245,0.0844,6.32120740770827,141.370554454634
72,"Verity_LancetID","China",8.6,7.5,10,0.086,0.075,0.1,4.28,2.45,8.44,0.0428,0.0245,0.0844,6.32120740770827,141.370554454634
73,"Verity_LancetID","China",8.6,7.5,10,0.086,0.075,0.1,4.28,2.45,8.44,0.0428,0.0245,0.0844,6.32120740770827,141.370554454634
74,"Verity_LancetID","China",8.6,7.5,10,0.086,0.075,0.1,4.28,2.45,8.44,0.0428,0.0245,0.0844,6.32120740770827,141.370554454634
75,"Verity_LancetID","China",8.6,7.5,10,0.086,0.075,0.1,4.28,2.45,8.44,0.0428,0.0245,0.0844,6.32120740770827,141.370554454634
76,"Verity_LancetID","China",8.6,7.5,10,0.086,0.075,0.1,4.28,2.45,8.44,0.0428,0.0245,0.0844,6.32120740770827,141.370554454634
77,"Verity_LancetID","China",8.6,7.5,10,0.086,0.075,0.1,4.28,2.45,8.44,0.0428,0.0245,0.0844,6.32120740770827,141.370554454634
78,"Verity_LancetID","China",8.6,7.5,10,0.086,0.075,0.1,4.28,2.45,8.44,0.0428,0.0245,0.0844,6.32120740770827,141.370554454634
79,"Verity_LancetID","China",8.6,7.5,10,0.086,0.075,0.1,4.28,2.45,8.44,0.0428,0.0245,0.0844,6.32120740770827,141.370554454634
80,"Verity_LancetID","China",13.4,11.2,15.9,0.134,0.112,0.159,7.8,3.8,13.3,0.078,0.038,0.133,9.21572724369553,108.934622034452
81,"Verity_LancetID","China",13.4,11.2,15.9,0.134,0.112,0.159,7.8,3.8,13.3,0.078,0.038,0.133,9.21572724369553,108.934622034452
82,"Verity_LancetID","China",13.4,11.2,15.9,0.134,0.112,0.159,7.8,3.8,13.3,0.078,0.038,0.133,9.21572724369553,108.934622034452
83,"Verity_LancetID","China",13.4,11.2,15.9,0.134,0.112,0.159,7.8,3.8,13.3,0.078,0.038,0.133,9.21572724369553,108.934622034452
84,"Verity_LancetID","China",13.4,11.2,15.9,0.134,0.112,0.159,7.8,3.8,13.3,0.078,0.038,0.133,9.21572724369553,108.934622034452
85,"Verity_LancetID","China",13.4,11.2,15.9,0.134,0.112,0.159,7.8,3.8,13.3,0.078,0.038,0.133,9.21572724369553,108.934622034452
86,"Verity_LancetID","China",13.4,11.2,15.9,0.134,0.112,0.159,7.8,3.8,13.3,0.078,0.038,0.133,9.21572724369553,108.934622034452
87,"Verity_LancetID","China",13.4,11.2,15.9,0.134,0.112,0.159,7.8,3.8,13.3,0.078,0.038,0.133,9.21572724369553,108.934622034452
88,"Verity_LancetID","China",13.4,11.2,15.9,0.134,0.112,0.159,7.8,3.8,13.3,0.078,0.038,0.133,9.21572724369553,108.934622034452
89,"Verity_LancetID","China",13.4,11.2,15.9,0.134,0.112,0.159,7.8,3.8,13.3,0.078,0.038,0.133,9.21572724369553,108.934622034452
90,"Verity_LancetID","China",13.4,11.2,15.9,0.134,0.112,0.159,7.8,3.8,13.3,0.078,0.038,0.133,9.21572724369553,108.934622034452
91,"Verity_LancetID","China",13.4,11.2,15.9,0.134,0.112,0.159,7.8,3.8,13.3,0.078,0.038,0.133,9.21572724369553,108.934622034452
92,"Verity_LancetID","China",13.4,11.2,15.9,0.134,0.112,0.159,7.8,3.8,13.3,0.078,0.038,0.133,9.21572724369553,108.934622034452
93,"Verity_LancetID","China",13.4,11.2,15.9,0.134,0.112,0.159,7.8,3.8,13.3,0.078,0.038,0.133,9.21572724369553,108.934622034452
94,"Verity_LancetID","China",13.4,11.2,15.9,0.134,0.112,0.159,7.8,3.8,13.3,0.078,0.038,0.133,9.21572724369553,108.934622034452
95,"Verity_LancetID","China",13.4,11.2,15.9,0.134,0.112,0.159,7.8,3.8,13.3,0.078,0.038,0.133,9.21572724369553,108.934622034452
96,"Verity_LancetID","China",13.4,11.2,15.9,0.134,0.112,0.159,7.8,3.8,13.3,0.078,0.038,0.133,9.21572724369553,108.934622034452
97,"Verity_LancetID","China",13.4,11.2,15.9,0.134,0.112,0.159,7.8,3.8,13.3,0.078,0.038,0.133,9.21572724369553,108.934622034452
98,"Verity_LancetID","China",13.4,11.2,15.9,0.134,0.112,0.159,7.8,3.8,13.3,0.078,0.038,0.133,9.21572724369553,108.934622034452
99,"Verity_LancetID","China",13.4,11.2,15.9,0.134,0.112,0.159,7.8,3.8,13.3,0.078,0.038,0.133,9.21572724369553,108.934622034452
100,"Verity_LancetID","China",13.4,11.2,15.9,0.134,0.112,0.159,7.8,3.8,13.3,0.078,0.038,0.133,9.21572724369553,108.934622034452
