Age,Population,IFR,Lower Bound,Upper Bound
0-34,"149,198,677",0.0149196777492762,0.01491967774927620,0.01491967774927620
35,"4,315,866",0.0229906458407640,0.01491967774927620,0.03542769327759740
36,"4,372,444",0.0262970756739378,0.01727139763534070,0.04003937542438510
37,"4,361,286",0.0300790164619684,0.01999124139547350,0.04525718092918400
38,"4,305,576",0.0344048701226711,0.02313615195453170,0.05116214230656620
39,"4,382,349",0.0393528528511524,0.02677171118557450,0.05784639343619350
40,"4,105,313",0.0450124256312847,0.03097336180508140,0.06541486829519270
41,"4,020,254",0.0514859445393085,0.03582789003849030,0.07398712635040280
42,"3,974,741",0.0588904656469822,0.04143497347831730,0.08369950950145720
43,"3,854,040",0.0673598572611809,0.04790901020169260,0.09470766782760620
44,"3,967,275",0.0770473107695580,0.05538122728466990,0.10718952864408500
45,"3,837,909",0.0881279706954956,0.06400185823440550,0.12134864926338200
46,"3,889,372",0.1008021831512450,0.07394275814294820,0.13741819560527800
47,"4,058,038",0.1152991876006130,0.08540028333663940,0.15566579997539500
48,"4,282,657",0.1318810880184170,0.09859830886125560,0.17639876902103400
49,"4,329,775",0.1508477330207820,0.11379179358482400,0.19997079670429200
50,"4,096,572",0.1725420653820040,0.13127049803733800,0.22678945958614300
51,"4,004,343",0.1973564326763150,0.15136320888996100,0.25732517242431600
52,"4,001,782",0.2257394939661030,0.17444209754467000,0.29212167859077500
53,"4,068,851",0.2582044899463650,0.20092782378196700,0.33180847764015200
54,"4,305,603",0.2953385114669800,0.23129487037658700,0.37711530923843400
55,"4,374,565",0.3378129601478580,0.26607730984687800,0.42888888716697700
56,"4,361,016",0.3863959610462190,0.30587556958198500,0.48811295628547700
57,"4,342,385",0.4419659972190860,0.35136371850967400,0.55593085289001500
58,"4,385,570",0.5055278539657590,0.40329760313034100,0.63367205858230600
59,"4,413,855",0.5782309770584110,0.46252474188804600,0.72288250923156700
60,"4,252,663",0.6613900065422060,0.52999526262283300,0.82535970211029100
61,"4,215,172",0.7565086483955380,0.60677480697631800,0.94319224357605000
62,"4,156,645",0.8653068542480470,0.69405978918075600,1.07880604267120000
63,"3,996,088",0.9897519946098330,0.79319483041763300,1.23501694202423000
64,"3,950,578",1.1320943832397500,0.90569287538528400,1.41509091854095000
65,"3,774,597",1.2949080467224100,1.03325843811035000,1.62281441688538000
66,"3,618,069",1.4811367988586400,1.17781364917755000,1.86257493495941000
67,"3,464,437",1.6941483020782500,1.34152781963348000,2.13945508003235000
68,"3,345,475",1.9377943277359000,1.52685081958771000,2.45934128761292000
69,"3,252,423",2.2164807319641100,1.73654973506927000,2.82905030250549000
70,"3,136,704",2.5352466106414800,1.97375130653381000,3.25647664070129000
71,"3,083,083",2.8998560905456500,2.24198794364929000,3.75076341629028000
72,"3,191,048",3.3169023990631100,2.54525041580200000,4.32249879837036000
73,"2,334,433",3.7939271926879900,2.88804769515991000,4.98394918441772000
74,"2,283,164",4.3395552635192900,3.27547144889832000,5.74932241439819000
75,"2,198,286",4.9636540412902800,3.71327257156372000,6.63508081436157000
76,"2,222,392",5.6775078773498500,4.20794486999512000,7.66029357910156000
77,"1,911,261",6.4940257072448700,4.76682138442993000,8.84706401824951000
78,"1,720,817",7.4279718399047900,5.39817857742310000,10.22099590301510000
79,"1,599,909",8.4962348937988300,6.11136198043823000,11.81177234649660000
80,"1,475,278",9.7181329727172900,6.91691970825195000,13.65378189086910000
81,"1,381,641",11.1157560348511000,7.82675552368164000,15.78687858581540000
82,"1,241,341",12.7143831253052000,8.85431003570557000,18.25727081298830000
83,"1,151,190",14.5429191589355000,10.01475048065190000,21.11849975585940000
84,"1,067,757",16.6344242095947000,11.32518672943120000,24.43262863159180000
85,"922,467",19.0267257690430000,12.80494499206540000,28.27160453796390000
86,"856,646",21.7630805969238000,14.47581958770750000,32.71881484985350000
87,"778,923",24.8929615020752000,16.36241149902340000,37.87091445922850000
88,"703,078",28.4729747772217000,18.49249267578120000,43.83996963500980000
89,"635,982",32.5678520202637000,20.89737892150880000,50.75588989257810000
90,"536,447",37.2516441345215000,23.61243438720700000,58.76925659179690000
91,"467,172",42.6090278625488000,26.67754173278810000,68.05459594726560000
92,"394,067",48.7369003295898000,30.13772392272950000,78.81434631347660000
93,"320,785",55.7460632324219000,34.04378509521480000,91.28313446044920000
94,"264,277",63.7632560729980000,38.45302581787110000,105.73297119140600000
95+,"725,114",72.9334182739258000,43.43011093139650000,122.47917175293000000
