"age_cat","age_cat_label","ln_mu","ln_sd","ifr_mean","ifr_cl","ifr_cu"
1,"0-4",-13.8155105579643,2.8518912373281,1e-06,0,3e-04
2,"5-9",-9.21034037197618,0.895879734614027,1e-04,0,6e-04
3,"10-14",-9.21034037197618,1.15129254649702,1e-04,0,0.001
4,"15-19",-8.51719319141624,1.07003308174814,2e-04,0,0.0017
5,"20-24",-8.51719319141624,1.31952866480763,2e-04,0,0.0028
6,"25-29",-7.82404601085629,1.19894763639919,4e-04,0,0.0044
7,"30-34",-7.41858090274813,1.20646657508146,6e-04,1e-04,0.0067
8,"35-39",-7.01311579463996,1.19387145066718,9e-04,1e-04,0.0098
9,"40-44",-6.50229017087397,1.10596536236296,0.0015,2e-04,0.0137
10,"45-49",-6.07484615604703,1.0504738734504,0.0023,3e-04,0.0188
11,"50-54",-5.62682143352007,0.972955074527657,0.0036,5e-04,0.0252
12,"55-59",-5.16728910414163,0.881041850540969,0.0057,0.001,0.0332
13,"60-64",-4.72170400224404,0.792204082184133,0.0089,0.0018,0.0434
14,"65-69",-4.27586643884549,0.700290159183684,0.0139,0.0034,0.0564
15,"70-74",-3.83044301843572,0.609986572836188,0.0217,0.0064,0.0735
16,"75-79",-3.38434026459573,0.523063996979268,0.0339,0.0119,0.0965
17,"80-84",-2.93746336543002,0.441259647675283,0.053,0.0219,0.1281
18,"85+",-1.998537666456,0.291304250103209,0.135533333333333,0.0762,0.2427
