"Age","M_IFR","CL_CI","CU_CI","CL_PI","CU_PI"
"1",0.000607684021815658,0.000438714865595102,0.000841730914544314,0.000175306398887187,0.00210648239590228
"1.5",0.000645508116576821,0.000467274803668261,0.000891725299879909,0.000186348595889285,0.00223602820187807
"2",0.000685686536598951,0.000497692031785846,0.000944692641496658,0.000198085021111183,0.00237355660647154
"2.5",0.00072836532490328,0.000530086632352322,0.00100081006530672,0.000210559112019837,0.00251955888234079
"3",0.000773701001890004,0.000564587360713631,0.00106026686262339,0.000223817507503554,0.00267455959692597
"3.5",0.000821858528070152,0.000601330888457596,0.00112326082307845,0.000237909043789841,0.002839116146788
"4",0.0008730135159567,0.000640462560113519,0.00119000335689634,0.000252886122325435,0.00301381736062467
"4.5",0.000927352521102875,0.000682137731928378,0.00126071716658771,0.000268804433289915,0.00319928769022226
"5",0.000985073740594089,0.000726520724128932,0.0013356403214857,0.000285722722765058,0.00339619605802
"5.5",0.00104638724587858,0.000773787265643477,0.00141502229962498,0.00030370382592082,0.00360524351708591
"6",0.00111151754390448,0.000824124785140157,0.00149913132190704,0.000322814536048099,0.00382718583568931
"6.5",0.00118070177268237,0.000877732585649937,0.00158824760001153,0.000343125371728092,0.00406282022595406
"7",0.00125419220421463,0.000934821902774274,0.00168267160188407,0.000364711740985513,0.0043129906989634
"7.5",0.00133225705940276,0.000995618873275816,0.00178271904587746,0.000387653533834964,0.00457859551534057
"8",0.00141518074087799,0.00106036348734051,0.0018887264886871,0.000412035995395854,0.0048605864867568
"8.5",0.0015032651135698,0.00112931150943041,0.00200104736723006,0.000437948678154498,0.00515997875481844
"9",0.0015968328807503,0.00120273558422923,0.00212006317451596,0.000465488177724183,0.00547785172238946
"9.5",0.00169622467365116,0.0012809248873964,0.00224617216736078,0.000494755920954049,0.00581534812226892
"10",0.0018018027767539,0.00136418908368796,0.00237979716621339,0.000525860697962344,0.0061736754141748
"10.5",0.00191395252477378,0.00145285541657358,0.0025213893968612,0.000558917061425745,0.0065541286021471
"11",0.00203308276832104,0.00154727441258729,0.00267142383381724,0.000594047422055155,0.00695807347074151
"11.5",0.00215962692163885,0.00164781685452908,0.00283040455542505,0.000631381408311427,0.00738695869222283
"12",0.00229404866695404,0.00175488006789237,0.00299887103028595,0.000671057612635195,0.00784233585000038
"12.5",0.00243683718144894,0.0018688861746341,0.00317738763988018,0.000713222427293658,0.0083258394151926
"13",0.00258851330727339,0.00199028220959008,0.00336655834689736,0.000758031208533794,0.00883921608328819
"13.5",0.00274963025003672,0.00211954745464027,0.00356701924465597,0.000805649324320257,0.00938431452959776
"14",0.0029207756742835,0.00225718971341848,0.00377944763749838,0.000856253609526902,0.00996308866888285
"14.5",0.00310257193632424,0.00240374938584864,0.00400455761700869,0.000910029397346079,0.0105776283890009
"15",0.0032956856302917,0.002559803891927,0.00424311542883515,0.000967176689300686,0.0112301539629698
"15.5",0.00350081897340715,0.00272596441209316,0.00449592620134354,0.00102790584787726,0.0119230151176453
"16",0.00371872074902058,0.00290288496762514,0.00476384162902832,0.00109244044870138,0.0126587068662047
"16.5",0.00395018514245749,0.00309125753119588,0.00504777207970619,0.00116101908497512,0.0134398890659213
"17",0.00419605663046241,0.00329182134009898,0.00534867774695158,0.00123389391228557,0.0142693724483252
"17.5",0.00445722974836826,0.00350536149926484,0.0056675742380321,0.00131133361719549,0.0151501465588808
"18",0.00473466143012047,0.00373271689750254,0.0060055498033762,0.00139362434856594,0.0160854049026966
"18.5",0.00502936122938991,0.00397477485239506,0.00636374950408936,0.00148106925189495,0.0170785151422024
"19",0.00534240389242768,0.00423248345032334,0.00674338825047016,0.00157399068120867,0.0181330665946007
"19.5",0.00567493122071028,0.00450684875249863,0.00714575732126832,0.00167273008264601,0.0192528646439314
"20",0.00602815626189113,0.00479894131422043,0.0075722262263298,0.0017776518361643,0.0204419549554586
"20.5",0.00640336377546191,0.00510990293696523,0.00802423618733883,0.00188914022874087,0.0217046178877354
"21",0.00680192839354277,0.00544094573706388,0.00850334390997887,0.00200760760344565,0.0230454560369253
"21.5",0.00722530111670494,0.00579336145892739,0.00901117268949747,0.00213348981924355,0.024469280615449
"22",0.00767502607777715,0.00616851914674044,0.0095494594424963,0.00226725055836141,0.0259812604635954
"22.5",0.008152742870152,0.00656787725165486,0.0101200435310602,0.00240938016213477,0.0275868624448776
"23",0.00866019446402788,0.00699299387633801,0.0107248732820153,0.00256040133535862,0.0292918831110001
"23.5",0.0091992262750864,0.00744551233947277,0.0113660134375095,0.00272086914628744,0.0311024785041809
"24",0.00977181456983089,0.00792719610035419,0.0120456693693995,0.00289137475192547,0.0330252423882484
"24.5",0.0103800417855382,0.00843990314751863,0.0127661703154445,0.00307254516519606,0.0350671149790287
"25",0.0110261272639036,0.00898563303053379,0.0135299898684025,0.00326504255644977,0.0372354909777641
"25.5",0.0117124272510409,0.00956648122519255,0.0143397506326437,0.00346957892179489,0.0395382232964039
"26",0.0124414414167404,0.0101846978068352,0.0151982372626662,0.00368690001778305,0.0419836342334747
"26.5",0.013215834274888,0.0108426725491881,0.0161084160208702,0.00391780724748969,0.0445806160569191
"27",0.0140384277328849,0.0115429423749447,0.0170734170824289,0.00416314695030451,0.0473385825753212
"27.5",0.0149122187867761,0.01228819321841,0.0180965792387724,0.00442381808534265,0.0502674840390682
"28",0.0158404000103474,0.0130813047289848,0.0191814415156841,0.00470077991485596,0.0533779971301556
"28.5",0.0168263558298349,0.0139253186061978,0.020331759005785,0.00499504897743464,0.0566813908517361
"29",0.0178736746311188,0.0148234674707055,0.0215515177696943,0.00530769815668464,0.060189601033926
