"state","age","dt","norm_visits"
"AK","18_24","02/01/2020","137,006"
"AK","18_24","02/02/2020","205,341"
"AK","18_24","02/03/2020","216,986"
"AK","18_24","02/04/2020","237,078"
"AK","18_24","02/05/2020","237,078"
"AK","18_24","02/06/2020","272,214"
"AK","18_24","02/07/2020","253,747"
"AK","18_24","02/08/2020","291,631"
"AK","18_24","02/09/2020","225,974"
"AK","18_24","02/10/2020","230,304"
"AK","18_24","02/11/2020","272,362"
"AK","18_24","02/12/2020","285,893"
"AK","18_24","02/13/2020","290,030"
"AK","18_24","02/14/2020","254,559"
"AK","18_24","02/15/2020","277,192"
"AK","18_24","02/16/2020","240,333"
"AK","18_24","02/17/2020","199,804"
"AK","18_24","02/18/2020","215,058"
"AK","18_24","02/19/2020","240,124"
"AK","18_24","02/20/2020","259,684"
"AK","18_24","02/21/2020","261,093"
"AK","18_24","02/22/2020","256,504"
"AK","18_24","02/23/2020","215,822"
"AK","18_24","02/24/2020","256,431"
"AK","18_24","02/25/2020","285,945"
"AK","18_24","02/26/2020","248,087"
"AK","18_24","02/27/2020","265,327"
"AK","18_24","02/28/2020","242,949"
"AK","18_24","02/29/2020","257,471"
"AK","18_24","03/01/2020","256,954"
"AK","18_24","03/02/2020","262,095"
"AK","18_24","03/03/2020","265,486"
"AK","18_24","03/04/2020","269,286"
"AK","18_24","03/05/2020","320,330"
"AK","18_24","03/06/2020","321,333"
"AK","18_24","03/07/2020","247,515"
"AK","18_24","03/08/2020","206,235"
"AK","18_24","03/09/2020","177,468"
"AK","18_24","03/10/2020","201,397"
"AK","18_24","03/11/2020","243,329"
"AK","18_24","03/12/2020","229,910"
"AK","18_24","03/13/2020","285,807"
"AK","18_24","03/14/2020","226,488"
"AK","18_24","03/15/2020","178,873"
"AK","18_24","03/16/2020","179,857"
"AK","18_24","03/17/2020","214,036"
"AK","18_24","03/18/2020","206,677"
"AK","18_24","03/19/2020","182,738"
"AK","18_24","03/20/2020","222,896"
"AK","18_24","03/21/2020","185,852"
"AK","18_24","03/22/2020","154,387"
"AK","18_24","03/23/2020","145,937"
"AK","18_24","03/24/2020","129,471"
"AK","18_24","03/25/2020","151,484"
"AK","18_24","03/26/2020","161,242"
"AK","18_24","03/27/2020","122,684"
"AK","18_24","03/28/2020","160,025"
"AK","18_24","03/29/2020","118,405"
"AK","18_24","03/30/2020","97,919"
"AK","18_24","03/31/2020","143,569"
"AK","18_24","04/01/2020","174,912"
"AK","18_24","04/02/2020","142,283"
"AK","18_24","04/03/2020","168,922"
"AK","18_24","04/04/2020","167,591"
"AK","18_24","04/05/2020","101,695"
"AK","18_24","04/06/2020","159,637"
"AK","18_24","04/07/2020","180,957"
"AK","18_24","04/08/2020","152,279"
"AK","18_24","04/09/2020","185,145"
"AK","18_24","04/10/2020","131,624"
"AK","18_24","04/11/2020","199,008"
"AK","18_24","04/12/2020","150,035"
"AK","18_24","04/13/2020","187,092"
"AK","18_24","04/14/2020","187,899"
"AK","18_24","04/15/2020","173,143"
"AK","18_24","04/16/2020","218,688"
"AK","18_24","04/17/2020","243,772"
"AK","18_24","04/18/2020","153,942"
"AK","18_24","04/19/2020","137,990"
"AK","18_24","04/20/2020","171,553"
"AK","18_24","04/21/2020","173,267"
"AK","18_24","04/22/2020","168,169"
"AK","18_24","04/23/2020","200,368"
"AK","18_24","04/24/2020","178,988"
"AK","18_24","04/25/2020","191,689"
"AK","18_24","04/26/2020","216,672"
"AK","18_24","04/27/2020","171,672"
"AK","18_24","04/28/2020","201,473"
"AK","18_24","04/29/2020","221,994"
"AK","18_24","04/30/2020","215,840"
"AK","18_24","05/01/2020","250,757"
"AK","18_24","05/02/2020","234,402"
"AK","18_24","05/03/2020","239,624"
"AK","18_24","05/04/2020","174,321"
"AK","18_24","05/05/2020","248,950"
"AK","18_24","05/06/2020","259,230"
"AK","18_24","05/07/2020","221,703"
"AK","18_24","05/08/2020","280,170"
"AK","18_24","05/09/2020","316,239"
"AK","18_24","05/10/2020","246,819"
"AK","18_24","05/11/2020","255,631"
"AK","18_24","05/12/2020","237,225"
"AK","18_24","05/13/2020","212,411"
"AK","18_24","05/14/2020","259,749"
"AK","18_24","05/15/2020","294,657"
"AK","18_24","05/16/2020","279,862"
"AK","18_24","05/17/2020","280,279"
"AK","18_24","05/18/2020","215,227"
"AK","18_24","05/19/2020","215,835"
"AK","18_24","05/20/2020","252,048"
"AK","18_24","05/21/2020","232,219"
"AK","18_24","05/22/2020","248,981"
"AK","18_24","05/23/2020","292,949"
"AK","18_24","05/24/2020","205,166"
"AK","18_24","05/25/2020","190,010"
"AK","18_24","05/26/2020","198,481"
"AK","18_24","05/27/2020","315,956"
"AK","18_24","05/28/2020","234,596"
"AK","18_24","05/29/2020","269,243"
"AK","18_24","05/30/2020","270,600"
"AK","18_24","05/31/2020","233,783"
"AK","18_24","06/01/2020","276,913"
"AK","18_24","06/02/2020","269,308"
"AK","18_24","06/03/2020","207,778"
"AK","18_24","06/04/2020","282,322"
"AK","18_24","06/05/2020","259,081"
"AK","18_24","06/06/2020","193,760"
"AK","18_24","06/07/2020","216,342"
"AK","18_24","06/08/2020","256,220"
"AK","18_24","06/09/2020","222,730"
"AK","18_24","06/10/2020","276,054"
"AK","18_24","06/11/2020","290,670"
"AK","18_24","06/12/2020","266,954"
"AK","18_24","06/13/2020","300,029"
"AK","18_24","06/14/2020","242,204"
"AK","18_24","06/15/2020","278,847"
"AK","18_24","06/16/2020","324,322"
"AK","18_24","06/17/2020","272,289"
"AK","18_24","06/18/2020","258,792"
"AK","18_24","06/19/2020","262,721"
"AK","18_24","06/20/2020","266,662"
"AK","18_24","06/21/2020","290,041"
"AK","18_24","06/22/2020","213,392"
"AK","18_24","06/23/2020","251,239"
"AK","18_24","06/24/2020","286,565"
"AK","18_24","06/25/2020","324,625"
"AK","18_24","06/26/2020","279,075"
"AK","18_24","06/27/2020","234,217"
"AK","18_24","06/28/2020","261,721"
"AK","18_24","06/29/2020","248,715"
"AK","18_24","06/30/2020","275,698"
"AK","18_24","07/01/2020","357,342"
"AK","18_24","07/02/2020","339,920"
"AK","18_24","07/03/2020","292,418"
"AK","18_24","07/04/2020","229,958"
"AK","18_24","07/05/2020","212,317"
"AK","18_24","07/06/2020","247,008"
"AK","18_24","07/07/2020","276,596"
"AK","18_24","07/08/2020","291,407"
"AK","18_24","07/09/2020","235,731"
"AK","18_24","07/10/2020","303,705"
"AK","18_24","07/11/2020","234,291"
"AK","18_24","07/12/2020","229,512"
"AK","18_24","07/13/2020","247,138"
"AK","18_24","07/14/2020","311,683"
"AK","18_24","07/15/2020","222,821"
"AK","18_24","07/16/2020","227,541"
"AK","18_24","07/17/2020","240,684"
"AK","18_24","07/18/2020","269,160"
"AK","18_24","07/19/2020","291,773"
"AK","18_24","07/20/2020","208,657"
"AK","18_24","07/21/2020","259,012"
"AK","18_24","07/22/2020","276,503"
"AK","18_24","07/23/2020","300,280"
"AK","18_24","07/24/2020","230,837"
"AK","18_24","07/25/2020","237,326"
"AK","18_24","07/26/2020","194,374"
"AK","18_24","07/27/2020","335,375"
"AK","18_24","07/28/2020","300,435"
"AK","18_24","07/29/2020","319,244"
"AK","18_24","07/30/2020","285,432"
"AK","18_24","07/31/2020","281,337"
"AK","18_24","08/01/2020","261,019"
"AK","18_24","08/02/2020","214,582"
"AK","18_24","08/03/2020","274,036"
"AK","18_24","08/04/2020","286,890"
"AK","18_24","08/05/2020","286,078"
"AK","18_24","08/06/2020","285,877"
"AK","18_24","08/07/2020","319,184"
"AK","18_24","08/08/2020","221,818"
