"age_cat","ifr_mean","ifr_cl","ifr_cu","ln_mu","ln_sd","ifr_beta_alpha","ifr_beta_beta","age_cat_label"
"1",8.86745915452435e-06,1.95193450414599e-06,0.000201356666737403,-10.828561192381,1.15906421567962,0.0410581224268353,4630.16041350056,"0-4"
"2",2.40836142834905e-05,2.1641655481838e-06,0.000362315055600309,-10.4832360521029,1.28011982339701,0.0410412865600531,1704.07554507595,"5-9"
"3",4.92257325430648e-05,7.83609736801415e-06,0.000539679214975579,-9.64065263674644,1.05805849774176,0.0637204167335403,1294.38967705775,"10-14"
"4",0.000103083077837451,2.95070774477207e-05,0.000771312585069429,-8.79914862418509,0.815865892862996,0.204638724446939,1984.97788337319,"15-19"
"5",0.00021876275222778,8.83164561332449e-05,0.00119963675706372,-8.03016028600109,0.652211907771186,0.412435521026804,1884.8971833549,"20-24"
"6",0.000435769199367323,0.000209735931057003,0.00203423610678555,-7.33364809887225,0.568006595405974,0.588082001128645,1348.93823142914,"25-29"
"7",0.000714134133546791,0.000354202297057667,0.00308647926258895,-6.86318329116822,0.541229528134418,0.699025423331166,978.144290550678,"30-34"
"8",0.000955376062191929,0.000435766885484183,0.00387342672819625,-6.64600941408357,0.546196854918682,0.808903553304209,845.877113938419,"35-39"
"9",0.00130309852607932,0.000582524416941626,0.00514773240800804,-6.35866921315113,0.544735121377727,0.858803825315937,658.188695752363,"40-44"
"10",0.00217302842685613,0.0011403977756989,0.00896497381901862,-5.74540412183439,0.515487014775108,0.775613169988446,356.151687183178,"45-49"
"11",0.00426015738712838,0.00245148378454827,0.0178435417161497,-5.01858772812049,0.496237041638202,0.746038784848093,174.373966664287,"50-54"
"12",0.00846705273038359,0.00483642701165142,0.0345607004975624,-4.34830855891544,0.491635246345218,0.785018835633091,91.9295136741375,"55-59"
"13",0.0151622694254156,0.0086354954454094,0.0609033582419088,-3.77517057742408,0.488351807591374,0.803468802056425,52.1878598383394,"60-64"
"14",0.0242011481516161,0.0141465866800438,0.0975385679975558,-3.29289465900338,0.482693624506937,0.781391236387233,31.5059709784941,"65-69"
"15",0.0358804774112084,0.0209490319379062,0.143936056667588,-2.90202448542079,0.481819178237664,0.769110192830644,20.6662286967904,"70-74"
"16",0.050875448413158,0.0279601512706012,0.198381527578749,-2.5972690734044,0.489852938988181,0.794035398848355,14.8134024442546,"75-79"
"17",0.0686391021797722,0.0346908518012467,0.258190415057807,-2.35766859352991,0.501805335054701,0.829433327628484,11.2545436080855,"80-84"
"18",0.0968768017276263,0.0446003064764655,0.35091264279896,-2.07861625785851,0.515699145225797,0.84605478075782,7.88725149762803,"85+"
