"","school","cumulative_students","date","start","number_students","type","loc"
"82","ADVANTAGE ACADEMY OF HILLSBOROUGH",3,"2020-12-05","2020-09-06",461,"Public","FL"
"83","ADVENT LUTHERAN SCHOOL",1,"2020-10-24","2020-09-06",150,"Private","FL"
"84","ADVENT LUTHERAN SCHOOL",4,"2020-11-21","2020-09-06",150,"Private","FL"
"85","ADVENT LUTHERAN SCHOOL",5,"2020-12-05","2020-09-06",150,"Private","FL"
"86","ADVENTURE CHRISTIAN ACADEMY",1,"2020-10-24","2020-09-06",188,"Private","FL"
"87","ADVENTURE CHRISTIAN ACADEMY",1,"2020-11-21","2020-09-06",188,"Private","FL"
"88","ADVENTURE CHRISTIAN ACADEMY",3,"2020-12-05","2020-09-06",188,"Private","FL"
"89","AGENORIA S PASCHAL/OLINDA ELEMENTARY SCHOOL",1,"2020-12-05","2020-09-06",415,"Public","FL"
"90","AIR BASE K-8 CENTER FOR INTERNATIONAL EDUCATION",2,"2020-11-21","2020-09-06",1117,"Public","FL"
"91","AIR BASE K-8 CENTER FOR INTERNATIONAL EDUCATION",6,"2020-12-05","2020-09-06",1117,"Public","FL"
"92","ALACHUA ELEMENTARY SCHOOL",1,"2020-10-24","2020-09-06",334,"Public","FL"
"93","ALACHUA ELEMENTARY SCHOOL",2,"2020-11-21","2020-09-06",334,"Public","FL"
"94","ALACHUA ELEMENTARY SCHOOL",3,"2020-12-05","2020-09-06",334,"Public","FL"
"95","ALAFIA ELEMENTARY SCHOOL",0,"2020-11-21","2020-09-06",655,"Public","FL"
"96","ALAFIA ELEMENTARY SCHOOL",2,"2020-12-05","2020-09-06",655,"Public","FL"
"97","ALANE ACADEMY",1,"2020-12-05","2020-09-06",36,"Private","FL"
"98","ALAZHAR SCHOOL",0,"2020-11-21","2020-09-06",207,"Private","FL"
"99","ALAZHAR SCHOOL",5,"2020-12-05","2020-09-06",207,"Private","FL"
"100","ALDEN ROAD EXCEP. STUDENT CENTER",2,"2020-10-24","2020-09-06",186,"Public","FL"
"101","ALDEN ROAD EXCEP. STUDENT CENTER",2,"2020-11-21","2020-09-06",186,"Public","FL"
"102","ALDEN ROAD EXCEP. STUDENT CENTER",4,"2020-12-05","2020-09-06",186,"Public","FL"
"103","ALETHEIA CHRISTIAN ACADEMY",2,"2020-10-24","2020-09-06",234,"Private","FL"
"104","ALETHEIA CHRISTIAN ACADEMY",2,"2020-11-21","2020-09-06",234,"Private","FL"
"105","ALETHEIA CHRISTIAN ACADEMY",4,"2020-12-05","2020-09-06",234,"Private","FL"
"106","ALEXANDER ELEMENTARY SCHOOL",1,"2020-10-24","2020-09-06",601,"Public","FL"
"107","ALEXANDER ELEMENTARY SCHOOL",2,"2020-11-21","2020-09-06",601,"Public","FL"
"108","ALEXANDER ELEMENTARY SCHOOL",3,"2020-12-05","2020-09-06",601,"Public","FL"
"109","ALEXANDER W DREYFOOS JUNIOR SCHOOL OF THE ARTS",3,"2020-10-24","2020-09-06",1382,"Public","FL"
"110","ALEXANDER W DREYFOOS JUNIOR SCHOOL OF THE ARTS",16,"2020-11-21","2020-09-06",1382,"Public","FL"
"111","ALEXANDER W DREYFOOS JUNIOR SCHOOL OF THE ARTS",17,"2020-12-05","2020-09-06",1382,"Public","FL"
"112","ALFRED ADLER ELEMENTARY SCHOOL",0,"2020-11-21","2020-09-06",91,"Public","FL"
"113","ALFRED ADLER ELEMENTARY SCHOOL",1,"2020-12-05","2020-09-06",91,"Public","FL"
"114","ALFRED I. DUPONT MIDDLE SCHOOL",0,"2020-10-24","2020-09-06",880,"Public","FL"
"115","ALFRED I. DUPONT MIDDLE SCHOOL",2,"2020-11-21","2020-09-06",880,"Public","FL"
"116","ALFRED I. DUPONT MIDDLE SCHOOL",7,"2020-12-05","2020-09-06",880,"Public","FL"
"117","ALICE B. LANDRUM MIDDLE SCHOOL",12,"2020-10-24","2020-09-06",1230,"Public","FL"
"118","ALICE B. LANDRUM MIDDLE SCHOOL",15,"2020-11-21","2020-09-06",1230,"Public","FL"
"119","ALICE B. LANDRUM MIDDLE SCHOOL",24,"2020-12-05","2020-09-06",1230,"Public","FL"
"120","ALIMACANI ELEMENTARY SCHOOL",3,"2020-12-05","2020-09-06",908,"Public","FL"
"121","ALL SAINTS CATHOLIC SCHOOL",2,"2020-10-24","2020-09-06",248,"Private","FL"
"122","ALL SAINTS CATHOLIC SCHOOL",4,"2020-11-21","2020-09-06",248,"Private","FL"
"123","ALL SAINTS CATHOLIC SCHOOL",4,"2020-12-05","2020-09-06",248,"Private","FL"
"124","ALL SOULS CATHOLIC SCHOOL",6,"2020-11-21","2020-09-06",197,"Private","FL"
"125","ALL SOULS CATHOLIC SCHOOL",7,"2020-12-05","2020-09-06",197,"Private","FL"
"126","ALLAMANDA ELEMENTARY SCHOOL",1,"2020-10-24","2020-09-06",719,"Public","FL"
"127","ALLAMANDA ELEMENTARY SCHOOL",3,"2020-11-21","2020-09-06",719,"Public","FL"
"128","ALLAMANDA ELEMENTARY SCHOOL",3,"2020-12-05","2020-09-06",719,"Public","FL"
"129","ALLAPATTAH FLATS K-8",0,"2020-10-24","2020-09-06",1044,"Public","FL"
"130","ALLAPATTAH FLATS K-8",1,"2020-11-21","2020-09-06",1044,"Public","FL"
"131","ALLAPATTAH FLATS K-8",8,"2020-12-05","2020-09-06",1044,"Public","FL"
"132","ALLEN D NEASE SENIOR HIGH SCHOOL",17,"2020-10-24","2020-09-06",2628,"Public","FL"
"133","ALLEN D NEASE SENIOR HIGH SCHOOL",42,"2020-11-21","2020-09-06",2628,"Public","FL"
"134","ALLEN D NEASE SENIOR HIGH SCHOOL",55,"2020-12-05","2020-09-06",2628,"Public","FL"
"135","ALLEN PARK ELEMENTARY SCHOOL",1,"2020-10-24","2020-09-06",998,"Public","FL"
"136","ALLEN PARK ELEMENTARY SCHOOL",3,"2020-11-21","2020-09-06",998,"Public","FL"
"137","ALLEN PARK ELEMENTARY SCHOOL",10,"2020-12-05","2020-09-06",998,"Public","FL"
"138","ALOMA ELEMENTARY",1,"2020-11-21","2020-09-06",557,"Public","FL"
"139","ALOMA ELEMENTARY",1,"2020-12-05","2020-09-06",557,"Public","FL"
"140","ALONSO HIGH SCHOOL",11,"2020-10-24","2020-09-06",2582,"Public","FL"
"141","ALONSO HIGH SCHOOL",26,"2020-11-21","2020-09-06",2582,"Public","FL"
"142","ALONSO HIGH SCHOOL",38,"2020-12-05","2020-09-06",2582,"Public","FL"
"143","ALONZO & TRACY MOURNING SENIOR HIGH SCHOOL",2,"2020-10-24","2020-09-06",1716,"Public","FL"
"144","ALONZO & TRACY MOURNING SENIOR HIGH SCHOOL",6,"2020-11-21","2020-09-06",1716,"Public","FL"
"145","ALONZO & TRACY MOURNING SENIOR HIGH SCHOOL",10,"2020-12-05","2020-09-06",1716,"Public","FL"
"146","ALPHA LEARNING ACADEMY",0,"2020-11-21","2020-09-06",164,"Private","FL"
"147","ALPHA LEARNING ACADEMY",2,"2020-12-05","2020-09-06",164,"Private","FL"
"148","ALTA VISTA ELEMENTARY SCHOOL",2,"2020-10-24","2020-09-06",751,"Public","FL"
"149","ALTA VISTA ELEMENTARY SCHOOL",2,"2020-10-24","2020-09-06",545,"Public","FL"
"150","ALTA VISTA ELEMENTARY SCHOOL",0,"2020-10-24","2020-09-06",751,"Public","FL"
"151","ALTA VISTA ELEMENTARY SCHOOL",0,"2020-10-24","2020-09-06",545,"Public","FL"
"152","ALTA VISTA ELEMENTARY SCHOOL",2,"2020-11-21","2020-09-06",751,"Public","FL"
"153","ALTA VISTA ELEMENTARY SCHOOL",2,"2020-11-21","2020-09-06",545,"Public","FL"
"154","ALTA VISTA ELEMENTARY SCHOOL",1,"2020-11-21","2020-09-06",751,"Public","FL"
"155","ALTA VISTA ELEMENTARY SCHOOL",1,"2020-11-21","2020-09-06",545,"Public","FL"
"156","ALTA VISTA ELEMENTARY SCHOOL",4,"2020-12-05","2020-09-06",751,"Public","FL"
"157","ALTA VISTA ELEMENTARY SCHOOL",4,"2020-12-05","2020-09-06",545,"Public","FL"
"158","ALTA VISTA ELEMENTARY SCHOOL",5,"2020-12-05","2020-09-06",751,"Public","FL"
"159","ALTA VISTA ELEMENTARY SCHOOL",5,"2020-12-05","2020-09-06",545,"Public","FL"
"160","ALTAMONTE ELEMENTARY SCHOOL",0,"2020-10-24","2020-09-06",711,"Public","FL"
