"","school","cumulative_students","date","start","number_students","type","loc"
"268","ARLINGTON MIDDLE SCHOOL",1,"2020-12-05","2020-09-06",740,"Public","FL"
"269","ARMWOOD HIGH SCHOOL",1,"2020-10-24","2020-09-06",2205,"Public","FL"
"270","ARMWOOD HIGH SCHOOL",6,"2020-11-21","2020-09-06",2205,"Public","FL"
"271","ARMWOOD HIGH SCHOOL",12,"2020-12-05","2020-09-06",2205,"Public","FL"
"272","ARTHUR AND POLLY MAYS CONSERVATORY OF THE ARTS",1,"2020-11-21","2020-09-06",600,"Public","FL"
"273","ARTHUR AND POLLY MAYS CONSERVATORY OF THE ARTS",1,"2020-12-05","2020-09-06",600,"Public","FL"
"274","ARTHUR I MEYER JEWISH ACADEMY",1,"2020-11-21","2020-09-06",143,"Private","FL"
"275","ARTHUR I MEYER JEWISH ACADEMY",1,"2020-12-05","2020-09-06",143,"Private","FL"
"276","ARVIDA MIDDLE SCHOOL",1,"2020-10-24","2020-09-06",1430,"Public","FL"
"277","ARVIDA MIDDLE SCHOOL",3,"2020-11-21","2020-09-06",1430,"Public","FL"
"278","ARVIDA MIDDLE SCHOOL",4,"2020-12-05","2020-09-06",1430,"Public","FL"
"279","ASCEND CAREER ACADEMY",0,"2020-11-21","2020-09-06",228,"Public","FL"
"280","ASCEND CAREER ACADEMY",2,"2020-12-05","2020-09-06",228,"Public","FL"
"281","ASCENSION CATHOLIC SCHOOL",1,"2020-10-24","2020-09-06",431,"Private","FL"
"282","ASCENSION CATHOLIC SCHOOL",1,"2020-10-24","2020-09-06",431,"Private","FL"
"283","ASCENSION CATHOLIC SCHOOL",2,"2020-11-21","2020-09-06",431,"Private","FL"
"284","ASCENSION CATHOLIC SCHOOL",2,"2020-11-21","2020-09-06",431,"Private","FL"
"285","ASCENSION CATHOLIC SCHOOL",3,"2020-12-05","2020-09-06",431,"Private","FL"
"286","ASCENSION CATHOLIC SCHOOL",3,"2020-12-05","2020-09-06",431,"Private","FL"
"287","ASHTON ELEMENTARY SCHOOL",4,"2020-11-21","2020-09-06",1060,"Public","FL"
"288","ASHTON ELEMENTARY SCHOOL",4,"2020-12-05","2020-09-06",1060,"Public","FL"
"289","ASSUMPTION CATHOLIC SCHOOL",1,"2020-11-21","2020-09-06",536,"Private","FL"
"290","ASSUMPTION CATHOLIC SCHOOL",1,"2020-12-05","2020-09-06",536,"Private","FL"
"291","ASTATULA ELEMENTARY SCHOOL",1,"2020-10-24","2020-09-06",655,"Public","FL"
"292","ASTATULA ELEMENTARY SCHOOL",1,"2020-11-21","2020-09-06",655,"Public","FL"
"293","ASTATULA ELEMENTARY SCHOOL",2,"2020-12-05","2020-09-06",655,"Public","FL"
"294","ASTORIA PARK ELEMENTARY SCHOOL",4,"2020-10-24","2020-09-06",591,"Public","FL"
"295","ASTORIA PARK ELEMENTARY SCHOOL",5,"2020-11-21","2020-09-06",591,"Public","FL"
"296","ASTORIA PARK ELEMENTARY SCHOOL",9,"2020-12-05","2020-09-06",591,"Public","FL"
"297","ASTRONAUT HIGH SCHOOL",5,"2020-10-24","2020-09-06",1074,"Public","FL"
"298","ASTRONAUT HIGH SCHOOL",10,"2020-11-21","2020-09-06",1074,"Public","FL"
"299","ASTRONAUT HIGH SCHOOL",13,"2020-12-05","2020-09-06",1074,"Public","FL"
"300","ATHENIAN ACADEMY CHARTER SCHOOL",1,"2020-10-24","2020-09-06",13,"Public","FL"
"301","ATHENIAN ACADEMY CHARTER SCHOOL",1,"2020-11-21","2020-09-06",13,"Public","FL"
"302","ATHENIAN ACADEMY CHARTER SCHOOL",1,"2020-12-05","2020-09-06",13,"Public","FL"
"303","ATLANTIC BEACH ELEMENTARY SCHOOL",1,"2020-10-24","2020-09-06",489,"Public","FL"
"304","ATLANTIC BEACH ELEMENTARY SCHOOL",2,"2020-11-21","2020-09-06",489,"Public","FL"
"305","ATLANTIC BEACH ELEMENTARY SCHOOL",3,"2020-12-05","2020-09-06",489,"Public","FL"
"306","ATLANTIC CHRISTIAN ACADEMY OF THE PALM BEAC",3,"2020-10-24","2020-09-06",494,"Private","FL"
