VALUE,AGE_LOWER,AGE_UPPER,VARIABLE,WEEK
2.767169179229480,0,19,seroL,18
4.7135678391959800,0,19,sero,18
7.457286432160800,0,19,seroU,18
3.306532663316580,0,19,seroL,19
5.393634840871020,0,19,sero,19
8.371859296482410,0,19,seroU,19
5.041876046901170,0,19,seroL,20
7.504187604690120,0,19,sero,20
10.646566164154100,0,19,seroU,20
3.306532663316580,0,19,seroL,21
5.299832495812400,0,19,sero,21
7.926298157453940,0,19,seroU,21
4.408710217755440,20,64,seroL,18
6.706867671691790,20,64,sero,18
9.802345058626460,20,64,seroU,18
3.1892797319933000,20,64,seroL,19
5.20603015075377,20,64,sero,19
7.879396984924620,20,64,seroU,19
4.268006700167500,20,64,seroL,20
6.495812395309880,20,64,sero,20
9.520938023450590,20,64,seroU,20
5.135678391959800,20,64,seroL,21
7.597989949748740,20,64,sero,21
10.8107202680067,20,64,seroU,21
1.3132328308207700,65,95,seroL,18
2.696817420435510,65,95,sero,18
4.901172529313230,65,95,seroU,18
1.5242881072026800,65,95,seroL,19
3.001675041876050,65,95,sero,19
5.323283082077050,65,95,seroU,19
1.4070351758794000,65,95,seroL,20
2.8844221105527600,65,95,sero,20
5.252931323283080,65,95,seroU,20
2.0636515912897800,65,95,seroL,21
3.8927973199330000,65,95,sero,21
6.51926298157454,65,95,seroU,21
