region,date,grocery_pharmacy,parks,residential,retail_recreation,transitstations,workplace
AC,2020-02-15,0.05,-0.02,0.01,0.02,0.05,0.05
AC,2020-02-16,0.03,0,0.02,-0.01,-0.12,-0.01
AC,2020-02-17,0.02,0,-0.02,-0.05,0.13,0.2
AC,2020-02-18,0.01,-0.02,-0.02,-0.01,0.02,0.19
AC,2020-02-19,-0.04,0,-0.02,-0.02,-0.01,0.19
AC,2020-02-20,0.02,0,-0.01,-0.02,0.03,0.2
AC,2020-02-21,0.07,0,-0.01,-0.06,0.12,0.19
AC,2020-02-22,0.12,0.16,-0.01,0.05,-0.02,0.01
AC,2020-02-23,0.09,0.33,-0.01,0.06,-0.29,-0.02
AC,2020-02-24,0,0.47,0.04,-0.02,-0.27,-0.34
AC,2020-02-25,-0.1,0.71,0.06,-0.2,-0.36,-0.52
AC,2020-02-26,-0.09,0.01,0.05,-0.14,-0.18,-0.24
AC,2020-02-27,-0.02,-0.13,0.01,-0.1,-0.07,0.17
AC,2020-02-28,0.02,-0.18,0,-0.08,-0.1,0.21
AC,2020-02-29,0.1,-0.12,0.02,0.01,-0.02,0.09
AC,2020-03-01,0.08,-0.16,0.04,-0.07,0.01,0
AC,2020-03-02,0.1,0.05,-0.04,0.04,0.07,0.27
AC,2020-03-03,0.08,-0.04,-0.02,0.02,0.01,0.23
AC,2020-03-04,0.05,0.05,-0.03,0.03,0.02,0.25
AC,2020-03-05,0.04,-0.01,-0.02,0.01,0.09,0.25
AC,2020-03-06,0.06,-0.1,-0.02,0.01,0.14,0.27
AC,2020-03-07,0.15,0.04,0,0.13,0.15,0.1
AC,2020-03-08,0.12,-0.03,0.01,0.15,0.04,0.07
AC,2020-03-09,0.06,0.02,-0.03,0.02,0.09,0.27
AC,2020-03-10,0.06,0.01,-0.04,0.08,0.11,0.26
AC,2020-03-11,0,0.02,-0.03,0.02,0.03,0.25
AC,2020-03-12,0.01,0.05,-0.02,0.01,0.07,0.26
AC,2020-03-13,-0.02,-0.19,-0.01,-0.12,0.05,0.25
AC,2020-03-14,0.08,-0.05,0,0,0.25,0.11
AC,2020-03-15,0.06,-0.11,0.02,-0.06,0.06,0.03
AC,2020-03-16,0.03,-0.09,-0.03,-0.09,0.06,0.25
AC,2020-03-17,0.2,-0.11,-0.01,-0.11,-0.06,0.17
AC,2020-03-18,0.04,-0.22,0.06,-0.26,-0.15,-0.05
AC,2020-03-19,-0.05,-0.26,0.09,-0.34,-0.27,-0.12
AC,2020-03-20,-0.12,-0.48,0.12,-0.48,-0.28,-0.18
AC,2020-03-21,-0.1,-0.55,0.12,-0.67,-0.41,-0.25
AC,2020-03-22,-0.26,-0.65,0.13,-0.77,-0.52,-0.29
AC,2020-03-23,-0.21,-0.48,0.17,-0.68,-0.64,-0.41
AC,2020-03-24,-0.22,-0.48,0.17,-0.67,-0.7,-0.47
AC,2020-03-25,-0.23,-0.48,0.17,-0.65,-0.67,-0.45
AC,2020-03-26,-0.25,-0.48,0.17,-0.63,-0.58,-0.43
AC,2020-03-27,-0.17,-0.51,0.17,-0.62,-0.59,-0.39
AC,2020-03-28,-0.18,-0.54,0.13,-0.64,-0.7,-0.29
AC,2020-03-29,-0.2,-0.56,0.11,-0.68,-0.75,-0.22
AC,2020-03-30,-0.22,-0.43,0.15,-0.56,-0.73,-0.35
AC,2020-03-31,-0.06,-0.38,0.12,-0.46,-0.48,-0.35
AC,2020-04-01,-0.11,-0.39,0.13,-0.51,-0.64,-0.35
AC,2020-04-02,-0.11,-0.4,0.13,-0.49,-0.68,-0.33
AC,2020-04-03,-0.13,-0.48,0.15,-0.57,-0.71,-0.33
AC,2020-04-04,-0.05,-0.52,0.1,-0.55,-0.7,-0.23
AC,2020-04-05,-0.2,-0.56,0.1,-0.67,-0.65,-0.23
AC,2020-04-06,-0.06,-0.34,0.11,-0.43,-0.7,-0.29
AC,2020-04-07,-0.01,-0.36,0.11,-0.4,-0.57,-0.31
AC,2020-04-08,0.01,-0.32,0.11,-0.42,-0.66,-0.3
AC,2020-04-09,0.05,-0.35,0.12,-0.44,-0.68,-0.38
AC,2020-04-10,-0.25,-0.55,0.2,-0.75,-0.78,-0.65
AC,2020-04-11,-0.07,-0.46,0.1,-0.55,-0.72,-0.27
AC,2020-04-12,-0.18,-0.52,0.08,-0.65,-0.67,-0.2
AC,2020-04-13,-0.13,-0.33,0.12,-0.46,-0.7,-0.27
AC,2020-04-14,-0.14,-0.32,0.12,-0.45,-0.64,-0.3
AC,2020-04-15,-0.21,-0.46,0.16,-0.54,-0.7,-0.35
AC,2020-04-16,-0.1,-0.39,0.14,-0.45,-0.67,-0.29
AC,2020-04-17,-0.11,-0.42,0.16,-0.51,-0.68,-0.27
AC,2020-04-18,-0.09,-0.44,0.1,-0.56,-0.69,-0.19
AC,2020-04-19,-0.17,-0.47,0.1,-0.66,-0.64,-0.18
AC,2020-04-20,-0.13,-0.33,0.13,-0.47,-0.67,-0.33
AC,2020-04-21,-0.26,-0.44,0.17,-0.65,-0.66,-0.57
AC,2020-04-22,-0.14,-0.35,0.13,-0.47,-0.66,-0.29
AC,2020-04-23,-0.14,-0.39,0.14,-0.5,-0.72,-0.28
AC,2020-04-24,-0.14,-0.46,0.14,-0.55,-0.67,-0.27
AC,2020-04-25,-0.1,-0.45,0.1,-0.57,-0.69,-0.19
AC,2020-04-26,-0.17,-0.52,0.1,-0.68,-0.69,-0.17
AC,2020-04-27,-0.08,-0.31,0.13,-0.46,-0.71,-0.24
AC,2020-04-28,-0.04,-0.3,0.08,-0.41,-0.58,-0.26
AC,2020-04-29,-0.03,-0.3,0.12,-0.43,-0.61,-0.25
AC,2020-04-30,0.07,-0.25,0.11,-0.36,-0.63,-0.25
AC,2020-05-01,-0.12,-0.52,0.19,-0.69,-0.72,-0.55
AC,2020-05-02,-0.06,-0.5,0.1,-0.54,-0.66,-0.19
AL,2020-02-15,0.03,0.01,0,0.05,-0.09,0.01
AL,2020-02-16,0,-0.21,0.03,-0.04,-0.13,-0.01
AL,2020-02-17,0.01,-0.2,0,-0.04,-0.07,0.15
AL,2020-02-18,-0.01,-0.18,-0.01,-0.03,-0.05,0.14
AL,2020-02-19,-0.01,-0.1,-0.01,0.01,-0.02,0.14
AL,2020-02-20,-0.05,-0.23,0.01,-0.11,-0.06,0.1
AL,2020-02-21,0.12,-0.23,0,-0.02,0.07,0.11
AL,2020-02-22,0.09,-0.04,0,-0.09,0.04,-0.05
AL,2020-02-23,0.06,0.18,0.01,-0.08,-0.15,-0.03
AL,2020-02-24,-0.15,0.5,0.06,-0.24,-0.36,-0.55
AL,2020-02-25,-0.3,0.44,0.05,-0.31,-0.31,-0.62
AL,2020-02-26,-0.19,-0.1,0.03,-0.23,-0.2,-0.39
AL,2020-02-27,-0.05,-0.15,0.01,-0.1,-0.05,0.07
AL,2020-02-28,0,-0.3,0.02,-0.1,-0.1,0.11
AL,2020-02-29,0.04,-0.3,0.03,-0.07,-0.1,0.02
AL,2020-03-01,0.01,-0.32,0.05,-0.12,-0.06,-0.02
AL,2020-03-02,0.02,-0.26,0,-0.06,-0.03,0.15
AL,2020-03-03,0,-0.22,0,-0.04,-0.04,0.14
AL,2020-03-04,-0.01,-0.18,0,-0.02,-0.05,0.15
AL,2020-03-05,0.01,-0.13,-0.01,-0.04,-0.04,0.15
AL,2020-03-06,0.06,-0.21,0,-0.01,-0.01,0.18
AL,2020-03-07,0.08,-0.22,0.01,0,-0.07,0.04
AL,2020-03-08,0.05,-0.21,0.03,0.02,-0.13,0.01
AL,2020-03-09,0.03,-0.16,0,-0.04,-0.04,0.16
AL,2020-03-10,0.02,-0.16,-0.01,-0.02,-0.03,0.15
AL,2020-03-11,-0.02,-0.15,-0.01,-0.01,-0.02,0.15
AL,2020-03-12,-0.04,-0.14,0,-0.05,-0.05,0.14
AL,2020-03-13,-0.01,-0.27,0,-0.05,-0.05,0.17
AL,2020-03-14,0.02,-0.27,0.02,-0.06,-0.08,0.04
AL,2020-03-15,-0.04,-0.37,0.04,-0.17,-0.2,-0.03
AL,2020-03-16,-0.02,-0.31,0.01,-0.13,-0.12,0.12
AL,2020-03-17,0,-0.26,0.01,-0.14,-0.11,0.08
