RegionName;region;population;Source
São Paulo;SP;46289333;https://www.ibge.gov.br/estatisticas/sociais/populacao/9109-projecao-da-populacao.html?=&t=resultados
Minas Gerais;MG;21292666;
Rio de Janeiro;RJ;17366189;
Bahia;BA;14930424;
Rio Grande do Sul;RS;11422973;
Paraná;PR;11516840;
Pernambuco;PE;9617072;
Ceará;CE;9187886;
Pará;PA;8690745;
Maranhão;MA;7114598;
Santa Catarina;SC;7252502;
Goiás;GO;7116143;
Paraíba;PB;4039277;
Amazonas;AM;4207714;
Espírito Santo;ES;4064052;
Rio Grande do Norte;RN;3534165;
Alagoas;AL;3351092;
Mato Grosso;MT;3526220;
Piauí;PI;3280697;
Distrito Federal;DF;1585771;
Mato Grosso do Sul;MS;2809394;
Sergipe;SE;2319032;
Rondônia;RO;1796460;
Tocantins;TO;1624183;
Acre;AC;894470;
Amapá;AP;861773;
Roraima;RR;631181;
Total;Total;210322852;
