Date,Sweden,Denmark,United_Kingdom
30/01/2020,,,
31/01/2020,,,
01/02/2020,,,
02/02/2020,,,
03/02/2020,,,
04/02/2020,,,
05/02/2020,,,
06/02/2020,,,0
07/02/2020,,,0
08/02/2020,,,0
09/02/2020,,,0
10/02/2020,,,0
11/02/2020,0,,0
12/02/2020,0,,0
13/02/2020,0,,0
14/02/2020,0,0,0
15/02/2020,0,0,0
16/02/2020,0,0,0
17/02/2020,0,0,0
18/02/2020,0,0,0
19/02/2020,0,0,0
20/02/2020,0,0,0
21/02/2020,0,0,0
22/02/2020,0,0,0
23/02/2020,0,0,0
24/02/2020,0,0,0
25/02/2020,0,0,0
26/02/2020,0,0,0
27/02/2020,0,0,0
28/02/2020,0,0,0
29/02/2020,0,0,0
01/03/2020,0,0,0
02/03/2020,0,0,1
03/03/2020,0,0,2
04/03/2020,0,0,0
05/03/2020,0,0,3
06/03/2020,0,0,0
07/03/2020,0,0,0
08/03/2020,0,0,3
09/03/2020,0,0,5
10/03/2020,0,0,3
11/03/2020,1,1,8
12/03/2020,0,0,13
13/03/2020,1,0,16
14/03/2020,1,1,22
15/03/2020,2,2,32
16/03/2020,2,1,46
17/03/2020,1,1,52
18/03/2020,6,4,68
19/03/2020,7,5,74
20/03/2020,9,4,109
21/03/2020,8,3,131
22/03/2020,11,3,166
23/03/2020,11,6,186
24/03/2020,21,6,237
25/03/2020,22,6,302
26/03/2020,31,12,359
27/03/2020,32,12,398
28/03/2020,35,9,437
29/03/2020,38,8,508
30/03/2020,45,11,584
31/03/2020,48,15,661
01/04/2020,53,22,766
02/04/2020,70,18,806
03/04/2020,80,20,840
04/04/2020,70,15,904
05/04/2020,85,12,915
06/04/2020,90,17,893
07/04/2020,84,12,997
08/04/2020,115,15,1073
09/04/2020,86,13,998
10/04/2020,90,16,940
11/04/2020,103,11,954
12/04/2020,97,11,956
13/04/2020,85,16,892
14/04/2020,91,12,858
15/04/2020,115,10,878
16/04/2020,111,12,838
17/04/2020,82,9,819
18/04/2020,86,10,799
19/04/2020,88,6,762
20/04/2020,84,7,781
21/04/2020,62,12,741
22/04/2020,77,14,728
23/04/2020,86,10,674
24/04/2020,89,6,681
25/04/2020,73,5,646
26/04/2020,75,5,631
27/04/2020,73,9,595
28/04/2020,82,10,559
29/04/2020,84,9,571
30/04/2020,78,9,547
01/05/2020,78,11,567
02/05/2020,73,8,493
03/05/2020,75,9,449
04/05/2020,84,7,483
05/05/2020,72,3,463
06/05/2020,73,6,461
07/05/2020,80,6,459
08/05/2020,60,4,381
09/05/2020,69,3,378
10/05/2020,74,5,348
11/05/2020,64,4,309
12/05/2020,61,7,319
13/05/2020,50,5,315
14/05/2020,46,0,334
15/05/2020,58,6,311
16/05/2020,49,3,314
17/05/2020,53,3,266
18/05/2020,61,3,293
19/05/2020,41,2,274
20/05/2020,53,5,268
21/05/2020,54,0,237
22/05/2020,56,1,222
23/05/2020,56,1,216
24/05/2020,44,1,195
25/05/2020,42,0,201
26/05/2020,28,3,211
27/05/2020,39,1,195
28/05/2020,40,0,218
29/05/2020,40,1,186
30/05/2020,39,4,162
31/05/2020,45,2,126
01/06/2020,40,3,135
02/06/2020,37,1,170
03/06/2020,26,1,155
04/06/2020,45,4,134
05/06/2020,38,2,122
06/06/2020,31,3,110
07/06/2020,33,2,126
08/06/2020,38,0,123
09/06/2020,33,0,90
10/06/2020,40,0,109
11/06/2020,36,1,80
12/06/2020,30,3,79
13/06/2020,33,0,62
14/06/2020,27,1,87
15/06/2020,31,0,70
16/06/2020,28,1,84
17/06/2020,33,1,58
18/06/2020,29,1,61
19/06/2020,29,1,52
20/06/2020,29,1,60
21/06/2020,21,0,54
22/06/2020,21,0,64
23/06/2020,25,1,63
24/06/2020,22,0,75
25/06/2020,24,1,67
26/06/2020,11,0,42
27/06/2020,14,0,49
28/06/2020,22,1,44
29/06/2020,18,0,38
30/06/2020,21,0,47
01/07/2020,17,0,27
02/07/2020,15,0,43
03/07/2020,8,0,29
04/07/2020,15,1,33
05/07/2020,9,0,27
06/07/2020,16,2,35
07/07/2020,12,0,27
08/07/2020,11,0,24
09/07/2020,15,0,37
10/07/2020,14,1,21
11/07/2020,10,0,22
12/07/2020,9,0,13
13/07/2020,14,0,24
14/07/2020,8,0,21
15/07/2020,6,0,20
16/07/2020,7,0,13
17/07/2020,7,1,18
18/07/2020,11,0,14
19/07/2020,8,0,14
20/07/2020,7,0,12
21/07/2020,7,0,20
22/07/2020,6,2,17
23/07/2020,5,0,16
24/07/2020,3,0,7
25/07/2020,1,0,15
26/07/2020,2,0,16
27/07/2020,6,0,11
28/07/2020,6,1,12
29/07/2020,2,1,12
30/07/2020,0,0,10
31/07/2020,3,1,14
01/08/2020,3,0,11
02/08/2020,3,0,10
03/08/2020,4,0,16
04/08/2020,2,0,15
05/08/2020,3,1,6
06/08/2020,4,0,9
07/08/2020,3,0,12
08/08/2020,1,1,14
09/08/2020,4,2,8
10/08/2020,2,1,13
11/08/2020,4,0,10
12/08/2020,3,0,7
13/08/2020,6,0,9
14/08/2020,2,0,7
15/08/2020,1,0,13
16/08/2020,0,0,4
17/08/2020,3,0,12
18/08/2020,5,0,10
19/08/2020,1,0,3
20/08/2020,2,0,8
21/08/2020,5,1,7
22/08/2020,1,1,7
23/08/2020,3,0,14
24/08/2020,1,0,6
25/08/2020,2,1,12
26/08/2020,2,0,11
27/08/2020,1,0,7
28/08/2020,1,0,10
29/08/2020,1,0,5
30/08/2020,3,0,5
31/08/2020,2,2,8
01/09/2020,3,0,3
02/09/2020,3,0,9
