"","age","ifr_mean","ifr_cl","ifr_cu","ifr_beta_alpha","ifr_beta_beta"
"1",0,3.08142647818868e-06,2.03348211424907e-06,0.000131319147134695,0.0410641740896215,13326.3109939675
"2",1,5.97444281635651e-06,1.99270830919753e-06,0.000157470447781525,0.0410610608382349,6872.74391661442
"3",2,8.86745915452435e-06,1.95193450414599e-06,0.000183621748428354,0.0410578865397078,4630.13381230266
"4",3,1.17604754926922e-05,1.91116069909445e-06,0.000209773049075184,0.0410546416024352,3490.8587502129
"5",4,1.465349183086e-05,1.87038689404292e-06,0.000235924349722014,0.0410513153672847,2801.42878543926
"6",5,1.75496440290681e-05,1.83147646285905e-06,0.000262075972841417,0.0410475097505771,2338.89583819509
"7",6,2.05227313089845e-05,1.83571793728623e-06,0.00028820938538188,0.0410608272067763,2000.70760116013
"8",7,2.3716404354294e-05,1.9619180952321e-06,0.00031427260299377,0.0410430057164013,1730.53350376238
"9",8,2.72772873288e-05,2.29036570612967e-06,0.000340211044645218,0.0410504194944394,1504.88937024947
"10",9,3.13520043963057e-05,2.90134953941197e-06,0.000365970129304357,0.0410320906932865,1308.71390984602
"11",10,3.60871797206141e-05,3.87515836451201e-06,0.000391495275939318,0.0672165031026239,1862.54725276305
"12",11,4.16294374655286e-05,5.2920809508628e-06,0.000416731903518232,0.0925635965116761,2223.42046341289
"13",12,4.81254017948524e-05,7.23240606789736e-06,0.000441625431009232,0.121179339398448,2517.87004523277
"14",13,5.57216968723886e-05,9.77642248504871e-06,0.000466121277380449,0.155515407803309,2790.7754241051
"15",14,6.45649468619404e-05,1.30044189717499e-05,0.000490164861600016,0.197691793206267,3061.70823107533
"16",15,7.48067022878397e-05,1.70003853821561e-05,0.000513729279308078,0.249878400703139,3340.0711498096
"17",16,8.67118199665754e-05,2.1933436519035e-05,0.000537424189601112,0.314849195977688,3630.66874795436
"18",17,0.000100658463006794,2.80578121337662e-05,0.000562495815031925,0.39579455605411,3931.65864211259
"19",18,0.00011702972087767,3.56314530624519e-05,0.00059021805482534,0.495837846924255,4236.35821260877
"20",19,0.000136208683048379,4.49123001411941e-05,0.000621864808206178,0.618001599243219,4536.54941983246
"21",20,0.000158578438988095,5.61582942060949e-05,0.00065870997439926,0.765116226383056,4824.07886171502
"22",21,0.000184522078165993,6.96273760932562e-05,0.000702027452629409,0.93923950571415,5089.18068028636
"23",22,0.000214422690051248,8.55774866387802e-05,0.000753091142121445,1.14099104042833,5320.08243058359
"24",23,0.000248663364113035,0.000104266566678769,0.000813174942100193,1.36841807384778,5501.72641348218
"25",24,0.00028762718982053,0.000125952557049324,0.000883552751790471,1.61649381337904,5618.48435405043
"26",25,0.000331667971819787,0.000150869463316657,0.000965409159682659,1.87733681746714,5658.41240164181
"27",26,0.000380465963825133,0.000178700779839477,0.00105787460737494,2.14202314875946,5627.8573787004
"28",27,0.000433027868619163,0.000208579489768991,0.00115802538957329,2.40437490141141,5550.06713017392
"29",28,0.000488331104161353,0.000239614640986518,0.00126284849024926,2.66176173210114,5448.06973871651
"30",29,0.00054535308841118,0.000270915281373372,0.00136933089337438,2.91454913217285,5341.41959714365
"31",30,0.000603071239328121,0.000301590458810871,0.00147445958292019,3.16539719925623,5245.62942641525
"32",31,0.000660462974871651,0.000330749221180332,0.00157522154285824,3.41867418415157,5172.7597252423
"33",32,0.000716505713001248,0.000357500616363072,0.00166860375716006,3.68021742572126,5132.66044105392
"34",33,0.000770176871676388,0.000380953692240407,0.00175159320979719,3.95722144168167,5134.11117194992
"35",34,0.000820453868856547,0.000400217496693653,0.00182117688474118,4.25885392451858,5186.59231538507
"36",35,0.000866404597933149,0.000414480898849275,0.00187462245723902,4.59619027138868,5300.3044096944
"37",36,0.000909177887232407,0.000424768656472113,0.00191565350187351,4.96951782527015,5460.97713030281
"38",37,0.000952003500015323,0.000433941415965384,0.00195444949256318,5.36089836235067,5625.81415746926
"39",38,0.000998201674974844,0.000444939644977454,0.00200147059450207,5.74189256004483,5746.49505914566
"40",39,0.00105109265080392,0.000460703811156687,0.00206717697288418,6.07528230592769,5773.89311656076
"41",40,0.0011139966661955,0.000484174382151446,0.00216202879290354,6.32047493046866,5667.37238454119
"42",41,0.00119023395984254,0.000518291825610098,0.00229648621975417,6.44304788989223,5406.81863617818
"43",42,0.00128312477043797,0.000565996609181005,0.00248100941863009,6.42500788136198,5000.88841119394
"44",43,0.00139598933667476,0.000630229200512534,0.00272605855472531,6.27045513186986,4485.49389229936
"45",44,0.00153214789724585,0.000713930067253048,0.00304209379323385,6.00369105685909,3912.47641628212
"46",45,0.00169501401143951,0.000820031189839827,0.00343951559496989,5.66206253960975,3334.76020028356
"47",46,0.0018901476122366,0.00095126934285521,0.00392735122001111,5.30732172619182,2802.58011089167
"48",47,0.00212525500631054,0.00111018609502659,0.00451325472769868,4.998686964295,2347.04233844318
"49",48,0.00240813582093006,0.00129931452787028,0.00520482047299393,4.76393891419498,1973.50442651175
"50",49,0.00274658968336393,0.0015211877229026,0.00600964281085822,4.61026295095389,1673.93057584933
"51",50,0.00314841622088088,0.00177833876163985,0.00693531609625286,4.53417977502036,1435.61205786308
"52",51,0.00362141506074968,0.00207330072559835,0.0079894346841392,4.52773459541682,1245.73894830713
"53",52,0.00417338583023905,0.0024086066962944,0.00917959292947856,4.58193010734159,1093.3108345976
"54",53,0.00481212815661775,0.00278678975524432,0.0105133851872323,4.68819548403907,969.557570932585
"55",54,0.00554544166715453,0.00321038298396442,0.0119984058123617,4.8388805884351,867.748169978814
"56",55,0.00638092385630487,0.00368192734157063,0.0136422826610851,5.02677196565844,782.754445748072
"57",56,0.00732152316381913,0.00420414497197017,0.0154534141185311,5.23495888962757,709.774578401361
"58",57,0.00836553897474251,0.00477993920386151,0.0174409690987383,5.44139799916995,645.012567441525
"59",58,0.00951106854130697,0.00541222124354275,0.0196141500170024,5.63043925105957,586.357645642487
"60",59,0.0107562091157445,0.00610390229731202,0.0219821592886191,5.79187327428635,532.676021126209
"61",60,0.012099057950287,0.00685789357146741,0.0245541993288842,5.91958448072023,483.340364933757
"62",61,0.0135377122971664,0.00767710627230702,0.0273394725530933,6.01061129408787,437.979566820862
"63",62,0.0150702694086148,0.00856445160612897,0.0303471813765421,6.0642899657214,396.336609533448
"64",63,0.016694826536864,0.00952284077923134,0.0335865282145263,6.08169652935112,358.204599942318
"65",64,0.018409480934146,0.0105551849979123,0.0370667154823417,6.06502432954898,323.386107467413
"66",65,0.0202125080633505,0.0116641339452815,0.0407961875446127,6.01766658141879,291.702268151969
"67",66,0.0221062822324953,0.012846322271118,0.0447659536005285,5.95333830222771,263.351931557964
"68",67,0.0240972765947263,0.0140923695918694,0.0489495876838428,5.89121852348775,238.585309781667
"69",68,0.026192142513847,0.0153926340007952,0.0533199057776379,5.84442492866172,217.292148399463
"70",69,0.0283975313536612,0.0167374735911552,0.0578497238649966,5.82171753991167,199.186156821009
"71",70,0.0307200944779724,0.0181172464562086,0.0625118579290011,5.82888127657811,183.912764236838
"72",71,0.0331664832505843,0.0195223106892151,0.0672791239527342,5.86992459079725,171.11370513105
"73",72,0.0357433490353005,0.0209430243834341,0.0721243379192782,5.94786079670662,160.456825871922
"74",73,0.0384573431959245,0.0223697456321253,0.0770203158117158,6.06532132890273,151.650236347622
"75",74,0.0413151170962601,0.023792832528548,0.0819398736131293,6.22483544072225,144.442423379312
"76",75,0.0443228626402931,0.0252028818811172,0.086856429758067,6.42882946472861,138.616618454609
"77",76,0.0474762041562021,0.0265959809468176,0.0917572590647861,6.67296081596492,133.880837335423
"78",77,0.0507601983963578,0.0279737074312044,0.0966434927352529,6.94708873639453,129.913856568599
"79",78,0.0541594426533138,0.029337877754988,0.101516864422899,7.24237845584289,126.480904152564
"80",79,0.0576585342196233,0.0306903083388789,0.106379107781158,7.55112236889786,123.411665206232
"81",80,0.0612420703878395,0.0320328156035872,0.11123195646346,7.86650808530675,120.58290643463
"82",81,0.0648946484505159,0.0333672159698235,0.116077144123237,8.18239169310981,117.904918870705
"83",82,0.0686008657002055,0.0346953258582981,0.120916404413923,8.49313148683926,115.311887592006
"84",83,0.0723453194294618,0.0360189616897213,0.125751470988948,8.79374878659775,112.758673069412
"85",84,0.0761126069308381,0.0373399398848035,0.130584077501744,9.07961972874623,110.212309622678
"86",85,0.0798876801727574,0.0386600306478164,0.135415903935725,9.3467639930527,107.652052005112
"87",86,0.0836630405182838,0.0399800919430718,0.140247711804165,9.59408115991169,105.081181661967
"88",87,0.0874384008638102,0.0413001532383271,0.145079519672606,9.82288804503005,102.517776331137
"89",88,0.0912137612093367,0.0426202145335824,0.149911327541046,10.0345261510664,99.9765732491333
"90",89,0.0949891215548631,0.0439402758288378,0.154743135409487,10.2301953822248,97.4684043602327
"91",90,0.0987644819003896,0.0452603371240932,0.159574943277927,10.4109922061242,95.0013180272686
"92",91,0.102539842245916,0.0465803984193485,0.164406751146368,10.5779593854458,92.5815457762381
"93",92,0.106315202591442,0.0479004597146038,0.169238559014808,10.7320171218427,90.2132556166633
"94",93,0.110090562936969,0.0492205210098592,0.174070366883249,10.8740333596139,87.8994951747044
"95",94,0.113865923282495,0.0505405823051145,0.178902174751689,11.0047993036278,85.6421955688022
"96",95,0.117641283628022,0.0518606436003699,0.18373398262013,11.1250423901447,83.4424601655207
"97",96,0.121416643973548,0.0531807048956252,0.18856579048857,11.2354319595949,81.3007442341949
"98",97,0.125192004319075,0.0545007661908806,0.193397598357011,11.3365842660362,79.2169964334378
"99",98,0.128967364664601,0.0558208274861359,0.198229406225451,11.42906755666,77.1907750398214
"100",99,0.132742725010128,0.0571408887813912,0.203061214093892,11.5134064667157,75.2213390030439
"101",100,0.136518085355654,0.0584609500766466,0.207893021962332,11.5900854951036,73.3077173484487
