"","age_cat","age_cat_label","ln_mu","ln_sd","ifr_mean","ifr_cl","ifr_cu"
"1",1,"0-4",-12.404523584254,1.2848842216711,4.1e-06,9.99999999999999e-08,5.35574771814693e-05
"2",2,"5-9",-11.8276362098099,1.16146238861558,7.29999999999999e-06,9.99999999999999e-08,7.45e-05
"3",3,"10-14",-11.2128208725199,1.01787297454446,1.35e-05,2e-07,0.000103382493014507
"4",4,"15-19",-10.5612675892588,0.875798741451971,2.59e-05,6e-07,0.000149282495162965
"5",5,"20-24",-9.95478084692368,0.778551242790026,4.75e-05,1.9e-06,0.000225389991338593
"6",6,"25-29",-9.35536614402644,0.691228755850674,8.65e-05,7.8e-06,0.0003446749936516
"7",7,"30-34",-8.75228281374885,0.64040534779366,0.0001581,2.43e-05,0.000569089912333023
"8",8,"35-39",-8.15567997083726,0.605552250743646,0.0002871,5.70598733431334e-05,0.000963849429179968
"9",9,"40-44",-7.56389573855628,0.582906951995338,0.000518849997590826,0.000127097499040612,0.00166474747359053
"10",10,"45-49",-6.95941706369209,0.570464848125236,0.000949649998683725,0.000257287488143107,0.00297209743768106
"11",11,"50-54",-6.35269270862053,0.563632549233496,0.00174204998206136,0.000504497499758392,0.0053780597551928
"12",12,"55-59",-5.73624885087446,0.562268025848112,0.00322684999651363,0.000985989998021784,0.00993478743102829
"13",13,"60-64",-5.10770527556865,0.558843738216807,0.0060499499749998,0.00187966498728562,0.01849938484384
"14",14,"65-69",-4.47388318590623,0.551872783083215,0.0114029499911207,0.00360006999512407,0.0343849049761708
"15",15,"70-74",-3.84823398417804,0.541863537191641,0.0213173499929048,0.00685897249784977,0.0630071599029662
"16",16,"75-79",-3.22963095839639,0.522968393889399,0.0395720998452192,0.0129051573226282,0.112624706323492
"17",17,"80-84",-2.63048587038641,0.496903188361748,0.072043449954871,0.023890007469747,0.19462522482413
"18",18,"85+",-1.35511675902193,0.361695657946047,0.257917178536203,0.088947113212608,0.531673636490964
